free_flow_speed_kmh,weekend,time_period,travel_time_category,speed_kmh,rush_hours,hour,congestion_level,travel_time_per_10_km_min
39.4,0,late night,heavy,35.8,0,2,10.2,16.7
41.9,0,late night,heavy,38.3,0,3,9.3,15.6
45.3,0,late night,moderate,41.8,0,4,8.4,14.3
46.1,0,late night,moderate,40.5,0,5,13.7,14.7
45.3,0,morning,heavy,35.8,0,6,26.2,16.7
43.2,0,morning,heavy,29.2,1,7,47.6,20.5
42.2,0,morning,heavy,27.9,1,8,51.1,21.4
42.1,0,morning,heavy,30.1,1,9,40.0,19.9
41.9,0,morning,heavy,30.7,1,10,36.3,19.5
41.6,0,morning,heavy,29.9,1,11,39.1,20.0
41.6,0,afternoon,heavy,30.0,1,12,38.9,19.9
41.8,0,afternoon,heavy,30.0,1,13,39.1,19.9
41.7,0,afternoon,heavy,28.3,1,14,47.1,21.1
41.3,0,afternoon,heavy,26.6,1,15,55.1,22.5
41.4,0,afternoon,heavy,27.0,1,16,53.0,22.1
41.5,0,evening,heavy,29.0,1,17,42.7,20.6
41.1,0,evening,heavy,30.9,1,18,32.9,19.4
40.5,0,evening,heavy,32.5,1,19,24.6,18.4
40.2,0,evening,heavy,33.5,0,20,19.9,17.8
40.3,0,night,heavy,34.7,0,21,15.9,17.2
40.2,0,night,heavy,35.7,0,22,12.5,16.7
39.5,0,night,heavy,35.8,0,23,10.2,16.7
38.6,0,late night,heavy,35.5,0,0,8.5,16.8
38.4,0,late night,heavy,35.5,0,1,8.2,16.8
39.0,0,late night,heavy,35.8,0,2,8.8,16.7
41.1,0,late night,heavy,38.6,0,3,6.5,15.5
44.8,0,late night,moderate,42.7,0,4,5.0,14.0
45.8,0,late night,moderate,41.5,0,5,10.5,14.4
45.3,0,morning,heavy,36.6,0,6,23.5,16.3
43.3,0,morning,heavy,29.8,1,7,45.0,20.0
42.0,0,morning,heavy,28.2,1,8,48.7,21.2
41.9,0,morning,heavy,30.6,1,9,36.9,19.5
41.9,0,morning,heavy,31.4,1,10,33.5,19.0
41.7,0,morning,heavy,30.9,1,11,34.9,19.3
41.9,0,afternoon,heavy,30.8,1,12,35.9,19.4
41.8,0,afternoon,heavy,30.3,1,13,37.8,19.7
41.7,0,afternoon,heavy,28.2,1,14,47.6,21.2
41.4,0,afternoon,heavy,26.3,1,15,57.4,22.7
41.0,0,afternoon,heavy,25.7,1,16,59.6,23.3
41.3,0,evening,heavy,27.2,1,17,51.5,21.9
40.7,0,evening,heavy,28.3,1,18,44.0,21.1
40.2,0,evening,heavy,31.4,1,19,27.8,19.0
39.9,0,evening,heavy,32.9,0,20,21.3,18.2
40.0,0,night,heavy,34.1,0,21,17.2,17.5
39.9,0,night,heavy,34.9,0,22,14.1,17.1
39.8,0,night,heavy,35.8,0,23,11.1,16.7
38.5,0,late night,heavy,35.1,0,0,9.6,17.0
38.0,0,late night,heavy,34.9,0,1,8.6,17.1
38.8,0,late night,heavy,35.5,0,2,9.1,16.8
41.4,0,late night,heavy,38.3,0,3,7.8,15.6
44.4,0,late night,moderate,42.0,0,4,5.8,14.2
45.7,0,late night,moderate,41.3,0,5,10.7,14.5
45.4,0,morning,heavy,36.3,0,6,25.0,16.5
43.1,0,morning,heavy,28.9,1,7,48.8,20.7
42.1,0,morning,heavy,27.3,1,8,53.9,21.9
41.9,0,morning,heavy,29.6,1,9,41.3,20.2
42.0,0,morning,heavy,30.7,1,10,36.7,19.5
41.7,0,morning,heavy,30.3,1,11,37.6,19.7
41.4,0,afternoon,heavy,29.6,1,12,39.7,20.2
41.5,0,afternoon,heavy,29.6,1,13,40.3,20.2
41.9,0,afternoon,heavy,28.9,1,14,44.7,20.7
41.5,0,afternoon,heavy,26.5,1,15,56.3,22.5
41.5,0,afternoon,heavy,26.5,1,16,56.2,22.5
41.5,0,evening,heavy,28.2,1,17,47.4,21.2
40.9,0,evening,heavy,30.2,1,18,35.6,19.8
40.2,0,evening,heavy,32.1,1,19,25.5,18.6
40.0,0,evening,heavy,33.1,0,20,20.5,18.0
40.1,0,night,heavy,34.0,0,21,17.9,17.6
39.8,0,night,heavy,34.6,0,22,14.9,17.2
39.1,0,night,heavy,35.4,0,23,10.2,16.9
38.2,0,late night,heavy,35.1,0,0,8.8,17.0
37.5,0,late night,heavy,34.9,0,1,7.6,17.1
38.6,0,late night,heavy,34.9,0,2,10.4,17.1
41.8,0,late night,heavy,37.8,0,3,10.4,15.8
44.5,0,late night,moderate,40.7,0,4,9.4,14.7
45.2,0,late night,heavy,39.6,0,5,14.1,15.1
44.9,0,morning,heavy,35.1,0,6,27.9,17.0
43.0,0,morning,heavy,28.4,1,7,51.4,21.0
41.9,0,morning,heavy,26.8,1,8,56.3,22.3
41.8,0,morning,heavy,29.2,1,9,43.1,20.5
41.8,0,morning,heavy,30.7,1,10,36.2,19.5
41.6,0,morning,heavy,30.1,1,11,38.1,19.8
41.7,0,afternoon,heavy,30.0,1,12,38.8,19.9
41.6,0,afternoon,heavy,29.4,1,13,41.7,20.4
41.3,0,afternoon,heavy,27.0,1,14,52.6,22.1
40.7,0,afternoon,heavy,23.8,1,15,71.1,25.1
40.3,0,afternoon,heavy,20.1,1,16,99.8,29.7
40.2,0,evening,heavy,19.9,1,17,101.6,30.1
40.0,0,evening,heavy,22.5,1,18,77.3,26.5
39.7,0,evening,heavy,25.9,1,19,53.1,23.0
40.0,0,evening,heavy,29.3,0,20,36.6,20.4
40.0,0,night,heavy,31.3,0,21,27.4,19.1
39.5,0,night,heavy,32.7,0,22,20.9,18.3
39.2,0,night,heavy,33.8,0,23,15.8,17.7
38.1,0,late night,heavy,33.6,0,0,13.3,17.8
37.7,0,late night,heavy,33.3,0,1,13.1,17.9
38.3,0,late night,heavy,33.6,0,2,13.9,17.8
40.5,0,late night,heavy,35.4,0,3,14.4,16.9
44.1,0,late night,heavy,39.3,0,4,12.3,15.2
45.0,0,late night,heavy,38.9,0,5,15.8,15.4
44.3,0,morning,heavy,35.2,0,6,25.8,17.0
42.9,0,morning,heavy,30.2,1,7,42.1,19.8
42.2,0,morning,heavy,29.7,1,8,41.7,20.1
41.9,0,morning,heavy,30.6,1,9,36.9,19.5
41.8,0,morning,heavy,30.5,1,10,37.1,19.6
41.8,0,morning,heavy,30.1,1,11,38.6,19.8
41.7,0,afternoon,heavy,29.4,1,12,41.6,20.3
41.7,0,afternoon,heavy,28.3,1,13,47.4,21.1
40.9,0,afternoon,heavy,25.9,1,14,57.6,23.0
41.1,0,afternoon,heavy,26.4,1,15,55.2,22.6
41.3,0,afternoon,heavy,28.1,1,16,46.7,21.3
41.4,0,evening,heavy,29.2,1,17,41.5,20.4
40.7,0,evening,heavy,29.6,1,18,37.4,20.2
40.0,0,evening,heavy,30.9,1,19,29.2,19.3
39.5,0,evening,heavy,31.8,0,20,24.2,18.8
39.3,0,night,heavy,32.7,0,21,20.3,18.3
39.3,0,night,heavy,33.3,0,22,17.8,17.9
38.7,0,night,heavy,33.9,0,23,14.0,17.6
37.8,1,late night,heavy,34.4,0,0,10.0,17.4
36.9,1,late night,heavy,34.4,0,1,7.2,17.4
36.7,1,late night,heavy,34.6,0,2,5.9,17.2
37.8,1,late night,heavy,36.0,0,3,4.9,16.6
39.8,1,late night,heavy,38.1,0,4,4.5,15.7
41.4,1,late night,heavy,38.8,0,5,6.7,15.4
41.9,1,morning,heavy,38.2,0,6,9.7,15.6
43.0,1,morning,heavy,38.1,1,7,12.8,15.7
43.3,1,morning,heavy,38.1,1,8,13.7,15.7
42.9,1,morning,heavy,36.4,1,9,17.8,16.4
42.6,1,morning,heavy,34.7,1,10,22.7,17.2
42.1,1,morning,heavy,32.8,1,11,28.2,18.2
41.9,1,afternoon,heavy,31.4,1,12,33.3,19.0
41.4,1,afternoon,heavy,30.2,1,13,37.1,19.8
41.4,1,afternoon,heavy,29.9,1,14,38.3,20.0
41.0,1,afternoon,heavy,29.6,1,15,38.5,20.2
40.9,1,afternoon,heavy,29.6,1,16,38.1,20.2
40.7,1,evening,heavy,28.8,1,17,41.4,20.8
39.9,1,evening,heavy,28.9,1,18,38.0,20.7
39.4,1,evening,heavy,30.2,1,19,30.3,19.8
39.2,1,evening,heavy,31.4,0,20,24.9,19.0
39.2,1,night,heavy,32.4,0,21,21.1,18.5
39.3,1,night,heavy,32.9,0,22,19.2,18.1
38.6,1,night,heavy,33.6,0,23,15.0,17.8
37.8,1,late night,heavy,33.9,0,0,11.4,17.6
37.1,1,late night,heavy,34.4,0,1,7.9,17.4
36.6,1,late night,heavy,34.6,0,2,5.6,17.3
36.7,1,late night,heavy,35.2,0,3,4.2,17.0
38.1,1,late night,heavy,36.8,0,4,3.5,16.2
39.2,1,late night,heavy,38.3,0,5,2.5,15.6
40.1,1,morning,heavy,38.7,0,6,3.6,15.4
41.6,1,morning,heavy,38.6,1,7,7.7,15.5
43.0,1,morning,heavy,39.3,1,8,9.2,15.2
43.2,1,morning,heavy,38.6,1,9,11.8,15.5
43.1,1,morning,heavy,37.3,1,10,15.4,16.0
42.7,1,morning,heavy,35.5,1,11,20.1,16.8
42.6,1,afternoon,heavy,34.4,1,12,23.8,17.4
42.7,1,afternoon,heavy,33.9,1,13,25.7,17.6
42.3,1,afternoon,heavy,33.3,1,14,26.9,17.9
41.9,1,afternoon,heavy,33.0,1,15,26.8,18.1
42.1,1,afternoon,heavy,32.7,1,16,28.7,18.3
41.9,1,evening,heavy,32.8,1,17,27.6,18.2
41.5,1,evening,heavy,33.3,1,18,24.5,17.9
40.9,1,evening,heavy,33.8,1,19,21.1,17.7
40.7,1,evening,heavy,34.5,0,20,18.0,17.3
40.6,1,night,heavy,35.3,0,21,14.9,16.9
40.0,1,night,heavy,35.5,0,22,12.7,16.8
39.8,1,night,heavy,36.2,0,23,10.0,16.5
39.1,0,late night,heavy,36.2,0,0,7.8,16.5
38.3,0,late night,heavy,35.7,0,1,7.1,16.7
39.0,0,late night,heavy,36.0,0,2,8.2,16.6
41.9,0,late night,heavy,39.2,0,3,6.8,15.2
45.6,0,late night,moderate,43.3,0,4,5.3,13.8
46.5,0,late night,moderate,41.6,0,5,11.8,14.4
45.3,0,morning,heavy,35.7,0,6,26.9,16.7
43.3,0,morning,heavy,28.8,1,7,50.0,20.7
42.1,0,morning,heavy,26.7,1,8,57.1,22.3
41.8,0,morning,heavy,28.5,1,9,46.8,21.0
42.0,0,morning,heavy,30.1,1,10,39.5,19.9
41.9,0,morning,heavy,29.9,1,11,40.0,20.0
41.7,0,afternoon,heavy,29.6,1,12,40.9,20.2
41.6,0,afternoon,heavy,28.9,1,13,43.6,20.7
41.7,0,afternoon,heavy,27.7,1,14,50.4,21.6
41.2,0,afternoon,heavy,25.7,1,15,60.1,23.3
41.2,0,afternoon,heavy,25.9,1,16,58.7,23.1
41.2,0,evening,heavy,27.6,1,17,49.1,21.6
40.8,0,evening,heavy,29.7,1,18,37.2,20.1
40.5,0,evening,heavy,32.1,1,19,26.2,18.6
40.1,0,evening,heavy,32.8,0,20,22.1,18.2
40.0,0,night,heavy,33.8,0,21,18.3,17.7
39.8,0,night,heavy,34.9,0,22,13.9,17.1
39.3,0,night,heavy,35.7,0,23,10.2,16.7
37.9,0,late night,heavy,34.9,0,0,8.6,17.1
38.0,0,late night,heavy,35.0,0,1,8.5,17.0
38.7,0,late night,heavy,35.4,0,2,9.5,16.9
41.6,0,late night,heavy,38.3,0,3,8.6,15.6
45.0,0,late night,moderate,42.4,0,4,6.2,14.1
45.7,0,late night,moderate,40.8,0,5,11.9,14.6
45.2,0,morning,heavy,35.5,0,6,27.3,16.8
43.3,0,morning,heavy,28.5,1,7,51.9,21.0
42.0,0,morning,heavy,26.7,1,8,57.5,22.4
42.1,0,morning,heavy,29.3,1,9,43.6,20.4
42.0,0,morning,heavy,30.8,1,10,36.2,19.4
41.8,0,morning,heavy,30.5,1,11,36.7,19.6
41.6,0,afternoon,heavy,30.1,1,12,38.0,19.8
41.7,0,afternoon,heavy,29.8,1,13,40.0,20.1
41.9,0,afternoon,heavy,28.6,1,14,46.3,20.9
41.4,0,afternoon,heavy,26.0,1,15,59.1,23.0
41.4,0,afternoon,heavy,26.1,1,16,58.6,22.9
41.4,0,evening,heavy,27.5,1,17,50.5,21.7
40.6,0,evening,heavy,28.3,1,18,43.4,21.1
40.0,0,evening,heavy,31.2,1,19,28.4,19.2
39.8,0,evening,heavy,32.7,0,20,21.5,18.3
39.7,0,night,heavy,33.8,0,21,17.4,17.7
39.3,0,night,heavy,34.3,0,22,14.4,17.4
38.9,0,night,heavy,35.1,0,23,10.8,17.0
38.0,0,late night,heavy,34.9,0,0,8.9,17.1
37.3,0,late night,heavy,34.3,0,1,8.8,17.4
37.9,0,late night,heavy,34.8,0,2,8.9,17.2
40.9,0,late night,heavy,37.9,0,3,8.1,15.8
45.0,0,late night,moderate,42.5,0,4,6.0,14.1
45.9,0,late night,moderate,41.1,0,5,11.6,14.5
45.2,0,morning,heavy,35.4,0,6,27.5,16.9
43.0,0,morning,heavy,28.0,1,7,53.5,21.3
42.2,0,morning,heavy,26.7,1,8,58.1,22.4
42.2,0,morning,heavy,29.2,1,9,44.3,20.5
42.0,0,morning,heavy,30.4,1,10,38.1,19.7
41.9,0,morning,heavy,30.2,1,11,38.6,19.8
41.8,0,afternoon,heavy,29.9,1,12,39.9,20.0
41.9,0,afternoon,heavy,29.5,1,13,41.6,20.2
41.9,0,afternoon,heavy,28.1,1,14,48.7,21.2
41.5,0,afternoon,heavy,25.8,1,15,60.6,23.1
41.5,0,afternoon,heavy,25.8,1,16,60.5,23.1
41.5,0,evening,heavy,27.6,1,17,50.3,21.6
41.0,0,evening,heavy,29.3,1,18,40.0,20.4
40.3,0,evening,heavy,31.4,1,19,28.4,19.0
40.0,0,evening,heavy,32.8,0,20,21.9,18.2
39.9,0,night,heavy,34.0,0,21,17.6,17.6
39.7,0,night,heavy,34.4,0,22,15.3,17.4
39.6,0,night,heavy,35.6,0,23,11.2,16.8
38.2,0,late night,heavy,35.2,0,0,8.5,17.0
37.9,0,late night,heavy,35.3,0,1,7.3,16.9
38.0,0,late night,heavy,35.2,0,2,7.9,17.0
40.6,0,late night,heavy,37.6,0,3,7.9,15.9
45.2,0,late night,moderate,43.1,0,4,4.9,13.9
45.7,0,late night,moderate,41.2,0,5,10.8,14.5
45.2,0,morning,heavy,36.0,0,6,25.6,16.6
43.4,0,morning,heavy,29.0,1,7,49.7,20.6
42.3,0,morning,heavy,27.3,1,8,54.6,21.9
42.2,0,morning,heavy,29.3,1,9,44.2,20.4
42.0,0,morning,heavy,30.3,1,10,38.5,19.7
41.9,0,morning,heavy,30.1,1,11,39.2,19.9
41.9,0,afternoon,heavy,29.3,1,12,42.6,20.4
42.1,0,afternoon,heavy,29.6,1,13,42.3,20.2
42.2,0,afternoon,heavy,28.4,1,14,48.3,21.0
41.6,0,afternoon,heavy,25.7,1,15,61.8,23.3
41.5,0,afternoon,heavy,25.5,1,16,62.5,23.4
41.6,0,evening,heavy,27.4,1,17,51.8,21.8
41.0,0,evening,heavy,29.3,1,18,40.0,20.4
40.4,0,evening,heavy,31.4,1,19,28.7,19.0
40.2,0,evening,heavy,32.9,0,20,22.0,18.2
39.9,0,night,heavy,33.9,0,21,17.4,17.6
39.9,0,night,heavy,34.8,0,22,14.4,17.2
39.1,0,night,heavy,35.4,0,23,10.3,16.9
37.5,0,late night,heavy,34.6,0,0,8.2,17.3
36.8,0,late night,heavy,34.4,0,1,7.0,17.4
37.4,0,late night,heavy,34.9,0,2,7.3,17.1
40.1,0,late night,heavy,37.6,0,3,6.5,15.9
44.2,0,late night,moderate,42.0,0,4,5.3,14.2
45.2,0,late night,moderate,41.2,0,5,9.8,14.5
45.0,0,morning,heavy,37.2,0,6,21.0,16.1
43.4,0,morning,heavy,31.1,1,7,39.3,19.2
42.4,0,morning,heavy,30.0,1,8,41.3,19.9
42.1,0,morning,heavy,30.6,1,9,37.6,19.5
42.2,0,morning,heavy,31.1,1,10,35.4,19.2
42.2,0,morning,heavy,30.7,1,11,37.5,19.5
42.4,0,afternoon,heavy,30.3,1,12,39.9,19.7
42.3,0,afternoon,heavy,29.3,1,13,44.3,20.4
42.1,0,afternoon,heavy,27.9,1,14,50.9,21.4
42.0,0,afternoon,heavy,27.7,1,15,51.2,21.5
41.9,0,afternoon,heavy,28.8,1,16,45.1,20.7
41.8,0,evening,heavy,29.3,1,17,42.7,20.4
41.1,0,evening,heavy,29.6,1,18,38.7,20.2
40.2,0,evening,heavy,30.8,1,19,30.1,19.4
39.7,0,evening,heavy,31.9,0,20,24.3,18.7
39.4,0,night,heavy,32.9,0,21,20.0,18.2
39.4,0,night,heavy,33.0,0,22,19.1,18.1
38.9,0,night,heavy,34.3,0,23,13.3,17.4
37.5,1,late night,heavy,34.2,0,0,9.5,17.4
36.6,1,late night,heavy,34.3,0,1,6.8,17.4
36.3,1,late night,heavy,34.6,0,2,4.7,17.2
37.2,1,late night,heavy,35.7,0,3,4.2,16.7
39.2,1,late night,heavy,37.9,0,4,3.3,15.7
40.9,1,late night,heavy,38.6,0,5,6.0,15.5
41.7,1,morning,heavy,38.5,0,6,8.1,15.5
43.0,1,morning,heavy,38.6,1,7,11.3,15.5
43.6,1,morning,heavy,38.7,1,8,12.8,15.4
43.4,1,morning,heavy,36.2,1,9,19.8,16.5
42.7,1,morning,heavy,33.9,1,10,25.9,17.6
42.4,1,morning,heavy,32.9,1,11,28.7,18.2
42.1,1,afternoon,heavy,31.7,1,12,32.9,18.9
41.9,1,afternoon,heavy,30.2,1,13,38.7,19.8
41.6,1,afternoon,heavy,29.6,1,14,40.8,20.2
41.2,1,afternoon,heavy,29.6,1,15,39.0,20.2
41.2,1,afternoon,heavy,30.0,1,16,37.1,19.9
41.1,1,evening,heavy,29.6,1,17,38.6,20.2
40.4,1,evening,heavy,29.5,1,18,36.6,20.2
39.6,1,evening,heavy,30.5,1,19,29.7,19.6
39.2,1,evening,heavy,31.6,0,20,24.1,18.9
39.0,1,night,heavy,32.5,0,21,20.1,18.4
39.1,1,night,heavy,32.9,0,22,18.7,18.2
38.6,1,night,heavy,33.7,0,23,14.7,17.7
37.6,1,late night,heavy,34.0,0,0,10.5,17.6
36.9,1,late night,heavy,34.6,0,1,6.7,17.3
36.3,1,late night,heavy,34.5,0,2,5.2,17.3
36.7,1,late night,heavy,35.3,0,3,3.7,16.9
37.7,1,late night,heavy,36.6,0,4,3.0,16.3
39.6,1,late night,heavy,38.7,0,5,2.4,15.4
40.2,1,morning,heavy,39.0,0,6,3.1,15.3
41.8,1,morning,heavy,38.8,1,7,7.5,15.4
43.3,1,morning,moderate,39.8,1,8,8.7,15.0
43.7,1,morning,heavy,38.7,1,9,12.8,15.4
43.5,1,morning,heavy,37.2,1,10,17.0,16.1
43.3,1,morning,heavy,35.5,1,11,21.9,16.8
42.9,1,afternoon,heavy,33.7,1,12,27.3,17.7
42.7,1,afternoon,heavy,32.2,1,13,32.4,18.5
42.5,1,afternoon,heavy,31.6,1,14,34.5,18.9
42.1,1,afternoon,heavy,31.9,1,15,31.9,18.7
42.2,1,afternoon,heavy,32.1,1,16,31.4,18.6
42.1,1,evening,heavy,31.4,1,17,34.1,19.0
41.8,1,evening,heavy,32.3,1,18,29.4,18.5
41.0,1,evening,heavy,33.3,1,19,23.1,18.0
41.0,1,evening,heavy,34.5,0,20,18.6,17.3
40.5,1,night,heavy,35.0,0,21,15.6,17.1
40.1,1,night,heavy,35.5,0,22,13.0,16.8
39.9,1,night,heavy,36.4,0,23,9.5,16.4
38.6,0,late night,heavy,35.8,0,0,7.8,16.7
37.9,0,late night,heavy,35.3,0,1,7.3,16.9
38.9,0,late night,heavy,36.1,0,2,7.7,16.6
41.0,0,late night,heavy,38.6,0,3,6.3,15.5
45.8,0,late night,moderate,43.6,0,4,4.8,13.7
46.5,0,late night,moderate,41.0,0,5,13.5,14.6
45.2,0,morning,heavy,34.5,0,6,31.1,17.3
43.2,0,morning,heavy,27.8,1,7,55.1,21.5
42.1,0,morning,heavy,26.1,1,8,61.4,22.9
41.9,0,morning,heavy,27.3,1,9,53.1,21.9
42.2,0,morning,heavy,29.4,1,10,43.1,20.3
42.0,0,morning,heavy,29.8,1,11,40.6,20.0
42.0,0,afternoon,heavy,29.9,1,12,40.4,20.0
41.8,0,afternoon,heavy,29.5,1,13,41.5,20.3
41.6,0,afternoon,heavy,27.8,1,14,49.4,21.5
41.6,0,afternoon,heavy,25.9,1,15,60.4,23.1
41.4,0,afternoon,heavy,25.8,1,16,60.3,23.1
