Region index,City,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Berlin,Berlin,2025-01-02T04:00,42.7,44.1,3.1,14.0
0,Berlin,Berlin,2025-01-02T05:00,41.6,44.8,7.7,14.4
0,Berlin,Berlin,2025-01-02T06:00,38.7,44.4,14.5,15.4
0,Berlin,Berlin,2025-01-02T07:00,34.1,43.0,26.0,17.5
0,Berlin,Berlin,2025-01-02T08:00,34.8,43.0,23.6,17.2
0,Berlin,Berlin,2025-01-02T09:00,34.7,42.8,23.0,17.2
0,Berlin,Berlin,2025-01-02T10:00,34.0,42.8,25.8,17.6
0,Berlin,Berlin,2025-01-02T11:00,33.2,42.9,28.8,18.0
0,Berlin,Berlin,2025-01-02T12:00,32.5,42.7,31.3,18.4
0,Berlin,Berlin,2025-01-02T13:00,31.8,42.4,33.2,18.8
0,Berlin,Berlin,2025-01-02T14:00,30.7,42.3,37.5,19.5
0,Berlin,Berlin,2025-01-02T15:00,30.1,42.2,40.1,19.9
0,Berlin,Berlin,2025-01-02T16:00,30.5,42.3,38.6,19.6
0,Berlin,Berlin,2025-01-02T17:00,30.0,41.2,37.3,19.9
0,Berlin,Berlin,2025-01-02T18:00,31.2,41.0,31.3,19.2
0,Berlin,Berlin,2025-01-02T19:00,32.4,40.5,24.7,18.4
0,Berlin,Berlin,2025-01-02T20:00,33.7,40.3,19.4,17.7
0,Berlin,Berlin,2025-01-02T21:00,34.7,40.1,15.4,17.2
0,Berlin,Berlin,2025-01-02T22:00,35.0,39.6,13.0,17.1
0,Berlin,Berlin,2025-01-02T23:00,36.1,39.6,9.8,16.6
0,Berlin,Berlin,2025-01-03T00:00,35.6,38.3,7.6,16.8
0,Berlin,Berlin,2025-01-03T01:00,34.9,37.3,6.9,17.1
0,Berlin,Berlin,2025-01-03T02:00,36.3,38.5,6.0,16.5
0,Berlin,Berlin,2025-01-03T03:00,39.6,41.4,4.5,15.1
0,Berlin,Berlin,2025-01-03T04:00,42.7,44.5,4.2,14.0
0,Berlin,Berlin,2025-01-03T05:00,41.5,44.7,7.7,14.4
0,Berlin,Berlin,2025-01-03T06:00,38.8,44.4,14.3,15.4
0,Berlin,Berlin,2025-01-03T07:00,34.2,42.9,25.5,17.5
0,Berlin,Berlin,2025-01-03T08:00,34.7,42.8,23.2,17.2
0,Berlin,Berlin,2025-01-03T09:00,34.4,42.6,23.9,17.4
0,Berlin,Berlin,2025-01-03T10:00,33.3,42.4,27.2,17.9
0,Berlin,Berlin,2025-01-03T11:00,32.4,42.4,30.8,18.5
0,Berlin,Berlin,2025-01-03T12:00,31.5,42.1,33.3,19.0
0,Berlin,Berlin,2025-01-03T13:00,30.6,41.9,37.2,19.6
0,Berlin,Berlin,2025-01-03T14:00,28.8,41.6,44.1,20.7
0,Berlin,Berlin,2025-01-03T15:00,29.1,41.6,42.7,20.5
0,Berlin,Berlin,2025-01-03T16:00,30.1,41.7,38.2,19.8
0,Berlin,Berlin,2025-01-03T17:00,30.5,41.3,35.1,19.6
0,Berlin,Berlin,2025-01-03T18:00,30.7,40.8,32.6,19.4
0,Berlin,Berlin,2025-01-03T19:00,31.5,40.2,27.5,19.0
0,Berlin,Berlin,2025-01-03T20:00,32.4,39.9,23.1,18.5
0,Berlin,Berlin,2025-01-03T21:00,33.5,39.8,18.8,17.8
0,Berlin,Berlin,2025-01-03T22:00,33.5,39.5,17.7,17.8
0,Berlin,Berlin,2025-01-03T23:00,34.3,38.9,13.3,17.4
0,Berlin,Berlin,2025-01-04T00:00,34.6,38.1,10.2,17.3
0,Berlin,Berlin,2025-01-04T01:00,34.8,37.6,8.0,17.2
0,Berlin,Berlin,2025-01-04T02:00,35.1,37.6,7.2,17.0
0,Berlin,Berlin,2025-01-04T03:00,36.7,39.0,6.2,16.3
0,Berlin,Berlin,2025-01-04T04:00,39.2,41.2,5.1,15.2
0,Berlin,Berlin,2025-01-04T05:00,39.1,41.9,7.1,15.3
0,Berlin,Berlin,2025-01-04T06:00,37.6,42.0,11.6,15.9
0,Berlin,Berlin,2025-01-04T07:00,38.4,43.4,13.1,15.6
0,Berlin,Berlin,2025-01-04T08:00,38.5,43.8,13.5,15.5
0,Berlin,Berlin,2025-01-04T09:00,37.4,43.6,16.2,16.0
0,Berlin,Berlin,2025-01-04T10:00,35.5,43.0,21.2,16.8
0,Berlin,Berlin,2025-01-04T11:00,33.7,42.6,26.4,17.7
0,Berlin,Berlin,2025-01-04T12:00,32.4,42.2,30.3,18.4
0,Berlin,Berlin,2025-01-04T13:00,30.9,41.8,34.9,19.3
0,Berlin,Berlin,2025-01-04T14:00,30.5,41.6,36.1,19.6
0,Berlin,Berlin,2025-01-04T15:00,30.9,41.5,34.0,19.3
0,Berlin,Berlin,2025-01-04T16:00,30.7,41.5,35.0,19.5
0,Berlin,Berlin,2025-01-04T17:00,30.6,41.1,34.1,19.5
0,Berlin,Berlin,2025-01-04T18:00,31.1,40.6,30.8,19.2
0,Berlin,Berlin,2025-01-04T19:00,32.0,40.2,25.7,18.7
0,Berlin,Berlin,2025-01-04T20:00,32.6,39.9,22.5,18.3
0,Berlin,Berlin,2025-01-04T21:00,33.4,39.7,18.9,17.9
0,Berlin,Berlin,2025-01-04T22:00,33.6,39.3,16.9,17.8
0,Berlin,Berlin,2025-01-04T23:00,34.5,39.2,13.6,17.3
0,Berlin,Berlin,2025-01-05T00:00,34.5,38.1,10.4,17.3
0,Berlin,Berlin,2025-01-05T01:00,34.5,37.2,7.8,17.3
0,Berlin,Berlin,2025-01-05T02:00,35.0,37.2,6.0,17.0
0,Berlin,Berlin,2025-01-05T03:00,36.4,38.0,4.3,16.4
0,Berlin,Berlin,2025-01-05T04:00,39.1,40.4,3.1,15.3
0,Berlin,Berlin,2025-01-05T05:00,39.9,41.1,2.9,15.0
0,Berlin,Berlin,2025-01-05T06:00,39.5,41.2,4.4,15.1
0,Berlin,Berlin,2025-01-05T07:00,39.3,42.6,8.5,15.2
0,Berlin,Berlin,2025-01-05T08:00,39.5,43.2,9.4,15.1
0,Berlin,Berlin,2025-01-05T09:00,39.1,43.3,10.8,15.3
0,Berlin,Berlin,2025-01-05T10:00,37.9,43.2,13.9,15.7
0,Berlin,Berlin,2025-01-05T11:00,37.4,43.4,15.9,16.0
0,Berlin,Berlin,2025-01-05T12:00,36.3,43.1,18.5,16.4
0,Berlin,Berlin,2025-01-05T13:00,35.5,42.8,20.6,16.8
0,Berlin,Berlin,2025-01-05T14:00,34.6,42.4,22.4,17.2
0,Berlin,Berlin,2025-01-05T15:00,34.1,42.0,23.2,17.5
0,Berlin,Berlin,2025-01-05T16:00,32.7,41.6,27.2,18.3
0,Berlin,Berlin,2025-01-05T17:00,30.3,41.2,36.1,19.8
0,Berlin,Berlin,2025-01-05T18:00,26.6,40.9,53.3,22.4
0,Berlin,Berlin,2025-01-05T19:00,27.1,40.9,50.5,22.0
0,Berlin,Berlin,2025-01-05T20:00,30.2,40.4,33.6,19.8
0,Berlin,Berlin,2025-01-05T21:00,32.3,40.5,25.3,18.5
0,Berlin,Berlin,2025-01-05T22:00,33.6,40.0,18.9,17.8
0,Berlin,Berlin,2025-01-05T23:00,35.1,40.1,14.3,17.0
0,Berlin,Berlin,2025-01-06T00:00,36.0,40.1,11.3,16.6
0,Berlin,Berlin,2025-01-06T01:00,35.4,39.0,10.2,16.9
0,Berlin,Berlin,2025-01-06T02:00,35.8,39.4,10.2,16.7
0,Berlin,Berlin,2025-01-06T03:00,38.3,41.9,9.3,15.6
0,Berlin,Berlin,2025-01-06T04:00,41.8,45.3,8.4,14.3
0,Berlin,Berlin,2025-01-06T05:00,40.5,46.1,13.7,14.7
0,Berlin,Berlin,2025-01-06T06:00,35.8,45.3,26.2,16.7
0,Berlin,Berlin,2025-01-06T07:00,29.2,43.2,47.6,20.5
0,Berlin,Berlin,2025-01-06T08:00,27.9,42.2,51.1,21.4
0,Berlin,Berlin,2025-01-06T09:00,30.1,42.1,40.0,19.9
0,Berlin,Berlin,2025-01-06T10:00,30.7,41.9,36.3,19.5
0,Berlin,Berlin,2025-01-06T11:00,29.9,41.6,39.1,20.0
0,Berlin,Berlin,2025-01-06T12:00,30.0,41.6,38.9,19.9
0,Berlin,Berlin,2025-01-06T13:00,30.0,41.8,39.1,19.9
0,Berlin,Berlin,2025-01-06T14:00,28.3,41.7,47.1,21.1
0,Berlin,Berlin,2025-01-06T15:00,26.6,41.3,55.1,22.5
0,Berlin,Berlin,2025-01-06T16:00,27.0,41.4,53.0,22.1
0,Berlin,Berlin,2025-01-06T17:00,29.0,41.5,42.7,20.6
0,Berlin,Berlin,2025-01-06T18:00,30.9,41.1,32.9,19.4
0,Berlin,Berlin,2025-01-06T19:00,32.5,40.5,24.6,18.4
0,Berlin,Berlin,2025-01-06T20:00,33.5,40.2,19.9,17.8
0,Berlin,Berlin,2025-01-06T21:00,34.7,40.3,15.9,17.2
0,Berlin,Berlin,2025-01-06T22:00,35.7,40.2,12.5,16.7
0,Berlin,Berlin,2025-01-06T23:00,35.8,39.5,10.2,16.7
0,Berlin,Berlin,2025-01-07T00:00,35.5,38.6,8.5,16.8
0,Berlin,Berlin,2025-01-07T01:00,35.5,38.4,8.2,16.8
0,Berlin,Berlin,2025-01-07T02:00,35.8,39.0,8.8,16.7
0,Berlin,Berlin,2025-01-07T03:00,38.6,41.1,6.5,15.5
0,Berlin,Berlin,2025-01-07T04:00,42.7,44.8,5.0,14.0
0,Berlin,Berlin,2025-01-07T05:00,41.5,45.8,10.5,14.4
0,Berlin,Berlin,2025-01-07T06:00,36.6,45.3,23.5,16.3
0,Berlin,Berlin,2025-01-07T07:00,29.8,43.3,45.0,20.0
0,Berlin,Berlin,2025-01-07T08:00,28.2,42.0,48.7,21.2
0,Berlin,Berlin,2025-01-07T09:00,30.6,41.9,36.9,19.5
0,Berlin,Berlin,2025-01-07T10:00,31.4,41.9,33.5,19.0
0,Berlin,Berlin,2025-01-07T11:00,30.9,41.7,34.9,19.3
0,Berlin,Berlin,2025-01-07T12:00,30.8,41.9,35.9,19.4
0,Berlin,Berlin,2025-01-07T13:00,30.3,41.8,37.8,19.7
0,Berlin,Berlin,2025-01-07T14:00,28.2,41.7,47.6,21.2
0,Berlin,Berlin,2025-01-07T15:00,26.3,41.4,57.4,22.7
0,Berlin,Berlin,2025-01-07T16:00,25.7,41.0,59.6,23.3
0,Berlin,Berlin,2025-01-07T17:00,27.2,41.3,51.5,21.9
0,Berlin,Berlin,2025-01-07T18:00,28.3,40.7,44.0,21.1
0,Berlin,Berlin,2025-01-07T19:00,31.4,40.2,27.8,19.0
0,Berlin,Berlin,2025-01-07T20:00,32.9,39.9,21.3,18.2
0,Berlin,Berlin,2025-01-07T21:00,34.1,40.0,17.2,17.5
0,Berlin,Berlin,2025-01-07T22:00,34.9,39.9,14.1,17.1
0,Berlin,Berlin,2025-01-07T23:00,35.8,39.8,11.1,16.7
0,Berlin,Berlin,2025-01-08T00:00,35.1,38.5,9.6,17.0
0,Berlin,Berlin,2025-01-08T01:00,34.9,38.0,8.6,17.1
0,Berlin,Berlin,2025-01-08T02:00,35.5,38.8,9.1,16.8
0,Berlin,Berlin,2025-01-08T03:00,38.3,41.4,7.8,15.6
0,Berlin,Berlin,2025-01-08T04:00,42.0,44.4,5.8,14.2
0,Berlin,Berlin,2025-01-08T05:00,41.3,45.7,10.7,14.5
0,Berlin,Berlin,2025-01-08T06:00,36.3,45.4,25.0,16.5
0,Berlin,Berlin,2025-01-08T07:00,28.9,43.1,48.8,20.7
0,Berlin,Berlin,2025-01-08T08:00,27.3,42.1,53.9,21.9
0,Berlin,Berlin,2025-01-08T09:00,29.6,41.9,41.3,20.2
0,Berlin,Berlin,2025-01-08T10:00,30.7,42.0,36.7,19.5
0,Berlin,Berlin,2025-01-08T11:00,30.3,41.7,37.6,19.7
0,Berlin,Berlin,2025-01-08T12:00,29.6,41.4,39.7,20.2
0,Berlin,Berlin,2025-01-08T13:00,29.6,41.5,40.3,20.2
0,Berlin,Berlin,2025-01-08T14:00,28.9,41.9,44.7,20.7
0,Berlin,Berlin,2025-01-08T15:00,26.5,41.5,56.3,22.5
0,Berlin,Berlin,2025-01-08T16:00,26.5,41.5,56.2,22.5
0,Berlin,Berlin,2025-01-08T17:00,28.2,41.5,47.4,21.2
0,Berlin,Berlin,2025-01-08T18:00,30.2,40.9,35.6,19.8
0,Berlin,Berlin,2025-01-08T19:00,32.1,40.2,25.5,18.6
0,Berlin,Berlin,2025-01-08T20:00,33.1,40.0,20.5,18.0
0,Berlin,Berlin,2025-01-08T21:00,34.0,40.1,17.9,17.6
0,Berlin,Berlin,2025-01-08T22:00,34.6,39.8,14.9,17.2
0,Berlin,Berlin,2025-01-08T23:00,35.4,39.1,10.2,16.9
0,Berlin,Berlin,2025-01-09T00:00,35.1,38.2,8.8,17.0
0,Berlin,Berlin,2025-01-09T01:00,34.9,37.5,7.6,17.1
0,Berlin,Berlin,2025-01-09T02:00,34.9,38.6,10.4,17.1
0,Berlin,Berlin,2025-01-09T03:00,37.8,41.8,10.4,15.8
0,Berlin,Berlin,2025-01-09T04:00,40.7,44.5,9.4,14.7
0,Berlin,Berlin,2025-01-09T05:00,39.6,45.2,14.1,15.1
0,Berlin,Berlin,2025-01-09T06:00,35.1,44.9,27.9,17.0
0,Berlin,Berlin,2025-01-09T07:00,28.4,43.0,51.4,21.0
0,Berlin,Berlin,2025-01-09T08:00,26.8,41.9,56.3,22.3
0,Berlin,Berlin,2025-01-09T09:00,29.2,41.8,43.1,20.5
0,Berlin,Berlin,2025-01-09T10:00,30.7,41.8,36.2,19.5
0,Berlin,Berlin,2025-01-09T11:00,30.1,41.6,38.1,19.8
0,Berlin,Berlin,2025-01-09T12:00,30.0,41.7,38.8,19.9
0,Berlin,Berlin,2025-01-09T13:00,29.4,41.6,41.7,20.4
0,Berlin,Berlin,2025-01-09T14:00,27.0,41.3,52.6,22.1
0,Berlin,Berlin,2025-01-09T15:00,23.8,40.7,71.1,25.1
0,Berlin,Berlin,2025-01-09T16:00,20.1,40.3,99.8,29.7
0,Berlin,Berlin,2025-01-09T17:00,19.9,40.2,101.6,30.1
0,Berlin,Berlin,2025-01-09T18:00,22.5,40.0,77.3,26.5
0,Berlin,Berlin,2025-01-09T19:00,25.9,39.7,53.1,23.0
0,Berlin,Berlin,2025-01-09T20:00,29.3,40.0,36.6,20.4
0,Berlin,Berlin,2025-01-09T21:00,31.3,40.0,27.4,19.1
0,Berlin,Berlin,2025-01-09T22:00,32.7,39.5,20.9,18.3
0,Berlin,Berlin,2025-01-09T23:00,33.8,39.2,15.8,17.7
0,Berlin,Berlin,2025-01-10T00:00,33.6,38.1,13.3,17.8
0,Berlin,Berlin,2025-01-10T01:00,33.3,37.7,13.1,17.9
0,Berlin,Berlin,2025-01-10T02:00,33.6,38.3,13.9,17.8
0,Berlin,Berlin,2025-01-10T03:00,35.4,40.5,14.4,16.9
0,Berlin,Berlin,2025-01-10T04:00,39.3,44.1,12.3,15.2
0,Berlin,Berlin,2025-01-10T05:00,38.9,45.0,15.8,15.4
0,Berlin,Berlin,2025-01-10T06:00,35.2,44.3,25.8,17.0
0,Berlin,Berlin,2025-01-10T07:00,30.2,42.9,42.1,19.8
0,Berlin,Berlin,2025-01-10T08:00,29.7,42.2,41.7,20.1
0,Berlin,Berlin,2025-01-10T09:00,30.6,41.9,36.9,19.5
0,Berlin,Berlin,2025-01-10T10:00,30.5,41.8,37.1,19.6
0,Berlin,Berlin,2025-01-10T11:00,30.1,41.8,38.6,19.8
0,Berlin,Berlin,2025-01-10T12:00,29.4,41.7,41.6,20.3
0,Berlin,Berlin,2025-01-10T13:00,28.3,41.7,47.4,21.1
0,Berlin,Berlin,2025-01-10T14:00,25.9,40.9,57.6,23.0
0,Berlin,Berlin,2025-01-10T15:00,26.4,41.1,55.2,22.6
0,Berlin,Berlin,2025-01-10T16:00,28.1,41.3,46.7,21.3
0,Berlin,Berlin,2025-01-10T17:00,29.2,41.4,41.5,20.4
0,Berlin,Berlin,2025-01-10T18:00,29.6,40.7,37.4,20.2
0,Berlin,Berlin,2025-01-10T19:00,30.9,40.0,29.2,19.3
0,Berlin,Berlin,2025-01-10T20:00,31.8,39.5,24.2,18.8
0,Berlin,Berlin,2025-01-10T21:00,32.7,39.3,20.3,18.3
0,Berlin,Berlin,2025-01-10T22:00,33.3,39.3,17.8,17.9
0,Berlin,Berlin,2025-01-10T23:00,33.9,38.7,14.0,17.6
0,Berlin,Berlin,2025-01-11T00:00,34.4,37.8,10.0,17.4
0,Berlin,Berlin,2025-01-11T01:00,34.4,36.9,7.2,17.4
0,Berlin,Berlin,2025-01-11T02:00,34.6,36.7,5.9,17.2
0,Berlin,Berlin,2025-01-11T03:00,36.0,37.8,4.9,16.6
0,Berlin,Berlin,2025-01-11T04:00,38.1,39.8,4.5,15.7
0,Berlin,Berlin,2025-01-11T05:00,38.8,41.4,6.7,15.4
0,Berlin,Berlin,2025-01-11T06:00,38.2,41.9,9.7,15.6
0,Berlin,Berlin,2025-01-11T07:00,38.1,43.0,12.8,15.7
0,Berlin,Berlin,2025-01-11T08:00,38.1,43.3,13.7,15.7
0,Berlin,Berlin,2025-01-11T09:00,36.4,42.9,17.8,16.4
0,Berlin,Berlin,2025-01-11T10:00,34.7,42.6,22.7,17.2
0,Berlin,Berlin,2025-01-11T11:00,32.8,42.1,28.2,18.2
0,Berlin,Berlin,2025-01-11T12:00,31.4,41.9,33.3,19.0
0,Berlin,Berlin,2025-01-11T13:00,30.2,41.4,37.1,19.8
0,Berlin,Berlin,2025-01-11T14:00,29.9,41.4,38.3,20.0
0,Berlin,Berlin,2025-01-11T15:00,29.6,41.0,38.5,20.2
0,Berlin,Berlin,2025-01-11T16:00,29.6,40.9,38.1,20.2
0,Berlin,Berlin,2025-01-11T17:00,28.8,40.7,41.4,20.8
0,Berlin,Berlin,2025-01-11T18:00,28.9,39.9,38.0,20.7
0,Berlin,Berlin,2025-01-11T19:00,30.2,39.4,30.3,19.8
0,Berlin,Berlin,2025-01-11T20:00,31.4,39.2,24.9,19.0
0,Berlin,Berlin,2025-01-11T21:00,32.4,39.2,21.1,18.5
0,Berlin,Berlin,2025-01-11T22:00,32.9,39.3,19.2,18.1
0,Berlin,Berlin,2025-01-11T23:00,33.6,38.6,15.0,17.8
0,Berlin,Berlin,2025-01-12T00:00,33.9,37.8,11.4,17.6
0,Berlin,Berlin,2025-01-12T01:00,34.4,37.1,7.9,17.4
0,Berlin,Berlin,2025-01-12T02:00,34.6,36.6,5.6,17.3
0,Berlin,Berlin,2025-01-12T03:00,35.2,36.7,4.2,17.0
0,Berlin,Berlin,2025-01-12T04:00,36.8,38.1,3.5,16.2
0,Berlin,Berlin,2025-01-12T05:00,38.3,39.2,2.5,15.6
0,Berlin,Berlin,2025-01-12T06:00,38.7,40.1,3.6,15.4
0,Berlin,Berlin,2025-01-12T07:00,38.6,41.6,7.7,15.5
0,Berlin,Berlin,2025-01-12T08:00,39.3,43.0,9.2,15.2
0,Berlin,Berlin,2025-01-12T09:00,38.6,43.2,11.8,15.5
0,Berlin,Berlin,2025-01-12T10:00,37.3,43.1,15.4,16.0
0,Berlin,Berlin,2025-01-12T11:00,35.5,42.7,20.1,16.8
0,Berlin,Berlin,2025-01-12T12:00,34.4,42.6,23.8,17.4
0,Berlin,Berlin,2025-01-12T13:00,33.9,42.7,25.7,17.6
0,Berlin,Berlin,2025-01-12T14:00,33.3,42.3,26.9,17.9
0,Berlin,Berlin,2025-01-12T15:00,33.0,41.9,26.8,18.1
0,Berlin,Berlin,2025-01-12T16:00,32.7,42.1,28.7,18.3
0,Berlin,Berlin,2025-01-12T17:00,32.8,41.9,27.6,18.2
0,Berlin,Berlin,2025-01-12T18:00,33.3,41.5,24.5,17.9
0,Berlin,Berlin,2025-01-12T19:00,33.8,40.9,21.1,17.7
0,Berlin,Berlin,2025-01-12T20:00,34.5,40.7,18.0,17.3
0,Berlin,Berlin,2025-01-12T21:00,35.3,40.6,14.9,16.9
0,Berlin,Berlin,2025-01-12T22:00,35.5,40.0,12.7,16.8
0,Berlin,Berlin,2025-01-12T23:00,36.2,39.8,10.0,16.5
0,Berlin,Berlin,2025-01-13T00:00,36.2,39.1,7.8,16.5
0,Berlin,Berlin,2025-01-13T01:00,35.7,38.3,7.1,16.7
0,Berlin,Berlin,2025-01-13T02:00,36.0,39.0,8.2,16.6
0,Berlin,Berlin,2025-01-13T03:00,39.2,41.9,6.8,15.2
0,Berlin,Berlin,2025-01-13T04:00,43.3,45.6,5.3,13.8
0,Berlin,Berlin,2025-01-13T05:00,41.6,46.5,11.8,14.4
0,Berlin,Berlin,2025-01-13T06:00,35.7,45.3,26.9,16.7
0,Berlin,Berlin,2025-01-13T07:00,28.8,43.3,50.0,20.7
0,Berlin,Berlin,2025-01-13T08:00,26.7,42.1,57.1,22.3
0,Berlin,Berlin,2025-01-13T09:00,28.5,41.8,46.8,21.0
0,Berlin,Berlin,2025-01-13T10:00,30.1,42.0,39.5,19.9
0,Berlin,Berlin,2025-01-13T11:00,29.9,41.9,40.0,20.0
0,Berlin,Berlin,2025-01-13T12:00,29.6,41.7,40.9,20.2
0,Berlin,Berlin,2025-01-13T13:00,28.9,41.6,43.6,20.7
0,Berlin,Berlin,2025-01-13T14:00,27.7,41.7,50.4,21.6
0,Berlin,Berlin,2025-01-13T15:00,25.7,41.2,60.1,23.3
0,Berlin,Berlin,2025-01-13T16:00,25.9,41.2,58.7,23.1
0,Berlin,Berlin,2025-01-13T17:00,27.6,41.2,49.1,21.6
0,Berlin,Berlin,2025-01-13T18:00,29.7,40.8,37.2,20.1
0,Berlin,Berlin,2025-01-13T19:00,32.1,40.5,26.2,18.6
0,Berlin,Berlin,2025-01-13T20:00,32.8,40.1,22.1,18.2
0,Berlin,Berlin,2025-01-13T21:00,33.8,40.0,18.3,17.7
0,Berlin,Berlin,2025-01-13T22:00,34.9,39.8,13.9,17.1
0,Berlin,Berlin,2025-01-13T23:00,35.7,39.3,10.2,16.7
0,Berlin,Berlin,2025-01-14T00:00,34.9,37.9,8.6,17.1
0,Berlin,Berlin,2025-01-14T01:00,35.0,38.0,8.5,17.0
0,Berlin,Berlin,2025-01-14T02:00,35.4,38.7,9.5,16.9
0,Berlin,Berlin,2025-01-14T03:00,38.3,41.6,8.6,15.6
0,Berlin,Berlin,2025-01-14T04:00,42.4,45.0,6.2,14.1
0,Berlin,Berlin,2025-01-14T05:00,40.8,45.7,11.9,14.6
0,Berlin,Berlin,2025-01-14T06:00,35.5,45.2,27.3,16.8
0,Berlin,Berlin,2025-01-14T07:00,28.5,43.3,51.9,21.0
0,Berlin,Berlin,2025-01-14T08:00,26.7,42.0,57.5,22.4
0,Berlin,Berlin,2025-01-14T09:00,29.3,42.1,43.6,20.4
0,Berlin,Berlin,2025-01-14T10:00,30.8,42.0,36.2,19.4
0,Berlin,Berlin,2025-01-14T11:00,30.5,41.8,36.7,19.6
0,Berlin,Berlin,2025-01-14T12:00,30.1,41.6,38.0,19.8
0,Berlin,Berlin,2025-01-14T13:00,29.8,41.7,40.0,20.1
0,Berlin,Berlin,2025-01-14T14:00,28.6,41.9,46.3,20.9
0,Berlin,Berlin,2025-01-14T15:00,26.0,41.4,59.1,23.0
0,Berlin,Berlin,2025-01-14T16:00,26.1,41.4,58.6,22.9
0,Berlin,Berlin,2025-01-14T17:00,27.5,41.4,50.5,21.7
0,Berlin,Berlin,2025-01-14T18:00,28.3,40.6,43.4,21.1
0,Berlin,Berlin,2025-01-14T19:00,31.2,40.0,28.4,19.2
0,Berlin,Berlin,2025-01-14T20:00,32.7,39.8,21.5,18.3
0,Berlin,Berlin,2025-01-14T21:00,33.8,39.7,17.4,17.7
0,Berlin,Berlin,2025-01-14T22:00,34.3,39.3,14.4,17.4
0,Berlin,Berlin,2025-01-14T23:00,35.1,38.9,10.8,17.0
0,Berlin,Berlin,2025-01-15T00:00,34.9,38.0,8.9,17.1
0,Berlin,Berlin,2025-01-15T01:00,34.3,37.3,8.8,17.4
0,Berlin,Berlin,2025-01-15T02:00,34.8,37.9,8.9,17.2
0,Berlin,Berlin,2025-01-15T03:00,37.9,40.9,8.1,15.8
0,Berlin,Berlin,2025-01-15T04:00,42.5,45.0,6.0,14.1
0,Berlin,Berlin,2025-01-15T05:00,41.1,45.9,11.6,14.5
0,Berlin,Berlin,2025-01-15T06:00,35.4,45.2,27.5,16.9
0,Berlin,Berlin,2025-01-15T07:00,28.0,43.0,53.5,21.3
0,Berlin,Berlin,2025-01-15T08:00,26.7,42.2,58.1,22.4
0,Berlin,Berlin,2025-01-15T09:00,29.2,42.2,44.3,20.5
0,Berlin,Berlin,2025-01-15T10:00,30.4,42.0,38.1,19.7
0,Berlin,Berlin,2025-01-15T11:00,30.2,41.9,38.6,19.8
0,Berlin,Berlin,2025-01-15T12:00,29.9,41.8,39.9,20.0
0,Berlin,Berlin,2025-01-15T13:00,29.5,41.9,41.6,20.2
0,Berlin,Berlin,2025-01-15T14:00,28.1,41.9,48.7,21.2
0,Berlin,Berlin,2025-01-15T15:00,25.8,41.5,60.6,23.1
0,Berlin,Berlin,2025-01-15T16:00,25.8,41.5,60.5,23.1
0,Berlin,Berlin,2025-01-15T17:00,27.6,41.5,50.3,21.6
0,Berlin,Berlin,2025-01-15T18:00,29.3,41.0,40.0,20.4
0,Berlin,Berlin,2025-01-15T19:00,31.4,40.3,28.4,19.0
