job_title,company_name,location,experience,salary,skills,posted_time,job_description,job_link,source
Associate Principal Instructor: EV Skill Centre,REES52,Raipur,1 year(s),"₹ 2,04,000 - 3,60,000",Machine LearningComputer skillsBASIC,3 weeks ago,"Key Responsibilities:

1. Supporting implementation of CMKVY-approved EV skill development programs at Livelihood College, Raipur, in accordance with NSQF/SSC curricula, scheme guidelines, and SOPs.
2. Assisting in planning and delivery of theory and hands-on practical training in electric vehicle systems, ensuring competency-based learning outcomes.
3. Supervising EV laboratory operations, including equipment usage, safety compliance, maintenance, and adherence to prescribed quality standards.
4. Mentoring and guiding instructors and trainers to ensure uniform training quality and effective instructional practices.
5. Supporting assessment, certification, batch management, and scheme-mandated documentation, including readiness for audits, inspections, and third-party evaluations.
6. Coordinating industry exposure, OJT/apprenticeships, and placement linkages to enhance trainee employability outcomes.

B. Other Details:
1. Accommodation provided by company: Scirobnics Technology Private Limited.

C. Career Growth Path:
1. Principal Instructor-EV, Centre
2. Head-EV Skill Centre
3. Master Trainer-State/National Resource Person (based on performance and scheme norms)            ",/job/detail/associate-principal-instructor-ev-skill-centre-job-in-raipur-at-rees521771911191,Internshala
Ai Video Generator,360 Digital Idea,Delhi,1 year(s),"₹ 2,00,000 - 3,20,000",Video EditingArtificial intelligenceAI Video Generation,2 days ago,"Are you a creative individual with a passion for cutting-edge technology? Do you have experience in AI Video Generation, Artificial Intelligence, and Video Editing? If so, we have the perfect opportunity for you at 360 Digital Idea!

Key Responsibilities:

1. Collaborate with our team to develop innovative AI video generation solutions that push the boundaries of creativity and technology.
2. Utilize your expertise in artificial intelligence to optimize video editing processes and enhance the overall quality of our videos.
3. Stay up-to-date with the latest trends and advancements in AI video generation to ensure our company remains at the forefront of industry innovation.
4. Work closely with clients to understand their unique needs and create customized video content that exceeds their expectations.
5. Use your technical skills to troubleshoot any issues that arise during the video generation process and implement effective solutions.
6. Participate in brainstorming sessions and contribute creative ideas that help elevate our video content and set us apart from competitors.
7. Take ownership of projects from start to finish, ensuring deadlines are met and deliverables are of the highest quality.

If you are ready to take your AI video generation skills to the next level and join a dynamic team of digital enthusiasts, apply now to be a part of our exciting journey at 360 Digital Idea!            ",/job/detail/ai-video-generator-job-in-delhi-at-360-digital-idea1775118989,Internshala
Digital Marketing Specialist,ERP IXO,Patna                                                        (Hybrid),1 year(s),"₹ 2,15,000 - 2,70,000",Social Media MarketingContent WritingSearch Engine Marketing (SEM)Digital MarketingSearch Engine Optimization (SEO)Facebook MarketingCreative Writing+2 more,3 weeks ago,"Key Responsibilities:

A. Strategy & campaign execution:
1. Plan and execute digital marketing strategies for multiple client brands (B2B, B2C, SaaS, local businesses, e-commerce, etc.).
2. Create integrated campaigns across SEO, social media, paid ads, email marketing, and content marketing.
3. Align digital campaigns with client business goals and brand positioning.

B. Performance marketing:
1. Plan and manage paid campaigns on Google Ads, Meta (Facebook/Instagram), LinkedIn, and other platforms.
2. Optimize campaigns for ROI, CAC (Customer Acquisition Cost), and conversions.
3. Manage budgets, bidding strategies, creatives, and landing page alignment.

C. SEO & content marketing:
1. Drive organic growth through SEO (on-page, off-page, local SEO where applicable).
2. Coordinate content calendars (blogs, landing pages, social posts, video content).
3. Work with content & design teams to ensure consistent brand messaging.

D. Social media & community management:
1. Manage social media presence for multiple brands.
2. Plan content calendars, engagement strategies, and community growth.
3. Monitor brand mentions, respond to queries, and manage online reputation.

E. Analytics & reporting:
Track KPIs such as traffic, leads, conversions, ROAS, engagement, and CTR.
Prepare performance reports for internal teams and clients.
Use tools like GA4, Search Console, Meta Ads Manager, Google Ads, etc.

F. Client & stakeholder management:
1. Act as the point of contact for digital marketing execution for assigned client portfolios.
2. Translate client requirements into actionable digital strategies.
3. Coordinate with designers, developers, and content creators.            ",/job/detail/digital-marketing-specialist-job-in-patna-at-erp-ixo1771820615,Internshala
Performance Marketing Manager (Google And Meta Ads),Fyule,Mumbai,1 year(s),"₹ 3,00,000 - 6,00,000",Google AnalyticsGoogle AdWordsFacebook AdsPerformance Marketing,1 week ago,"Employment Details:

1. Employment Type: Full-time
2. Experience: 1–2 years
3. Budget Management: ₹3–5L per month across multiple accounts

About Fyule School Story:

Fyule School Story is a fast-growing digital marketing agency specializing in educational institutions and select corporate clients across India. We currently manage 12+ school clients and are aggressively scaling to 25+ within two months, delivering measurable growth through data-driven marketing strategies. Our work spans brand building, lead generation, and enrollment conversions for schools aiming to stand out digitally.

The Role:

1. Drive performance marketing across Google and Meta platforms independently.
2. Own the full funnel—from strategy and execution to optimization and client presentations.
3. Manage up to 10 client accounts with monthly budgets ranging from ₹1–5L.
4. Work in a high-impact environment where decisions directly influence client ROI.
5. Collaborate with creative teams and present strategies to school principals, marketing heads, and corporate clients.

Key Responsibilities:

Campaign Strategy & Execution:

1. Own end-to-end performance marketing for up to 10 client accounts simultaneously.
2. Plan, launch, and optimize Google Ads campaigns (Search, Display, YouTube, Performance Max).
3. Plan, launch, and optimize Meta campaigns (Facebook, Instagram — Feed, Stories, Reels).
4. Manage monthly budgets of ₹1–5L per account with clear ROAS/CPA targets.
5. Conduct competitor analysis and market research to identify opportunities.
6. Develop campaign strategies aligned with client enrollment and lead generation goals.

Full Funnel Ownership:

1. Set up tracking infrastructure (Google Analytics, GTM, Meta Pixel, conversion tracking).
2. Conduct landing page audits and recommend CRO improvements.
3. Perform A/B testing on creatives, audiences, messaging, and landing pages.
4. Monitor performance across the funnel from impressions to conversions.
5. Identify drop-off points and implement optimization strategies.

Creative Collaboration:

1. Brief designers on ad creative requirements (formats, messaging, CTAs).
2. Provide data-backed insights on high-performing creative formats and angles.
3. Collaborate with content teams on landing page copy and ad messaging.
4. Ensure brand consistency across all paid campaigns.

Client Management & Reporting:

1. Present monthly performance reports directly to clients (schools and corporates).
2. Translate performance metrics into business insights and actionable recommendations.
3. Educate clients on campaign performance, platform updates, and strategy pivots.
4. Manage expectations and communicate proactively about performance.

Optimization & Experimentation:

1. Continuously optimize campaigns based on data-driven insights.
2. Test new ad formats, targeting strategies, and bidding approaches.
3. Stay updated on Google and Meta platform changes and algorithm updates.
4. Scale high-performing campaigns and pause underperforming ones quickly.            ",/job/detail/performance-marketing-manager-google-and-meta-ads-job-in-mumbai-at-fyule1774500138,Internshala
Associate – Consultative Sales (Infrastructure & Public Sector),Globik AI Private Limited,Delhi,1 year(s),"₹ 3,00,000 - 4,50,000",NetworkingMarket AnalysisClient Relationship Management (CRM)Lead GenerationB2B SalesBusiness ResearchSales Management+5 more,3 days ago,"We are looking for a high-agency individual to drive consultative sales for Globik AI across municipalities, smart cities, and infrastructure agencies in India and global markets. This is not a typical sales role; you will act as a problem-solver and advisor, helping public sector stakeholders understand and adopt AI for road monitoring, safety, and asset management.

Key Responsibilities:

1. Engage with municipalities, smart city teams, and road agencies to understand their challenges
2. Lead consultative discussions on how AI-driven solutions can improve road safety, monitoring, and decision-making
3. Drive end-to-end sales cycles, including outreach, discovery, solutioning, pilot or trial, and conversion
4. Build and nurture long-term relationships with government stakeholders and partners
5. Coordinate with internal product and technology teams to tailor solutions and support pilot deployments
6. Represent Globik AI in meetings, presentations, and industry forums

Why This Role:

1. Opportunity to be at the forefront of AI-led transformation in infrastructure
2. High ownership with direct impact on business growth
3. Work closely with leadership and contribute to the go-to-market strategy            ",/job/detail/associate--consultative-sales-infrastructure-public-sector-job-in-delhi-at-globik-ai-private-limited1775019837,Internshala
Associate Video Editor,Wish A Brand,Delhi,1 year(s),"₹ 2,80,000 - 3,30,000",Video EditingAdobe Premiere ProAdobe After EffectsArtificial intelligenceChatGPTClaudeGemini,1 week ago,"As an Associate Video Editor at Wish A Brand, you will have the opportunity to showcase your skills in both video editing and artificial intelligence. We are looking for a creative individual who is proficient in Adobe Premiere Pro, Adobe After Effects, and A.I softwares such as Claude, Gemini, and ChatGPT. Your key responsibilities will include:

1. Collaborating with the creative team to develop and execute video content that aligns with the brand's vision
2. Editing and enhancing raw footage to create visually stunning videos that engage and captivate audiences
3. Utilizing artificial intelligence tools to enhance video production processes and analyze audience engagement
4. Keeping up-to-date with the latest trends and techniques in video editing and artificial intelligence technology
5. Managing multiple video projects simultaneously and meeting strict deadlines
6. Providing feedback and suggestions for continuous improvement of video content
7. Ensuring all videos adhere to brand guidelines and maintain a consistent aesthetic across all platforms.

If you are a passionate video editor with a strong grasp of AI technology and a keen eye for detail, we want you to join our team and help us bring our brand's vision to life through captivating video content. Apply now and be a part of our exciting journey!            ",/job/detail/associate-video-editor-job-in-delhi-at-wish-a-brand1774541209,Internshala
Search Engine Optimization (SEO) Associate,AAA Digital,Kolkata,1 year(s),"₹ 2,00,000 - 2,80,000",Google AdWordsSearch Engine Optimization (SEO)Digital AdvertisingDisplay AdsFacebook AdsEffective CommunicationInstagram Ads,3 weeks ago,"AAA Digital is looking for a data-driven and detail-oriented SEO Specialist to join our growing team. You will be responsible for managing all search engine optimization activities, from content strategy and keyword research to technical audits and high-quality link building. Our goal is simple: Drive organic growth and deliver measurable ROI for our clients.

A. Key Responsibilities:

1. On-Page SEO: Optimize website copy, meta tags, and internal linking structures. Conduct deep keyword research to identify high-value opportunities.
2. Technical SEO: Perform regular site audits to identify and fix crawl errors, improve site speed, manage sitemaps, and ensure mobile friendliness.
3. Link Building: Execute white-hat backlink strategies, including guest posting, niche edits, and resource outreach to build domain authority.
4. Performance Tracking: Monitor rankings and traffic using Google Analytics, Search Console, and tools like Ahrefs/Semrush.
5. Reporting: Prepare monthly performance reports for clients with actionable insights.
Requirements

B. Why Join AAA Digital?

1. Opportunity to work on diverse client portfolios.
2. A collaborative environment where your ideas are heard.
3. Clear pathways for career growth within the agency.            ",/job/detail/search-engine-optimization-seo-associate-job-in-kolkata-at-aaa-digital1771401566,Internshala
Investment Product Associate,Mudra Portfolio Managers,Mumbai,1 year(s),"₹ 2,40,000 - 3,50,000",Financial AnalysisResearch and Analytics,5 days ago,"Objective:

To strengthen the firm’s investment platform by supporting structured product research, portfolio review preparation, product tracking, and internal enablement across investment verticals. This role contributes to building a disciplined, research-driven, and scalable wealth distribution business.

Key Responsibilities:

Investment Product Research

1. Track and evaluate investment products across mutual funds, global investments, PMS, AIFs, fixed income, and other relevant opportunities
2. Maintain structured product trackers and comparison frameworks
3. Prepare concise internal product notes and positioning summaries
4. Monitor product performance and category trends
5. Track new product launches and market opportunities

Portfolio Review Support

6. Assist in the preparation of portfolio review data and analysis
7. Support development of portfolio review frameworks
8. Maintain scheme- and product-level performance dashboards
9. Ensure accuracy and consistency in review documentation

Market & Industry Tracking

10. Track developments across financial markets impacting product positioning
11. Monitor regulatory and industry updates relevant to the distribution business
12. Prepare periodic internal market intelligence summaries

Product Rollout & Execution Support

13. Coordinate with product manufacturers, AMCs, and platforms for onboarding and updates
14. Track product activation and execution processes
15. Maintain documentation related to product processes and workflows

Team Enablement

16. Support the preparation of internal training material on products and market themes
17. Assist in building a structured knowledge repository
18. Help ensure consistent product communication across teams

Role Nature:

1. Research and execution support role
2. Internal product enablement function
3. Process- and data-driven
4. Limited client interaction initially
5. High exposure to leadership decision-making
6. Long-term pathway into a product specialist role

Reporting:

This role reports directly to the Investment Head / Founder and works closely with sales and operations teams for enablement and execution support.            ",/job/detail/investment-product-associate-job-in-mumbai-at-mudra-portfolio-managers1774869660,Internshala
Senior Python Developer,Markytics,Pune,1 year(s),"₹ 8,00,000 - 12,00,000",HTMLCSSPythonSQLDjangoMachine LearningREST API+1 more,3 days ago,"Key Responsibilities: 

1. Design, develop, and maintain scalable, secure, and high-performance web applications using Django and Python
2. Architect robust RESTful APIs and microservices for seamless integration with frontend and third-party systems
3. Collaborate with cross-functional teams (product, frontend, data) to deliver end-to-end features and solutions
4. Optimize application performance, database queries, and system reliability for high-traffic environments
5. Implement and enforce best coding practices, code reviews, and documentation standards
6. Work with relational databases (PostgreSQL/MySQL) and ensure efficient data modeling and management
7. Integrate AI/ML models, third-party APIs, and cloud services where required
Lead debugging, troubleshooting, and production issue resolution with a strong ownership mindset
8. Contribute to system design, architecture decisions, and technical roadmap planning
9. Ensure application security, data protection, and compliance with industry best practices
10. Mentor junior developers and contribute to building a high-performance engineering culture
11. Collaborate with DevOps teams for CI/CD pipelines, deployments, and cloud infrastructure management            ",/job/detail/senior-python-developer-job-in-pune-at-markytics1775017079,Internshala
Forward Deploy Engineer,Globik AI Private Limited,Vijayawada,1 year(s),"₹ 3,00,000 - 4,50,000",PythonProject ManagementMongoDBReactEnglish Proficiency (Spoken)Telugu Proficiency (Spoken)Effective Communication,1 week ago,"Key Responsibilities:

1. Lead and support client demos, presentations, and product walkthroughs
2. Travel to client sites for deployment, testing, and support
3. Act as a bridge between clients and the technical team
4. Coordinate with engineers for feature development and issue resolution
5. Gather feedback and contribute to product improvements
6. Manage project timelines, execution, and stakeholder communication
7. Work on deployment of AI-based solutions for government and enterprise projects

Perks & Growth:

1. Opportunity to lead projects and teams early
2. Direct exposure to government clients and large-scale deployments
3. Work on AI-driven solutions impacting real infrastructure systems
4. Close working environment with founding team
5. Fast growth, high ownership, and learning-driven culture            ",/job/detail/forward-deploy-engineer-job-in-vijayawada-at-globik-ai-private-limited1774438070,Internshala
Coding & AI Teacher,SR Edu Technologies,"Agra, Delhi, Baraut",1 year(s),"₹ 2,40,000 - 3,00,000",CSSJavaScriptHTML 5PythonTeachingEffective Communication,4 days ago,"Key responsibilities:

1. Teaching students the fundamentals of coding and AI using Python, HTML 5, CSS, and JavaScript
2. Developing and delivering engaging lesson plans to cater to students of all skill levels
3. Providing one-on-one support and guidance to students to ensure their understanding and progress
4. Creating interactive projects and activities to enhance student learning and retention
5. Evaluating student performance and providing constructive feedback for improvement
6. Collaborating with fellow teachers and staff to continuously improve the curriculum and teaching methods
7. Demonstrating excellent communication skills to effectively convey complex coding concepts in a simple and understandable manner            ",/job/detail/coding-ai-teacher-job-in-multiple-locations-at-sr-edu-technologies1774930009,Internshala
Junior Robotics Trainee,Vigyan Pathshala Private Limited,"Gorakhpur, Lucknow, Sultanpur, Maharajganj, Faizabad, Kushinagar, Varanasi, Ayodhya",No experience required,"₹ 2,00,000 - 2,40,000",PythonRoboticsArduinoInternet of Things (IoT),1 day ago,"Vigyan Pathshala Private Limited is looking for a passionate and motivated Robotics & AI Trainee who is eager to build a career in teaching and technology. The candidate will gain hands-on experience in Arduino, Robotics, IoT, and basic AI concepts, while also delivering engaging sessions to school students.

Key Responsibilities:

1. Teach Robotics, Arduino, and basic AI concepts to school students
2. Conduct practical sessions and help students build small projects
3. Assist in designing and developing robotics systems using Arduino and IoT technologies
4. Support development of basic Python applications for controlling and monitoring devices
5. Participate in testing and debugging of robotics projects
6. Maintain discipline and engagement during classroom sessions (yes, this is a real skill)
7. Contribute creative ideas to improve learning experience and project outcomes
8.Stay updated with latest trends in robotics and AI

Salary and Benefits: 

1. Probation Period (3 months):  around ₹10,000 per month
2. Post Probation: ₹20000 per month
3. Hands-on training and practical exposure in Robotics & AI
4. Opportunity to work on real-world projects and teaching experience            ",/job/detail/fresher-junior-robotics-trainee-job-in-multiple-locations-at-vigyan-pathshala-private-limited1775209538,Internshala
Big Data Executive,Centre For Development Communication,Jaipur,1 year(s),"₹ 2,00,000 - 3,50,000",MS-OfficeCoordinationEffective Communication,1 day ago,"Key responsibilities: 

1.To manage data and generate reports
2.Supporting business operations by providing accurate and timely information
3.Data Analysis,report preparation,maintain database to help management maked information systems            ",/job/detail/big-data-executive-job-in-jaipur-at-centre-for-development-communication1775194165,Internshala
Forex Trading Analyst,Step Traders,"Faridabad, Dehradun, Delhi, Ghaziabad, Gurgaon, Meerut, Greater Noida, Noida, Muradabad                                                        (Hybrid)",1 year(s),"₹ 2,00,000",Market Analysis,2 days ago,"Key Responsibilities: 

1. Provide timely forex market updates and global financial news summaries.
2. Perform daily market analysis on forex, gold, and cryptocurrencies.
3. Share trading signals and chart-based market insights with the community.
4. Maintain backup analysis for forex and commodities during volatile conditions.
5. Stay updated with economic events, market trends, and trading opportunities.            ",/job/detail/forex-trading-analyst-job-in-multiple-locations-at-step-traders1775137958,Internshala
Pricing Executive,OMR Shipping India Private Limited,Gandhidham,1 year(s),"₹ 2,24,000 - 3,20,000",MS-OfficeMultitaskingEnglish Proficiency (Spoken)English Proficiency (Written),2 days ago,"Key Responsibilities:

1. Prepare and share freight quotations for air and ocean shipments (FCL/LCL).
2. Coordinate with shipping lines, airlines, and overseas agents for the best rates.
3. Negotiate freight charges and maintain competitive pricing.
4. Analyze costs, margins, and profitability for each shipment.
5. Maintain rate sheets, tariffs, and pricing databases.
6. Support the sales team with timely and accurate quotations.
7. Handle RFQs, tenders, and contract pricing.
8. Track market trends and competitor pricing.
9. Ensure pricing complies with customer requirements and company policies.            ",/job/detail/pricing-executive-job-in-gandhidham-at-omr-shipping-india-private-limited1775134220,Internshala
