restaurant_id,name,city,cuisine,rating,votes,cost_for_two,delivery_time,is_veg,discount_percent,order_count_month,latitude,longitude
64,The Chef House,Pune,South Indian,2.6,1340,1143,35,0,0,810,19.807079308598183,83.10554081595234
65,Food Junction,Hyderabad,Seafood,4.2,2013,1361,56,0,20,831,17.53850331361492,79.85205650085621
66,The Chef House,Delhi,North Indian,3.2,3625,262,54,1,20,75,13.74597836379339,76.7405384464135
67,Urban Bites,Pune,Fast Food,3.9,1797,1354,21,1,30,727,19.842671888016707,87.69152427393063
68,Masala Magic,Delhi,Italian,3.3,2256,1372,36,1,30,398,23.213729262516793,77.49770444026525
69,Flavour Town,Mumbai,Chinese,2.9,3682,1243,32,1,20,1545,17.079883418021794,74.7468321448642
70,Café Delight,Delhi,North Indian,3.5,2165,747,35,0,20,1029,24.21269241712134,82.63538781120837
71,Masala Magic,Kolkata,Italian,3.1,3489,1053,28,0,0,42,20.404396773716023,81.75943836360204
72,The Hunger Spot,Kolkata,Mughlai,3.8,3030,634,24,0,0,1820,26.443905944646136,84.57445159758619
73,Food Junction,Hyderabad,Italian,3.0,61,700,47,1,30,1288,15.371625809188245,84.55901686378704
74,The Hunger Spot,Bangalore,Seafood,3.8,2169,1183,23,0,0,791,24.837566645914407,82.47568070891974
75,Masala Magic,Delhi,Bakery,2.9,4400,152,32,1,0,1461,27.627585969720855,76.0375505996976
76,The Chef House,Chennai,South Indian,4.2,3661,811,27,0,0,250,24.588227184970677,86.63947045827689
77,Café Delight,Kolkata,Seafood,4.4,3925,216,31,1,0,229,19.25440353177886,76.67321487867434
78,Café Delight,Bangalore,Chinese,2.8,2122,854,37,0,20,1205,16.46424669441459,74.26615489972158
79,Tasty Point,Mumbai,North Indian,3.7,2631,1270,39,1,0,1420,14.364041925501217,77.50338633432041
80,Café Delight,Pune,Seafood,2.7,4570,1491,30,0,10,885,23.013678194250627,80.3384223067551
81,Flavour Town,Pune,South Indian,4.0,4739,247,38,0,0,1213,15.071383618064536,76.03204929607844
82,Café Delight,Kolkata,Bakery,3.2,1364,1230,45,0,20,918,26.129033848496704,78.00527803098561
83,Masala Magic,Bangalore,Seafood,3.8,3764,1280,25,1,20,1382,28.07572374885756,80.81361379727072
84,Tasty Point,Kolkata,Bakery,3.8,219,237,37,0,0,1845,14.959047934062307,77.83785508537643
85,Masala Magic,Pune,Seafood,4.8,247,1121,55,1,20,1517,18.77924192420508,74.1933506831008
86,Masala Magic,Delhi,South Indian,3.9,345,802,53,1,0,1270,27.70262647696138,75.87653086268922
87,Spice Hub,Bangalore,Fast Food,4.0,3848,805,36,1,20,892,20.284202856660432,85.1896273088696
88,Tasty Point,Hyderabad,Italian,3.5,1586,1061,47,0,20,382,21.313115296221554,87.68757325537004
89,Masala Magic,Delhi,North Indian,4.9,509,520,55,0,40,1522,24.685504383524872,75.11561547105536
90,Spice Hub,Delhi,North Indian,4.4,1574,524,56,0,0,1598,16.147481233449334,83.42389721825933
91,Spice Hub,Delhi,North Indian,3.2,800,201,32,1,0,494,28.368470224902858,86.92704449556041
92,Tasty Point,Hyderabad,South Indian,4.6,3550,190,28,1,0,214,25.21604814302217,77.46662860533931
93,The Hunger Spot,Mumbai,Mughlai,3.6,3132,965,42,1,0,952,15.365836579960288,85.73960306217626
94,The Chef House,Chennai,Fast Food,4.6,1145,240,25,0,0,1055,14.566006276983472,86.91699803350757
95,Flavour Town,Kolkata,Chinese,4.6,3954,188,38,0,0,1538,27.665772209104198,77.47216709035433
96,The Chef House,Pune,Bakery,3.0,2358,1186,50,1,10,803,23.691942018042432,73.68515663729151
97,Café Delight,Kolkata,South Indian,4.3,4334,1049,33,0,30,1105,13.413220167357576,87.10197217993326
98,Flavour Town,Bangalore,Mughlai,3.2,159,770,27,1,0,548,15.05759680632271,77.955529721435
99,Café Delight,Mumbai,Chinese,3.2,3216,253,47,0,40,290,13.56048499909106,73.01431368895604
100,Masala Magic,Bangalore,Bakery,3.2,3538,892,33,0,30,557,28.287899132061,80.20874849309422
101,Food Junction,Kolkata,Bakery,4.3,1634,192,46,1,30,1600,20.715829297582253,74.60767466066102
102,Tasty Point,Pune,Fast Food,3.1,2584,358,29,0,30,1941,20.148160174724275,86.86654924557219
103,Flavour Town,Hyderabad,Italian,2.5,4438,749,25,0,20,676,27.99688238224381,75.21792868299026
104,Flavour Town,Kolkata,North Indian,4.3,4279,754,37,1,20,84,20.82371232794882,77.54893335554436
105,Masala Magic,Delhi,Seafood,2.9,3294,625,19,0,10,881,21.032302066659646,85.13102266606916
106,The Hunger Spot,Kolkata,Chinese,2.8,2118,258,36,1,10,1523,28.447144897318005,85.3790127365657
107,Spice Hub,Delhi,South Indian,3.1,3957,363,56,1,30,1841,14.571772246281979,86.85996782322623
108,Masala Magic,Hyderabad,Chinese,3.4,4924,558,32,0,0,509,28.473501268929038,80.55938004819627
109,Royal Treat,Kolkata,Italian,3.7,2273,920,21,0,0,1111,15.434278607152404,88.19284181313589
110,Spice Hub,Mumbai,North Indian,2.6,1622,782,47,0,20,381,20.319292271479323,80.8525484902883
111,Tasty Point,Mumbai,Chinese,4.9,3825,226,17,0,10,1855,18.168057505979228,85.1350415490852
112,Spice Hub,Bangalore,Italian,4.3,4729,244,42,0,30,1651,27.991197852718052,78.44567768780925
113,The Hunger Spot,Hyderabad,South Indian,3.3,587,418,15,1,0,591,20.519502610257508,87.48414453428337
114,Spice Hub,Mumbai,Fast Food,3.3,432,510,51,0,20,1014,13.165930816974443,83.48625313577645
115,Tasty Point,Kolkata,Mughlai,3.6,2773,679,36,0,0,788,16.324889035274424,74.00273272596468
116,The Hunger Spot,Hyderabad,Bakery,4.1,1239,832,58,0,30,1062,19.6499115327706,74.49290932936853
117,The Chef House,Pune,South Indian,2.9,3186,311,33,0,0,564,23.5546074813009,86.69664459791736
118,Flavour Town,Delhi,North Indian,3.0,763,614,28,0,30,998,21.73425767384369,85.42911279460903
119,Flavour Town,Kolkata,Bakery,4.6,4852,972,17,1,0,951,26.31355777041226,77.94947014120439
120,Café Delight,Delhi,Mughlai,3.1,697,697,33,0,0,110,25.972094049723363,80.93689703344958
121,The Chef House,Delhi,South Indian,3.5,732,1360,47,0,0,992,22.189097878307127,86.10287562990322
122,The Chef House,Hyderabad,Seafood,4.7,756,201,35,0,0,257,21.88390748966616,74.41352522467362
123,Spice Hub,Hyderabad,South Indian,4.2,4347,637,15,0,20,481,17.22281898452026,74.95497497642434
124,Flavour Town,Bangalore,South Indian,3.4,2722,241,40,0,0,1067,28.03070325341268,83.96222024363723
125,Tasty Point,Delhi,Seafood,4.2,717,800,24,1,10,1270,14.021936270045025,74.08240552610263
126,Urban Bites,Bangalore,South Indian,2.5,444,506,49,0,0,870,19.112781109342958,78.30003734311939
127,Urban Bites,Delhi,Bakery,4.3,4886,868,27,0,30,1424,23.307290645053847,76.72820982557879
128,The Hunger Spot,Bangalore,North Indian,3.7,493,1317,20,0,0,940,27.83604329136284,84.66045995580376
129,Flavour Town,Bangalore,Mughlai,4.5,3528,348,57,0,0,926,20.774323349089844,72.83818682810265
130,Flavour Town,Pune,Italian,4.9,1543,964,20,0,20,796,27.04511729145529,74.60000158460554
131,Urban Bites,Bangalore,Chinese,4.8,179,1496,49,0,30,1049,14.466316470137771,74.34451763961225
132,Flavour Town,Hyderabad,Seafood,4.8,1030,1437,30,0,30,589,21.25218837821638,77.76200200965975
133,Spice Hub,Bangalore,Fast Food,3.8,4974,366,55,0,30,631,17.825203899882517,76.42668018422373
134,Royal Treat,Delhi,Seafood,3.4,857,705,22,0,0,653,25.45157851432734,76.36121144806992
135,Food Junction,Bangalore,Mughlai,3.7,705,952,17,0,30,1400,19.875417509240506,78.57813487656088
136,The Chef House,Mumbai,Chinese,4.2,3356,850,19,0,20,1200,20.356514529632786,76.13916404879207
137,Café Delight,Chennai,Chinese,4.7,4023,652,35,1,30,1244,13.830035302942532,74.45694134351008
138,The Hunger Spot,Delhi,Fast Food,3.0,41,618,45,0,0,1268,19.764359973696774,81.89871972364965
139,Royal Treat,Mumbai,Mughlai,4.8,186,515,28,1,30,1002,14.0851762812259,87.64710807351382
140,Urban Bites,Delhi,Bakery,4.5,2974,1412,51,0,10,482,17.563037677636395,82.27177286179577
141,The Chef House,Hyderabad,North Indian,4.9,2122,773,33,0,20,1822,14.817415355249071,84.60952246182559
142,Flavour Town,Chennai,Fast Food,4.7,3896,1069,51,0,10,682,18.118246698554007,87.96595869139682
143,Café Delight,Chennai,North Indian,3.2,1512,710,34,1,10,1965,16.41547468254659,75.18933726447375
144,Flavour Town,Hyderabad,Bakery,2.8,2325,972,16,0,10,1300,17.334361267547376,79.97303556458641
145,Tasty Point,Chennai,Chinese,2.8,2654,1116,21,0,0,1009,15.159334857605321,81.87681877753407
146,Tasty Point,Hyderabad,North Indian,3.2,75,812,47,0,20,1636,19.789761046933137,77.82496009535943
147,Café Delight,Mumbai,Bakery,4.0,4238,900,56,0,20,450,20.71146592820583,82.36481986517195
148,Café Delight,Pune,Bakery,4.5,1938,1248,20,0,20,897,26.102698321306228,82.53159964651128
149,Urban Bites,Delhi,Italian,4.7,594,1271,21,0,0,444,21.3673239022312,85.93877608576437
150,Café Delight,Hyderabad,Fast Food,4.1,1758,532,58,0,40,1450,16.43724471116212,85.78723996949036
151,Spice Hub,Delhi,Italian,2.5,2214,1458,32,0,20,1655,24.5007415764487,75.02334224605875
152,Flavour Town,Mumbai,Seafood,3.0,3640,1429,57,0,0,124,17.52622327324463,75.43471348744146
153,Royal Treat,Pune,Chinese,2.7,1902,458,43,0,20,271,24.826705090081074,76.26900300956332
154,Masala Magic,Mumbai,Fast Food,3.4,2439,325,33,0,0,664,18.955908525477017,76.8751916040471
155,Café Delight,Chennai,Chinese,3.8,3103,377,39,0,0,1142,20.967433495120336,81.60609715300207
156,The Hunger Spot,Delhi,Italian,2.6,983,496,18,0,10,197,20.809713532634113,77.90884931735721
157,Tasty Point,Kolkata,Mughlai,3.4,4034,1412,27,0,10,1308,27.994609846783767,87.66621791173223
158,Spice Hub,Pune,Bakery,2.9,2652,1170,46,0,0,1175,15.243278511141558,74.64550217159693
159,The Chef House,Chennai,Chinese,4.1,1452,499,41,0,0,1242,27.723034017079797,76.64516563343588
160,Masala Magic,Pune,Fast Food,3.7,4339,604,48,0,30,1748,21.73561853868791,86.34575365705433
161,Royal Treat,Chennai,Seafood,3.7,1487,590,42,0,0,739,28.599648443777586,81.91556570691264
162,Masala Magic,Mumbai,Fast Food,3.6,780,910,23,0,0,1100,21.912898588697644,81.3398837615843
163,Café Delight,Hyderabad,Chinese,4.9,315,664,22,0,40,911,23.236380139457687,82.07178592704703
164,Urban Bites,Delhi,Fast Food,3.0,11,1254,35,0,0,428,24.718229829246283,76.735327129083
165,Tasty Point,Bangalore,Seafood,3.8,280,437,44,0,20,973,25.866447950438285,84.67857668133047
166,Tasty Point,Bangalore,Bakery,4.3,4526,157,43,1,0,281,20.393261394990084,80.54590097291741
167,The Chef House,Mumbai,Mughlai,3.9,3224,236,23,0,10,761,23.58964280463971,73.46449668359664
168,Urban Bites,Delhi,Bakery,4.8,873,1147,27,0,0,673,22.57663963484296,75.56366889170458
169,Flavour Town,Delhi,Fast Food,3.4,2749,435,32,0,40,594,19.272683253452584,85.5393368239521
170,Food Junction,Mumbai,Seafood,3.7,2924,223,52,0,10,137,25.850682100983057,78.18269834396057
171,Spice Hub,Delhi,Seafood,2.7,116,1296,36,1,10,1528,15.859931996161425,84.86572838145548
172,Tasty Point,Hyderabad,Chinese,4.0,3178,955,45,1,30,990,15.457378310900301,83.14867707202859
173,The Hunger Spot,Mumbai,Italian,3.2,4654,1316,49,1,40,1364,24.50936761049618,77.50277257933236
174,Tasty Point,Hyderabad,Fast Food,2.9,2609,307,56,1,0,327,22.936016488078565,74.78175448640893
175,Masala Magic,Delhi,Fast Food,3.9,2245,579,56,0,30,509,17.85080140202829,85.38834647032482
176,Tasty Point,Mumbai,Fast Food,3.8,2809,1282,24,0,0,1364,22.89856548181283,82.83216282894291
177,Tasty Point,Delhi,Fast Food,2.7,1521,995,23,1,10,776,25.05329029577654,77.49244113342014
178,Food Junction,Mumbai,Chinese,4.2,28,185,45,0,0,1936,16.24976223346489,80.96308950429795
179,Food Junction,Delhi,Italian,4.1,868,1263,58,1,10,1399,22.04416669569695,82.34568791568111
180,Royal Treat,Hyderabad,Italian,3.0,1426,1170,54,0,0,667,25.912187818230063,72.83304893819803
181,Flavour Town,Kolkata,North Indian,3.7,3042,1123,38,0,10,627,19.338692760979875,83.26000708662943
182,The Hunger Spot,Hyderabad,Fast Food,4.3,4515,1167,55,1,10,756,21.89061365039429,83.03481784648358
183,Tasty Point,Delhi,Fast Food,3.8,1436,1469,22,0,0,1563,14.048717697932252,74.08822337701842
184,Tasty Point,Mumbai,North Indian,3.5,2541,862,34,1,10,1569,26.004452769772662,85.08895200599005
185,Spice Hub,Bangalore,Italian,3.3,4729,1219,31,0,40,43,25.458409265332982,85.67138605990047
186,Food Junction,Hyderabad,Seafood,4.0,4761,637,42,0,20,1235,20.054445802646235,77.32653454339875
187,The Hunger Spot,Hyderabad,Seafood,4.8,4873,768,20,1,10,772,14.696049721992978,75.33051745170103
188,The Chef House,Chennai,South Indian,4.2,4048,319,56,0,30,1020,23.300340667018112,83.50911138574571
189,Royal Treat,Bangalore,Bakery,2.7,4123,295,47,0,10,368,21.910383905022158,74.72426247181257
190,Flavour Town,Delhi,South Indian,3.7,2241,1017,42,0,0,44,27.419730369801677,86.18546170455305
191,Urban Bites,Kolkata,Italian,4.7,2462,569,15,1,10,1433,17.248955623885372,80.2900199666938
192,Flavour Town,Mumbai,Mughlai,2.7,2856,722,55,1,0,1684,13.313990783447625,86.99302011899667
193,Masala Magic,Chennai,Fast Food,5.0,3212,1176,49,0,20,1034,16.8503597997591,82.8178422033126
194,Tasty Point,Delhi,South Indian,4.9,1826,1436,38,0,40,618,19.603720972190704,77.24743934891815
195,Royal Treat,Pune,Chinese,2.7,1790,948,20,1,0,1788,15.271566589722562,80.10138836440957
196,Masala Magic,Kolkata,Seafood,4.8,4113,470,21,1,10,820,28.377785609834064,81.05781550322237
197,The Hunger Spot,Hyderabad,Chinese,3.4,714,395,23,0,10,929,16.336017313233903,85.51647517249133
198,Urban Bites,Pune,North Indian,4.6,1351,626,51,0,0,978,23.57798758381105,86.2449405610529
199,Food Junction,Hyderabad,Italian,3.5,3472,1432,30,1,20,1611,20.020391713061688,83.45498370894069
200,Royal Treat,Hyderabad,Italian,3.6,3600,1266,48,0,20,1233,21.62685089174412,77.38949044069398
201,Royal Treat,Pune,South Indian,4.1,1169,932,49,1,0,1071,27.629611878664043,81.04566872421945
202,Tasty Point,Kolkata,Fast Food,4.4,4636,682,49,0,30,560,21.251706082269102,74.83770089713256
203,Café Delight,Pune,Italian,2.6,3732,1433,34,0,0,510,17.65310118911723,76.38970781709139
204,Royal Treat,Delhi,South Indian,4.0,3448,386,37,0,40,507,16.3109474893615,77.52771469377959
205,Spice Hub,Chennai,South Indian,3.0,3570,1314,56,1,0,810,26.98268663402564,73.93505493268795
206,Urban Bites,Chennai,Bakery,3.4,3092,1124,49,0,20,191,28.488928544177604,86.60582224846391
207,Urban Bites,Pune,Bakery,3.4,1725,828,37,0,0,57,16.804131326429733,74.71324916471318
208,Spice Hub,Delhi,Italian,3.7,2253,728,18,0,0,1988,24.2787464363711,83.67068412693307
209,The Chef House,Chennai,South Indian,3.3,1770,279,24,1,30,318,20.841464524733556,80.68832515355842
210,Spice Hub,Delhi,North Indian,2.8,4017,160,57,0,10,1309,23.907469667549222,85.77557812578259
211,Spice Hub,Delhi,North Indian,2.9,1806,406,25,0,30,1070,28.13101170705324,84.36015767218024
212,Urban Bites,Hyderabad,Bakery,2.6,2685,965,54,0,10,667,17.189778981897827,84.6519128832991
213,Flavour Town,Chennai,Italian,3.7,3246,518,23,0,30,767,24.56514111474828,79.32620193146245
214,Urban Bites,Chennai,Seafood,4.9,53,1093,54,0,40,1800,19.763354289051705,85.81002771997896
215,Café Delight,Hyderabad,Fast Food,2.8,498,1031,26,0,10,1495,23.175292402537437,74.27797325915417
216,Tasty Point,Pune,Mughlai,4.9,4286,168,31,0,10,1512,19.26576546256574,79.73293664742602
217,Masala Magic,Hyderabad,Seafood,4.3,3158,259,46,1,30,1128,24.062542084639027,88.31597934848008
218,Flavour Town,Chennai,North Indian,4.1,4733,654,37,1,0,945,18.166275095407784,87.59058690266356
219,Food Junction,Chennai,North Indian,4.1,966,1207,29,1,30,32,20.56484605172454,74.08251632572109
220,Masala Magic,Kolkata,Seafood,4.6,2124,1461,42,0,10,1613,24.06981895393477,81.73857519100267
221,Tasty Point,Pune,Bakery,2.8,1125,1152,52,1,20,278,13.479038086486947,77.7241495433636
222,Café Delight,Hyderabad,Bakery,3.8,1791,404,19,0,0,999,18.01662354725464,84.16417154615405
223,Café Delight,Mumbai,Italian,4.2,2836,787,54,0,20,1143,21.484336771765314,84.27828396491763
224,Food Junction,Mumbai,Bakery,4.0,660,283,32,0,0,635,13.978749331259838,72.80145498113139
225,Flavour Town,Pune,Chinese,4.6,1886,648,35,0,30,1304,23.98019265891554,85.99477922003317
226,The Chef House,Hyderabad,Mughlai,2.7,350,546,29,0,10,297,25.731262608217982,76.28789024069115
227,Spice Hub,Hyderabad,Seafood,4.2,2960,796,17,0,0,973,15.39690422203356,87.86814318182053
228,Flavour Town,Delhi,Seafood,3.8,3385,834,40,0,40,1109,24.462061716858464,86.92472840317924
229,The Chef House,Chennai,South Indian,3.4,2455,1386,29,0,20,1644,23.074582142690886,75.77428116512999
230,Café Delight,Bangalore,North Indian,3.4,2760,168,59,0,40,827,19.332967813923375,82.72683261382636
231,Urban Bites,Kolkata,Seafood,4.1,2154,1160,34,0,0,1643,15.423311299512473,77.42308037375734
232,Tasty Point,Pune,Chinese,4.7,1364,268,35,0,20,1421,27.98256596031859,74.40655251158023
233,Food Junction,Bangalore,Seafood,3.7,3286,451,40,0,20,1560,20.177774541652887,86.43443631842673
234,Tasty Point,Bangalore,Fast Food,4.6,458,1458,55,0,20,675,15.719930891334018,75.62089296653042
235,The Hunger Spot,Pune,Chinese,3.5,4182,376,37,0,0,1160,24.21881150771707,79.36709394244247
236,The Hunger Spot,Hyderabad,Italian,2.8,4654,1385,39,0,0,802,22.46557749323779,87.21735036589664
237,Flavour Town,Pune,Fast Food,2.7,807,505,18,1,30,518,25.77754803942135,73.97552772579716
238,Café Delight,Bangalore,Fast Food,2.6,3506,850,24,0,10,224,28.63793771606891,81.38911813334617
239,Café Delight,Chennai,Seafood,3.5,4920,636,36,0,40,606,13.513387943834902,81.7254522082022
240,Spice Hub,Kolkata,Bakery,3.3,2192,1494,17,1,0,1123,24.555120566947714,84.70384068656865
241,Spice Hub,Kolkata,Seafood,4.3,3336,372,33,0,40,1061,28.527181136796862,85.70324156823817
242,Spice Hub,Chennai,Chinese,4.4,655,1364,45,0,20,1772,21.35788305949736,79.41664319826442
243,Urban Bites,Chennai,Italian,2.6,729,1144,23,0,20,1986,24.179662662454653,84.40145543488788
244,Masala Magic,Hyderabad,North Indian,3.1,1532,649,43,0,0,633,19.813657188378073,87.00285334750505
245,Royal Treat,Mumbai,Mughlai,3.2,1079,1410,51,0,30,1019,18.47270205273537,86.62575270527142
246,Masala Magic,Pune,Bakery,3.9,4753,1195,21,1,10,663,23.873683660206776,80.62837747040801
247,Tasty Point,Kolkata,Chinese,2.9,4897,1300,52,0,20,840,28.510621525310157,82.269660972407
248,Masala Magic,Chennai,North Indian,2.8,4684,514,38,0,0,77,14.257496009396492,83.29581824586872
249,Urban Bites,Pune,Chinese,4.9,3085,1217,22,0,20,1155,19.511731538708826,85.57809727869598
250,Tasty Point,Kolkata,Bakery,4.5,3817,668,48,1,30,616,27.75583896659413,80.72063620147696
251,Masala Magic,Chennai,North Indian,3.0,3371,1301,40,1,0,1886,14.59349285151015,74.5456403010187
252,Urban Bites,Kolkata,Bakery,3.5,2166,1303,42,0,20,1869,23.14983965359547,78.81070709902421
253,Royal Treat,Hyderabad,Chinese,3.4,4565,678,42,0,0,1671,19.639620489014955,84.0351524389714
254,Masala Magic,Mumbai,Fast Food,4.5,2323,1494,21,0,30,334,18.792589437919474,82.53126354486866
255,Urban Bites,Mumbai,Mughlai,3.8,3515,335,17,0,40,181,16.130092407996308,84.55447210315418
256,Spice Hub,Chennai,South Indian,2.8,4149,947,36,0,0,1841,15.603714935789586,80.59927831782838
257,Café Delight,Kolkata,Mughlai,4.3,642,1131,52,0,0,1993,21.008958524895956,75.52071445170513
258,Spice Hub,Hyderabad,Fast Food,3.5,2209,497,58,1,20,343,18.80125168922452,74.59723760227205
259,Café Delight,Delhi,Bakery,3.2,3073,1071,32,0,0,737,20.615555703549013,80.30768624861071
260,Food Junction,Pune,Mughlai,3.4,2920,1070,26,0,10,1374,15.91540559225909,76.00930744495999
261,Food Junction,Pune,Bakery,3.7,632,1106,45,0,0,599,18.36820785792309,88.12336345363865
