provider,region,instance_type,vCPU,ram_gb,storage_gb,bandwidth_tb,contract_type,usage_hours,monthly_cost($)
GCP,eu-west-1,memory,8,16,1000,2.5,On-Demand,720,142.4
AWS,us-east-1,compute,16,8,200,2.99,On-Demand,720,167.11
AWS,ap-south-1,compute,4,16,1000,2.72,On-Demand,360,121.88
AWS,eu-west-1,memory,4,32,500,1.92,On-Demand,720,114.58
GCP,us-east-1,memory,8,64,100,4.52,On-Demand,360,185.04
AWS,us-west-2,memory,16,16,1000,3.29,On-Demand,720,217.01
AWS,us-east-1,memory,2,16,200,4.21,On-Demand,720,84.29
GCP,ap-south-1,general,2,32,1000,1.41,On-Demand,720,111.62
GCP,ap-south-1,compute,4,8,200,3.15,On-Demand,720,74.62
GCP,us-east-1,compute,8,16,200,0.51,On-Demand,720,91.19
AWS,us-east-1,compute,8,8,500,2.03,Reserved,360,80.62
GCP,us-east-1,compute,2,32,100,2.13,On-Demand,720,79.3
GCP,ap-south-1,general,2,8,500,4.43,On-Demand,720,84.14
AWS,us-east-1,general,8,16,200,0.84,On-Demand,360,98.96
GCP,ap-south-1,memory,2,64,100,1.42,Reserved,360,83.37
AWS,eu-west-1,memory,4,8,1000,4.97,On-Demand,720,130.93
Azure,us-east-1,compute,4,8,100,1.48,On-Demand,720,61.97
GCP,us-east-1,compute,8,64,100,1.98,On-Demand,720,163.32
Azure,eu-west-1,compute,4,16,100,0.76,Reserved,720,48.19
AWS,us-west-2,memory,2,8,1000,1.28,On-Demand,720,82.72
GCP,ap-south-1,general,16,16,100,3.18,On-Demand,720,166.74
AWS,eu-west-1,memory,2,32,500,2.15,Reserved,720,73.19
Azure,eu-west-1,general,2,16,1000,2.7,Reserved,360,80.67
AWS,us-east-1,memory,4,32,100,4.28,On-Demand,720,117.82
GCP,us-east-1,memory,8,32,100,4.42,Reserved,360,101.97
GCP,eu-west-1,memory,4,8,500,4.78,On-Demand,720,101.38
Azure,ap-south-1,compute,2,32,1000,2.94,On-Demand,360,137.82
AWS,us-east-1,general,8,16,1000,3.62,On-Demand,720,159.98
GCP,eu-west-1,general,2,16,500,4.96,On-Demand,720,99.31
Azure,us-east-1,general,2,32,200,2.09,Reserved,720,66.23
GCP,eu-west-1,compute,8,8,200,4.26,On-Demand,720,112.61
GCP,eu-west-1,compute,16,8,1000,4.9,On-Demand,720,209.28
AWS,eu-west-1,compute,4,8,1000,1.66,On-Demand,360,101.14
GCP,us-east-1,general,4,16,500,1.13,On-Demand,360,80.82
AWS,eu-west-1,compute,2,8,100,2.71,On-Demand,720,55.09
GCP,us-east-1,memory,4,8,100,1.16,On-Demand,360,53.33
Azure,ap-south-1,general,2,64,500,1.3,On-Demand,720,145.74
GCP,ap-south-1,memory,4,16,500,3.57,On-Demand,720,101.68
AWS,us-east-1,general,4,32,1000,1.87,On-Demand,720,136.63
AWS,ap-south-1,memory,16,16,200,4.67,Reserved,720,139.27
Azure,us-west-2,compute,8,32,1000,1.48,On-Demand,360,171.28
GCP,eu-west-1,general,4,16,100,2.95,On-Demand,720,79.28
GCP,us-east-1,general,8,8,500,0.8,On-Demand,720,95.86
Azure,eu-west-1,general,16,64,200,3.17,On-Demand,360,259.49
GCP,eu-west-1,memory,4,64,200,3.97,On-Demand,720,156.11
GCP,us-west-2,compute,16,16,500,3.03,On-Demand,360,182.56
AWS,eu-west-1,memory,2,32,500,4.59,On-Demand,720,123.61
GCP,ap-south-1,memory,4,8,200,2.12,On-Demand,720,65.82
GCP,us-west-2,compute,4,8,100,1.13,On-Demand,720,53.08
Azure,us-east-1,compute,8,8,500,2.92,Reserved,360,90.7
Azure,us-east-1,compute,8,32,1000,4.49,On-Demand,360,199.72
AWS,ap-south-1,general,8,16,100,0.69,On-Demand,720,93.11
GCP,eu-west-1,memory,4,16,500,4.3,Reserved,720,77.7
GCP,us-east-1,compute,8,64,1000,1.24,On-Demand,720,195.47
GCP,us-west-2,general,2,64,1000,4.97,Reserved,720,132.92
AWS,eu-west-1,memory,2,64,1000,1.95,Reserved,360,120.35
AWS,eu-west-1,general,2,8,200,2.59,Reserved,720,42.13
Azure,ap-south-1,memory,2,64,500,1.89,Reserved,720,108.95
AWS,us-west-2,memory,2,32,200,1.34,On-Demand,360,80.86
GCP,ap-south-1,general,4,32,200,2.44,Reserved,720,72.34
GCP,eu-west-1,compute,16,64,100,4.35,On-Demand,360,240.59
AWS,us-west-2,compute,8,32,1000,1.08,On-Demand,720,159.52
GCP,us-east-1,general,16,16,100,3.48,On-Demand,720,169.31
GCP,ap-south-1,general,8,16,200,4.79,Reserved,360,92
AWS,eu-west-1,compute,2,64,500,2.09,On-Demand,360,145.91
AWS,ap-south-1,memory,4,64,200,2.51,On-Demand,720,151.19
GCP,us-east-1,memory,2,8,500,1.9,On-Demand,720,62.51
GCP,ap-south-1,compute,4,8,500,3.73,On-Demand,720,92.41
GCP,us-east-1,general,2,8,100,3.36,On-Demand,720,57.89
Azure,us-east-1,memory,4,8,1000,1.11,Reserved,720,72.72
Azure,us-west-2,compute,4,8,1000,1.39,On-Demand,720,103.65
Azure,ap-south-1,compute,2,8,200,2.01,On-Demand,360,55.95
AWS,ap-south-1,compute,4,64,1000,3.19,On-Demand,360,193.31
Azure,us-west-2,general,4,32,500,2.59,On-Demand,720,126.64
AWS,us-west-2,compute,2,16,1000,4.33,On-Demand,360,121.37
AWS,eu-west-1,memory,4,64,200,1.09,On-Demand,720,138.41
Azure,us-east-1,memory,2,16,100,1.22,On-Demand,360,55.52
Azure,ap-south-1,general,2,16,500,2.16,Reserved,720,59.98
Azure,us-west-2,general,8,64,200,1.5,On-Demand,360,180.7
GCP,ap-south-1,compute,16,64,1000,2.82,On-Demand,360,265.98
Azure,us-west-2,general,2,64,200,2.08,Reserved,360,100.03
GCP,us-west-2,compute,4,16,500,2.58,On-Demand,360,93.21
AWS,us-east-1,general,16,16,1000,2.75,On-Demand,360,212.15
GCP,us-east-1,memory,8,32,100,4.71,On-Demand,720,144.11
Azure,us-west-2,memory,2,8,200,0.56,Reserved,720,30.42
AWS,ap-south-1,memory,2,32,500,1.31,On-Demand,720,94.09
AWS,ap-south-1,general,4,8,200,0.91,On-Demand,720,58.39
AWS,us-west-2,compute,4,16,100,3.64,On-Demand,720,89.66
GCP,us-east-1,memory,8,8,500,1.19,On-Demand,360,99.19
Azure,ap-south-1,general,2,64,1000,2.15,Reserved,720,127.73
AWS,us-west-2,memory,2,8,100,2.55,On-Demand,360,53.65
AWS,ap-south-1,general,4,16,100,4.05,Reserved,720,67.21
AWS,us-east-1,memory,2,16,500,3.95,On-Demand,720,95.45
GCP,us-east-1,general,2,64,500,4.5,On-Demand,360,159.22
GCP,us-east-1,general,8,16,1000,0.88,On-Demand,720,128.55
Azure,eu-west-1,compute,2,8,500,2.48,Reserved,360,53.69
GCP,eu-west-1,compute,16,16,200,2.83,On-Demand,360,168.03
AWS,us-west-2,general,8,32,200,4.28,On-Demand,720,152.32
Azure,ap-south-1,compute,8,8,200,3.53,On-Demand,720,117.57
AWS,us-east-1,general,8,16,500,3.58,On-Demand,720,137.12
AWS,eu-west-1,compute,2,8,200,1.26,On-Demand,720,46.54
GCP,us-east-1,general,8,32,200,2.58,Reserved,360,93.72
Azure,eu-west-1,general,2,8,200,0.78,On-Demand,360,44.33
GCP,us-west-2,general,8,8,100,1.89,On-Demand,360,88.07
GCP,us-east-1,general,4,64,500,3.36,On-Demand,720,163.72
Azure,eu-west-1,general,16,64,200,4.34,On-Demand,360,270.54
AWS,us-west-2,general,8,32,500,2.56,On-Demand,720,150.34
AWS,eu-west-1,compute,4,32,500,3.07,Reserved,720,89.95
Azure,eu-west-1,general,2,8,100,4.92,On-Demand,360,78.73
AWS,us-west-2,general,2,32,200,3.05,On-Demand,720,96.25
Azure,us-east-1,compute,2,8,200,4.75,On-Demand,720,81.85
Azure,us-east-1,general,2,32,200,1.24,On-Demand,720,83.96
GCP,us-west-2,compute,4,16,1000,1.45,Reserved,360,75.55
Azure,us-west-2,memory,8,16,500,3.35,Reserved,360,102.1
GCP,us-west-2,memory,2,16,500,1.32,On-Demand,720,68.19
AWS,ap-south-1,general,8,8,1000,4.91,On-Demand,720,160.39
AWS,us-west-2,memory,8,16,100,1.06,On-Demand,720,96.44
AWS,us-west-2,compute,4,64,100,4.6,Reserved,720,119.16
AWS,ap-south-1,memory,2,32,200,4.52,On-Demand,720,109.48
GCP,eu-west-1,general,8,16,200,0.65,On-Demand,360,92.39
AWS,us-east-1,compute,4,8,100,2.96,On-Demand,360,72.34
Azure,ap-south-1,memory,16,32,500,2.65,On-Demand,720,221.71
Azure,ap-south-1,compute,2,32,200,4.26,On-Demand,720,112.5
Azure,ap-south-1,general,2,32,500,1.82,Reserved,720,74.6
GCP,ap-south-1,compute,8,32,100,1.22,On-Demand,360,114.27
AWS,us-west-2,general,2,16,1000,1.13,On-Demand,360,92.57
AWS,us-east-1,memory,4,32,200,4.7,Reserved,360,90.79
AWS,us-east-1,general,8,8,500,0.82,On-Demand,720,101.08
GCP,ap-south-1,general,2,64,500,3.35,On-Demand,360,149.39
Azure,us-east-1,general,8,32,200,2.03,On-Demand,720,138.67
Azure,us-east-1,memory,8,8,100,3.93,On-Demand,720,116.62
AWS,eu-west-1,general,2,16,500,0.58,Reserved,720,46.89
Azure,ap-south-1,memory,4,8,500,1.52,On-Demand,720,81.25
Azure,ap-south-1,general,4,8,100,4.48,Reserved,720,65.03
GCP,ap-south-1,general,2,16,500,3.14,Reserved,720,60.3
GCP,ap-south-1,compute,2,64,500,3.62,On-Demand,720,151.7
GCP,ap-south-1,compute,4,8,1000,0.91,On-Demand,720,89.67
GCP,us-east-1,memory,4,8,100,1.67,Reserved,720,41.54
AWS,us-east-1,memory,8,8,200,4.12,On-Demand,360,117.28
GCP,us-west-2,general,4,32,100,0.7,Reserved,360,58.55
Azure,ap-south-1,compute,16,16,1000,3.28,On-Demand,360,227.77
AWS,eu-west-1,general,16,16,200,0.85,On-Demand,720,159.05
Azure,ap-south-1,memory,8,16,200,2.91,Reserved,720,88.9
Azure,eu-west-1,general,2,8,200,4.37,On-Demand,360,78.26
Azure,ap-south-1,compute,2,64,500,3.14,On-Demand,360,163.13
GCP,us-east-1,memory,8,16,100,0.98,Reserved,360,65.47
GCP,eu-west-1,compute,2,8,200,0.55,On-Demand,360,38.14
AWS,eu-west-1,memory,4,8,1000,4.62,Reserved,360,92
AWS,ap-south-1,general,2,8,500,4.79,Reserved,720,66.1
GCP,us-east-1,memory,4,64,1000,0.63,Reserved,720,116.46
Azure,eu-west-1,memory,4,16,1000,0.99,On-Demand,720,111.63
AWS,us-east-1,general,8,16,1000,3.26,Reserved,720,112.85
GCP,eu-west-1,general,4,64,1000,2.18,Reserved,360,126.01
GCP,ap-south-1,compute,8,64,200,2.75,On-Demand,720,174.18
GCP,us-west-2,compute,8,64,200,2.97,Reserved,720,126.77
Azure,us-east-1,compute,4,8,200,2.28,On-Demand,360,74.26
GCP,us-west-2,general,4,32,200,3.56,On-Demand,720,110.05
GCP,eu-west-1,compute,2,16,1000,0.55,On-Demand,360,82.98
GCP,us-west-2,memory,8,16,100,3.95,Reserved,360,83.76
GCP,ap-south-1,general,2,64,1000,4.53,On-Demand,720,180.85
AWS,us-west-2,memory,8,32,100,1.11,On-Demand,720,119.29
AWS,eu-west-1,general,4,8,1000,1.06,On-Demand,720,95.74
GCP,ap-south-1,compute,2,8,100,4.42,Reserved,720,48.21
Azure,ap-south-1,general,4,64,500,4.33,On-Demand,360,190.12
AWS,eu-west-1,memory,16,16,200,0.62,On-Demand,360,156.98
GCP,us-east-1,memory,4,32,500,4.34,On-Demand,720,129.54
AWS,us-west-2,memory,4,16,200,2.74,On-Demand,720,86.06
AWS,eu-west-1,compute,8,64,1000,3.32,On-Demand,360,224.48
Azure,ap-south-1,general,8,16,1000,3.46,Reserved,360,119.86
GCP,us-east-1,compute,8,64,200,4.56,On-Demand,720,189.66
GCP,us-east-1,general,16,16,100,4.59,Reserved,720,128.74
Azure,us-west-2,general,8,32,500,3.7,Reserved,720,121.41
Azure,eu-west-1,compute,8,16,500,2.35,Reserved,360,95.29
GCP,ap-south-1,general,4,8,1000,4.73,On-Demand,360,122.33
GCP,eu-west-1,compute,2,64,100,2.01,Reserved,720,87
Azure,eu-west-1,memory,2,8,500,4.91,On-Demand,720,97.53
AWS,eu-west-1,compute,2,8,100,3.4,On-Demand,720,61.3
AWS,us-west-2,memory,8,8,200,2.58,On-Demand,720,103.42
Azure,us-west-2,memory,8,32,200,2.21,On-Demand,720,140.37
AWS,ap-south-1,memory,4,16,200,2.49,On-Demand,720,83.81
Azure,us-east-1,general,2,8,200,3.82,On-Demand,720,73.06
AWS,us-east-1,memory,8,16,100,1,On-Demand,720,95.9
AWS,us-west-2,general,16,16,1000,3.44,On-Demand,720,218.36
GCP,us-east-1,memory,4,32,200,3.54,On-Demand,360,109.88
GCP,us-west-2,memory,2,32,100,2.06,On-Demand,720,78.7
AWS,ap-south-1,general,4,32,100,4.56,On-Demand,720,120.34
AWS,eu-west-1,general,2,8,1000,3.76,On-Demand,720,105.04
GCP,eu-west-1,compute,8,32,1000,3.19,On-Demand,360,169.58
GCP,eu-west-1,general,4,8,100,1.83,Reserved,720,42.52
GCP,us-west-2,general,2,32,1000,2.24,On-Demand,720,118.71
Azure,us-east-1,general,4,32,200,2.75,On-Demand,360,113.98
AWS,eu-west-1,compute,4,32,1000,0.84,On-Demand,720,127.36
GCP,us-west-2,general,4,16,100,2.02,Reserved,720,51.35
AWS,us-west-2,general,8,8,500,1.45,Reserved,720,76.86
Azure,us-west-2,memory,2,16,500,4.1,On-Demand,720,101.64
Azure,us-west-2,compute,8,64,200,3.61,On-Demand,360,200.64
GCP,ap-south-1,general,4,32,100,2.86,Reserved,360,71.85
Azure,ap-south-1,memory,4,32,200,2.17,On-Demand,360,108.5
AWS,us-west-2,compute,2,32,1000,3.3,Reserved,360,96.84
GCP,eu-west-1,memory,2,8,100,1.89,On-Demand,360,45.32
AWS,us-west-2,general,2,16,100,2.26,On-Demand,360,62.24
AWS,ap-south-1,general,8,32,200,3.64,Reserved,360,105.52
Azure,ap-south-1,memory,2,16,200,3.02,On-Demand,720,77.26
Azure,eu-west-1,memory,4,16,200,1.57,On-Demand,720,79.31
Azure,us-east-1,general,2,16,1000,2.53,On-Demand,720,110.43
Azure,us-west-2,memory,2,32,200,2.71,Reserved,720,70.45
Azure,us-west-2,compute,2,8,1000,4.03,Reserved,720,81.25
GCP,ap-south-1,memory,16,8,200,4.75,On-Demand,720,173.8
AWS,us-east-1,memory,4,16,500,2.66,On-Demand,360,98.84
AWS,us-east-1,general,8,32,1000,1.87,On-Demand,720,166.63
AWS,ap-south-1,memory,4,32,500,0.91,On-Demand,360,105.49
AWS,ap-south-1,general,8,64,500,2.62,Reserved,360,140.89
Azure,ap-south-1,general,4,8,200,4.47,On-Demand,720,94.95
AWS,us-east-1,general,4,8,500,2.14,On-Demand,360,82.96
GCP,us-west-2,compute,16,32,500,0.53,On-Demand,360,182.47
GCP,eu-west-1,compute,2,32,100,1.06,On-Demand,360,70.15
AWS,ap-south-1,memory,8,16,1000,3.91,On-Demand,360,162.59
AWS,us-east-1,general,2,8,1000,4.4,On-Demand,720,110.8
GCP,us-east-1,compute,8,32,100,3.96,Reserved,720,99.14
GCP,us-west-2,memory,4,64,500,0.57,Reserved,360,100.71
Azure,us-east-1,compute,16,64,200,1.81,On-Demand,360,246.63
GCP,eu-west-1,memory,8,64,500,3.86,On-Demand,360,196.5
Azure,us-east-1,general,4,8,500,3.63,Reserved,360,72.86
Azure,eu-west-1,compute,4,8,1000,1.64,On-Demand,720,106.01
Azure,ap-south-1,general,8,8,100,2.64,Reserved,720,75.19
Azure,us-east-1,memory,16,32,500,1.57,On-Demand,360,211.5
Azure,ap-south-1,memory,16,16,200,0.95,On-Demand,360,167.95
AWS,us-east-1,compute,8,8,100,3.27,On-Demand,720,105.13
GCP,us-east-1,general,8,32,1000,2.3,On-Demand,720,161.98
Azure,us-west-2,general,16,32,100,2.31,On-Demand,720,199.59
GCP,ap-south-1,memory,2,8,500,1.73,Reserved,720,43.96
GCP,eu-west-1,general,2,64,100,4.35,Reserved,720,101.4
Azure,us-east-1,memory,16,64,200,1.27,On-Demand,720,241.53
AWS,eu-west-1,compute,4,32,1000,3.25,On-Demand,360,149.05
Azure,eu-west-1,general,8,16,100,3.26,Reserved,360,87.88
AWS,ap-south-1,general,4,64,1000,3.17,On-Demand,360,193.13
GCP,us-west-2,general,2,8,200,1.91,On-Demand,360,49.77
AWS,us-east-1,compute,4,32,100,1.16,Reserved,720,64.61
AWS,us-west-2,compute,8,64,200,3.42,Reserved,720,136.35
AWS,us-east-1,compute,4,16,100,1.22,On-Demand,720,67.88
GCP,us-west-2,general,4,8,100,3.16,On-Demand,360,70.43
GCP,us-east-1,compute,8,16,1000,3.43,On-Demand,720,150.36
AWS,us-west-2,general,16,16,100,0.77,On-Demand,720,153.83
AWS,ap-south-1,compute,16,8,100,2.18,On-Demand,720,155.32
Azure,ap-south-1,memory,2,8,200,0.53,On-Demand,360,41.97
AWS,us-east-1,memory,4,8,500,3.95,Reserved,720,71.46
Azure,eu-west-1,compute,2,8,100,4.21,On-Demand,720,72.02
AWS,us-east-1,compute,4,16,1000,1.59,Reserved,720,80.43
Azure,us-east-1,general,2,8,200,1.64,On-Demand,720,52.46
GCP,ap-south-1,memory,8,32,200,4.77,On-Demand,720,148.89
AWS,eu-west-1,compute,8,32,500,1.06,On-Demand,720,136.84
AWS,us-west-2,memory,2,8,1000,2.39,On-Demand,720,92.71
AWS,us-east-1,general,2,64,100,1.82,On-Demand,360,125.48
AWS,ap-south-1,memory,16,16,1000,3.24,On-Demand,720,216.56
Azure,us-west-2,general,2,32,1000,3.79,Reserved,720,105.02
AWS,eu-west-1,general,2,8,200,2.03,Reserved,720,38.5
GCP,us-west-2,compute,8,16,500,4.6,Reserved,360,100.07
GCP,ap-south-1,compute,8,16,1000,1.03,On-Demand,360,129.84
AWS,eu-west-1,general,2,64,1000,4.83,On-Demand,360,193.07
GCP,ap-south-1,compute,4,16,100,2.08,Reserved,360,51.72
AWS,eu-west-1,compute,16,64,100,3.78,Reserved,720,178.65
AWS,us-east-1,general,2,16,500,4.73,On-Demand,720,102.47
GCP,us-west-2,memory,8,16,500,4.26,On-Demand,720,136.08
AWS,ap-south-1,general,16,16,1000,4.87,Reserved,720,166.49
GCP,ap-south-1,compute,2,32,200,1.5,Reserved,720,56.29
Azure,eu-west-1,memory,4,32,1000,4.09,On-Demand,720,164.44
AWS,ap-south-1,memory,4,32,1000,2.31,Reserved,360,101.22
Azure,ap-south-1,general,8,8,100,1.02,On-Demand,720,89.12
GCP,us-east-1,compute,8,16,500,1.06,On-Demand,360,108.72
Azure,ap-south-1,compute,4,64,500,3.27,On-Demand,360,180.11
Azure,eu-west-1,memory,2,16,100,4.98,On-Demand,720,91.06
GCP,us-east-1,general,2,8,200,0.89,On-Demand,720,41.05
Azure,us-west-2,memory,8,16,100,2.05,On-Demand,720,110.62
Azure,us-east-1,compute,2,16,200,3.69,Reserved,720,60.19
GCP,us-west-2,general,8,16,200,4.88,Reserved,720,92.56
Azure,eu-west-1,compute,2,64,200,2.3,On-Demand,720,141.01
GCP,us-west-2,memory,8,32,500,0.7,On-Demand,360,126.92
Azure,ap-south-1,memory,2,16,100,4.46,On-Demand,720,86.14
GCP,us-east-1,compute,4,16,100,2.26,On-Demand,360,73.38
GCP,us-west-2,general,2,16,100,3.67,On-Demand,720,71.18
Azure,us-west-2,memory,2,16,1000,3.17,On-Demand,360,116.48
Azure,us-west-2,compute,2,32,500,0.69,On-Demand,360,92.94
Azure,eu-west-1,memory,8,16,200,1.44,On-Demand,720,109.58
AWS,us-east-1,memory,2,8,100,2.31,Reserved,360,37.07
AWS,ap-south-1,general,8,8,500,2.27,On-Demand,720,114.13
AWS,eu-west-1,compute,16,64,200,2.15,On-Demand,720,237.95
GCP,us-west-2,memory,8,64,200,3.55,On-Demand,720,181.02
Azure,eu-west-1,compute,8,16,1000,1.18,Reserved,720,104.34
GCP,eu-west-1,memory,16,32,500,3.25,On-Demand,720,205.72
AWS,eu-west-1,compute,4,8,100,0.99,On-Demand,360,54.61
Azure,us-east-1,general,4,8,1000,0.65,On-Demand,720,96.65
GCP,eu-west-1,memory,8,16,500,3.03,On-Demand,360,125.56
Azure,us-west-2,general,8,32,200,1.73,On-Demand,360,135.84
GCP,us-east-1,memory,2,64,1000,3.96,Reserved,360,126.7
Azure,eu-west-1,compute,16,32,1000,1.44,On-Demand,720,233.9
AWS,us-west-2,compute,8,8,200,0.73,On-Demand,360,86.77
AWS,us-east-1,memory,4,16,500,1.6,Reserved,360,64.3
Azure,ap-south-1,general,8,16,1000,0.77,Reserved,360,101.55
GCP,ap-south-1,memory,2,32,1000,2.53,On-Demand,720,121.19
AWS,eu-west-1,general,4,32,1000,2.57,On-Demand,360,142.93
AWS,us-east-1,general,2,16,200,1.2,On-Demand,360,57.2
AWS,us-west-2,compute,2,8,1000,2.91,On-Demand,720,97.39
Azure,eu-west-1,memory,8,32,1000,4.54,Reserved,360,144.14
