api_provider,endpoint_type,auth_method,app_category,region,daily_requests,avg_latency_ms,error_rate,payload_size_kb,success_rate,peak_hour_calls,retry_count
Stripe,payments,IAM_Role,backend_service,eu-central-1,1182,142.89270568692552,0.03550807304045642,14.843761686222898,0.9658950073859645,84,7
Stripe,chat_completion,OAuth,web_app,us-west-2,1193,311.4211607614546,0.13275825389278237,26.757328312593543,0.9773103049115986,84,2
AWS,embeddings,OAuth,mobile_app,ap-south-1,1202,256.09319639110214,0.12816128904545998,45.74521215557644,0.9921060482982709,87,1
Stripe,payments,JWT,web_app,eu-central-1,1180,53.29088140416002,0.14068409137808807,43.9910625083031,0.961706148453063,66,7
OpenAI,compute,JWT,backend_service,ap-south-1,1222,167.72363753627138,0.08833470842282896,26.321925097287586,0.9908232517720695,81,2
AWS,storage,IAM_Role,web_app,us-west-2,1236,271.7995463283319,0.13768697511520644,53.045620579817,0.9771123372231888,82,3
AWS,payments,API_Key,data_pipeline,ap-south-1,1156,187.76256475326412,0.06330280642465685,75.49081727960625,0.9936730773281376,74,2
Stripe,chat_completion,JWT,mobile_app,us-east-1,1184,130.61270743023496,0.09302479969395538,34.24460805194176,0.9516015540731239,74,3
OpenAI,auth,OAuth,data_pipeline,ap-south-1,1194,333.4831453897059,0.037297321640247544,22.005157677974083,0.9677877445354932,75,0
OpenAI,compute,JWT,backend_service,us-east-1,1191,347.6679997359642,0.1292102272059466,3.0628007848214227,0.9392270029727657,82,1
AWS,payments,JWT,backend_service,us-east-1,1202,287.9726981974817,0.10667470968809102,28.592136687853916,0.9457794859433568,82,2
Stripe,chat_completion,IAM_Role,data_pipeline,us-west-2,1219,415.96092565101935,0.06610443811512051,96.16714434351009,0.9299555300202228,59,0
AWS,compute,OAuth,mobile_app,us-east-1,1246,281.99079444897114,0.14245490455618112,57.84944019523563,0.9805847668538901,83,2
OpenAI,compute,OAuth,web_app,ap-south-1,1211,200.87853201654318,0.039505522073740106,16.684940767494098,0.9274427702971545,81,2
OpenAI,embeddings,API_Key,web_app,ap-south-1,1250,313.90388049427725,0.06214299711714289,28.930118745309503,0.9650561254322816,91,2
OpenAI,embeddings,IAM_Role,mobile_app,ap-south-1,1209,209.68989832832818,0.04451884785971784,40.74349930760634,0.9417654439542302,63,0
OpenAI,auth,IAM_Role,web_app,us-east-1,1210,284.2242058608632,0.0378935938942071,14.762554474096298,0.9888403546937198,76,1
AWS,storage,JWT,mobile_app,eu-central-1,1231,295.99163751395236,0.17073388013291976,43.144017577447606,0.927571734274324,89,2
OpenAI,auth,JWT,web_app,eu-central-1,1205,362.14971160108007,0.02965594071522506,5.019253188790572,0.9630149978539884,73,3
OpenAI,auth,JWT,backend_service,us-west-2,1213,162.2807388781323,0.1845800194724835,20.578175478850966,0.9920008740352633,76,1
Stripe,auth,IAM_Role,data_pipeline,us-west-2,1182,231.88725863746794,0.05537590029715562,10.85542778804637,0.9266411486956458,75,1
Stripe,embeddings,API_Key,web_app,us-east-1,1209,344.9839569478915,0.02008543307199226,56.91279672505288,0.9873114588685884,66,4
OpenAI,embeddings,OAuth,web_app,ap-south-1,1160,198.1282149974253,0.14870977734718172,101.8301966843564,0.9275464107774447,75,1
Stripe,auth,JWT,backend_service,us-west-2,1232,228.15632034716475,0.029257854830789354,26.51838659331558,0.9285297499628204,102,2
Stripe,embeddings,JWT,web_app,ap-south-1,1160,183.6152915183385,0.007351262923403297,23.95401076412956,0.9829369896136346,59,0
OpenAI,embeddings,API_Key,data_pipeline,ap-south-1,1191,140.05700382851177,0.0552948581991226,18.976707218399987,0.9284196227679139,70,4
AWS,compute,IAM_Role,data_pipeline,us-west-2,1207,314.9419751130425,0.043323685328796345,22.170411642410155,0.9359654310088709,95,2
OpenAI,storage,JWT,web_app,us-east-1,1247,287.7046076560486,0.038771585393379486,34.22532646680489,0.9798092788431986,84,3
Stripe,compute,IAM_Role,web_app,us-west-2,1199,267.66107513199245,0.22062931824564075,120.00062845814722,0.9984629719088493,78,2
AWS,auth,API_Key,web_app,us-east-1,1181,330.2236937371197,0.19295863705300562,20.529780902171648,0.9952426140578587,77,4
AWS,storage,IAM_Role,mobile_app,us-east-1,1217,351.7367321541588,0.03891718252661093,129.3328793430029,0.9220557786011017,105,1
OpenAI,embeddings,OAuth,mobile_app,us-east-1,1232,271.66397331031146,0.1629525898166298,54.48005447595483,0.9474189499611114,86,2
OpenAI,auth,IAM_Role,mobile_app,ap-south-1,1203,413.2260064705098,0.14580126330889265,31.920763336473613,0.9867035502753211,96,1
OpenAI,embeddings,API_Key,web_app,us-east-1,1197,213.43380909800905,0.06966045287697477,88.46190629542994,0.9852813649890899,84,2
Stripe,payments,IAM_Role,mobile_app,us-east-1,1238,168.35789710539672,0.09398125719888702,30.021203960625126,0.9705890749827973,85,1
Stripe,chat_completion,IAM_Role,mobile_app,eu-central-1,1170,219.38327461607466,0.038695886237470584,44.495637747539014,0.9485469608479871,76,0
OpenAI,auth,API_Key,data_pipeline,eu-central-1,1155,306.24267357052935,0.07966479232057522,13.849121936334246,0.9731982435318273,76,2
Stripe,chat_completion,JWT,web_app,us-west-2,1250,304.5371367267648,0.12369006586090699,40.87814786399736,0.9695279206816988,85,4
AWS,storage,IAM_Role,mobile_app,us-east-1,1229,295.26242954714337,0.08738055431152895,48.60524864150041,0.955751543538158,94,3
Stripe,payments,OAuth,mobile_app,us-east-1,1183,303.26801187418624,0.09838039617831529,37.71307039424749,0.9929917836185315,90,2
Stripe,compute,OAuth,backend_service,eu-central-1,1195,253.65240935433883,0.05412758072955648,16.10186296048234,0.992540149924328,80,0
OpenAI,storage,API_Key,web_app,us-west-2,1188,190.33555429841795,0.0979043186381781,10.406891591690464,0.9584880256981051,61,5
OpenAI,chat_completion,OAuth,mobile_app,ap-south-1,1188,275.1009356676773,0.13993215877174986,35.27910652411883,0.9940172508002708,82,3
AWS,embeddings,IAM_Role,data_pipeline,eu-central-1,1255,250.74309238468766,0.11560874679274691,35.94744598538804,0.9822166828604119,86,3
Stripe,payments,OAuth,web_app,eu-central-1,1185,334.69074763514715,0.09446501205876977,86.70224232175627,0.9516871719576729,81,0
Stripe,compute,IAM_Role,data_pipeline,us-west-2,1204,259.21979668228175,0.12369432019536221,38.44678218871326,0.9234315153911861,76,1
OpenAI,auth,JWT,web_app,us-west-2,1168,238.02226575611482,0.0926511288441151,83.62843640009422,0.9969337132812081,67,1
AWS,embeddings,OAuth,mobile_app,us-east-1,1139,207.75089461141954,0.10515652864035731,28.125191472925962,0.9422865858440689,70,2
AWS,storage,IAM_Role,backend_service,us-west-2,1175,333.31333629519145,0.05353286026089028,46.94687977101307,0.9979584815714031,74,2
OpenAI,chat_completion,OAuth,backend_service,us-west-2,1161,268.51593691865935,0.10305080603360005,65.83058807470276,0.9228246184975335,81,1
Stripe,payments,JWT,mobile_app,ap-south-1,1162,315.7885658296202,0.0812518580005084,12.80742794538943,0.9826301892988689,76,2
AWS,chat_completion,JWT,data_pipeline,us-west-2,1133,107.64861697727571,0.1592168308369593,48.75829829959025,0.938132295272138,68,2
OpenAI,chat_completion,API_Key,data_pipeline,eu-central-1,1188,151.0736053200427,0.05685831163117236,9.642986633738737,0.9477595900956214,61,3
AWS,chat_completion,OAuth,data_pipeline,us-east-1,1162,289.03294770363857,0.18555341630143085,20.999395024981045,0.9631236722696019,75,1
OpenAI,embeddings,OAuth,data_pipeline,us-east-1,1187,248.39409586312453,0.0988107632413003,52.02778714984697,0.9302020064059956,92,2
Stripe,compute,API_Key,web_app,us-east-1,1218,148.73857106130066,0.11698195995703518,71.1362975223512,0.9718866414176817,87,0
OpenAI,auth,OAuth,backend_service,us-east-1,1197,238.90788176007982,0.1539162046077192,44.73046823039869,0.9719735414997746,84,5
OpenAI,storage,API_Key,web_app,eu-central-1,1190,241.83537057870942,0.04777818568040409,49.15158461869201,0.9701367120268483,93,2
AWS,chat_completion,OAuth,data_pipeline,us-east-1,1149,270.8074343199487,0.18723426889493278,35.65173588595201,0.9700206051707033,95,3
Stripe,auth,IAM_Role,data_pipeline,us-east-1,1172,153.9509955727336,0.18544567599344186,33.594396995869545,0.9879294196813876,92,1
Stripe,auth,IAM_Role,mobile_app,us-east-1,1201,302.65801868106456,0.11663124354633753,27.572399394112704,0.9209761298759643,82,5
AWS,payments,JWT,backend_service,us-east-1,1234,184.42018309158195,0.13890162025535635,29.792044010536394,0.956036632613601,83,2
AWS,embeddings,JWT,mobile_app,us-west-2,1178,373.87302843205464,0.03227658687139085,17.457407106028462,0.9889531832572673,96,5
OpenAI,storage,API_Key,data_pipeline,us-east-1,1224,194.62441282987876,0.1218259953789764,50.78428307290669,0.9548582243073607,64,2
Stripe,chat_completion,IAM_Role,data_pipeline,us-east-1,1191,299.44725729936835,0.06574278075463393,46.8707244013174,0.9912949828958725,69,3
AWS,embeddings,API_Key,data_pipeline,us-west-2,1168,272.40566807961306,0.028606571647258834,2.1868976351236222,0.977637768519134,86,0
AWS,storage,OAuth,mobile_app,ap-south-1,1243,427.20887445681575,0.11640634287482712,71.41079243151815,0.9701944489471206,63,1
AWS,storage,OAuth,mobile_app,us-west-2,1226,296.9116556351651,0.13452978187621598,29.318132829756436,0.9507239067407741,84,0
Stripe,embeddings,IAM_Role,web_app,ap-south-1,1258,297.34187646145324,0.0940262150176185,80.43070576080854,0.9924271971944563,84,1
Stripe,auth,OAuth,backend_service,us-west-2,1208,288.9653298470118,0.17341155696294613,59.972809910019336,0.9293284362026049,81,5
OpenAI,embeddings,API_Key,data_pipeline,us-east-1,1183,174.46836191446351,0.16449024694756129,100.21510699306222,0.9554879571829852,63,2
OpenAI,embeddings,OAuth,mobile_app,us-west-2,1188,192.02502119158905,0.0169115409173671,19.519497464943562,0.9460570491544832,65,1
OpenAI,embeddings,IAM_Role,web_app,us-east-1,1223,273.2376034623489,0.04084442282378863,26.77738219892084,0.9673680787541044,99,2
Stripe,chat_completion,IAM_Role,mobile_app,ap-south-1,1228,206.17324981027588,0.053111421494364514,25.97941037026281,0.978833289283409,94,2
Stripe,storage,JWT,backend_service,us-west-2,1198,294.83528594796513,0.039586631463004,67.43047161277768,0.9841801955905485,85,1
OpenAI,chat_completion,JWT,mobile_app,us-west-2,1259,246.6960869184099,0.071488581662324,16.237780770203337,0.9328046882814914,76,2
OpenAI,compute,JWT,mobile_app,eu-central-1,1157,293.6663354073937,0.12909176719818527,114.33828323788505,0.977641981748787,85,2
AWS,payments,API_Key,backend_service,ap-south-1,1302,236.9207314106218,0.11279906810100371,40.999009711922874,0.9821986838034709,78,3
Stripe,chat_completion,API_Key,backend_service,us-east-1,1232,236.04290109837146,0.050119505648940924,90.51904181727231,0.9773838875979605,82,2
OpenAI,chat_completion,IAM_Role,data_pipeline,us-west-2,1218,214.94115413663107,0.04351026037331169,6.278591218418654,0.9267793527105975,81,1
AWS,compute,JWT,mobile_app,us-east-1,1224,228.91787924493133,0.20527859815014873,16.92322711080605,0.9387808020812234,80,2
AWS,storage,JWT,backend_service,ap-south-1,1254,48.60993331436788,0.08136286227009641,35.88917653753911,0.9216325257149648,82,4
Stripe,storage,API_Key,web_app,us-east-1,1212,313.43140789502,0.045398514786299936,36.2112316063306,0.9949815775422985,94,3
OpenAI,chat_completion,IAM_Role,data_pipeline,ap-south-1,1197,302.34756250944065,0.15960263194083166,68.41463342726362,0.9588084098353727,70,4
OpenAI,compute,JWT,web_app,us-east-1,1232,252.93227023402468,0.07712505268671531,18.246732778942274,0.951643484724755,71,5
Stripe,compute,OAuth,mobile_app,us-west-2,1163,392.28574612506713,0.12525438472001832,23.630342199832306,0.9706801879351477,73,2
Stripe,embeddings,OAuth,web_app,eu-central-1,1206,254.42669510332698,0.14033833940260562,71.23796217200699,0.993472874432198,77,5
Stripe,auth,JWT,mobile_app,ap-south-1,1168,270.6907957452213,0.11984439828358459,154.16169037089185,0.940148849567117,88,2
AWS,embeddings,API_Key,data_pipeline,us-west-2,1244,337.8817395205768,0.0328280977266193,52.93349964607262,0.9952333584185187,101,1
Stripe,chat_completion,JWT,backend_service,us-west-2,1166,300.64834043910366,0.1631532487960056,22.176863652473493,0.9656224249587989,76,1
OpenAI,payments,OAuth,mobile_app,eu-central-1,1211,326.92091240170174,0.0703838294057049,30.075911934700915,0.9960180877627094,77,1
Stripe,chat_completion,API_Key,data_pipeline,us-west-2,1235,247.07827661878304,0.03378054837008727,23.66907817580075,0.9750209248150968,71,2
OpenAI,embeddings,JWT,web_app,us-east-1,1227,349.6941291648591,0.23086159209181276,35.10635489789504,0.943844634087699,85,3
Stripe,chat_completion,IAM_Role,data_pipeline,us-east-1,1147,290.933704762479,0.07585347292826987,30.425520403847557,0.9668577156123868,90,1
Stripe,compute,OAuth,data_pipeline,us-west-2,1213,305.0101715586523,0.10265580261096617,100.09077218509377,0.9259587014274301,73,3
AWS,auth,API_Key,data_pipeline,us-west-2,1195,358.0273698010491,0.10644560847641132,52.663093447460014,0.9429288135027221,85,1
Stripe,payments,OAuth,backend_service,ap-south-1,1178,240.0983422227008,0.10079344807843607,29.88092204959177,0.9236203732060638,80,1
OpenAI,storage,API_Key,mobile_app,ap-south-1,1148,241.83918245355468,0.10781838906911195,38.49889631526629,0.9906527024677471,76,4
AWS,chat_completion,IAM_Role,web_app,ap-south-1,1187,250.86971572291668,0.08204836843141886,52.721018630418286,0.9986394939797925,88,0
Stripe,embeddings,OAuth,web_app,us-east-1,1202,316.590417614554,0.05768388566700472,36.35033340294652,0.9468613168285097,74,0
OpenAI,chat_completion,API_Key,backend_service,ap-south-1,1217,245.532222872505,0.03620252412927974,16.451268644377542,0.9776349392993288,79,1
OpenAI,payments,OAuth,mobile_app,eu-central-1,1201,323.7031938173505,0.0416090359948185,25.359368948627086,0.9455894257272071,75,0
Stripe,payments,API_Key,web_app,eu-central-1,1165,218.68298201931685,0.04486740755574092,17.388248969833814,0.9603887733524347,72,2
AWS,auth,IAM_Role,web_app,us-west-2,1202,180.73971180227818,0.07882996012676509,4.382944189033521,0.9532873769377209,88,2
Stripe,payments,IAM_Role,web_app,us-west-2,1187,317.44223540566475,0.10626232956601459,5.319069420175869,0.9634775137259147,80,0
Stripe,embeddings,API_Key,web_app,ap-south-1,1143,311.6677321542836,0.09817143451901736,2.875868578588723,0.9511655380188109,56,2
Stripe,auth,API_Key,web_app,us-west-2,1203,173.62110395830285,0.22165128105148707,8.89991277706262,0.9681294538027815,73,1
Stripe,auth,OAuth,web_app,us-west-2,1270,355.7232649926939,0.07316845482528625,69.02094649806014,0.9275702958867663,65,2
OpenAI,chat_completion,IAM_Role,web_app,us-west-2,1274,244.90708593060245,0.050258844158814486,55.92124359451575,0.9370938569346362,80,1
AWS,compute,OAuth,backend_service,ap-south-1,1243,403.55579183123706,0.026301789008237226,3.376797512614644,0.9981080752582382,79,2
Stripe,payments,OAuth,data_pipeline,us-west-2,1213,358.76829605215875,0.06757172950286518,99.66344130470759,0.9284186627500278,77,3
OpenAI,chat_completion,OAuth,mobile_app,ap-south-1,1214,278.3187982481874,0.029713946004295676,92.13148260450336,0.9448677350363903,104,6
Stripe,storage,API_Key,data_pipeline,us-west-2,1211,178.6299760307451,0.14962360433869626,69.275881950781,0.9979037867591798,59,3
AWS,embeddings,IAM_Role,web_app,ap-south-1,1161,319.44167961055996,0.30576648470167284,52.951418961517895,0.9508124844889035,89,1
OpenAI,chat_completion,OAuth,backend_service,eu-central-1,1176,346.77860820960757,0.05336171349704881,15.108252183258715,0.9921614427943176,65,1
AWS,embeddings,OAuth,web_app,ap-south-1,1180,225.55015575729573,0.08270332445444148,19.487294775151504,0.9897287863860215,79,3
Stripe,payments,JWT,data_pipeline,us-east-1,1233,212.1311631562757,0.08041304734125612,51.547583108958854,0.9268121100382541,78,2
Stripe,auth,IAM_Role,data_pipeline,ap-south-1,1176,328.4362870944849,0.27721199213802933,19.161294762010666,0.9777038961396324,79,3
AWS,auth,JWT,backend_service,ap-south-1,1160,233.34372350814556,0.07211027697937177,14.226054438173906,0.9413303492523113,101,0
AWS,auth,OAuth,web_app,us-west-2,1193,297.2526221155437,0.029289847806199424,68.94924244248338,0.9314856658336094,74,3
AWS,compute,API_Key,data_pipeline,us-east-1,1176,266.69494266905895,0.11042726847969886,2.975200926499884,0.9941027650032757,64,2
Stripe,auth,JWT,backend_service,ap-south-1,1235,373.9712289546093,0.05766845985867117,63.54077170766271,0.9673740546444795,96,1
OpenAI,storage,API_Key,data_pipeline,ap-south-1,1227,125.94513444962884,0.06500755301499522,30.420202368200584,0.9696212025168789,66,3
AWS,auth,JWT,mobile_app,ap-south-1,1251,307.0232278583859,0.20877191968996583,25.24385758114098,0.99391170170897,79,1
AWS,embeddings,IAM_Role,data_pipeline,ap-south-1,1187,344.50664769991954,0.004799284804752475,22.50973797410007,0.988636732369242,70,1
AWS,embeddings,API_Key,backend_service,ap-south-1,1203,413.4736853892065,0.05717079887587391,39.99535345037338,0.9803958802531453,74,6
AWS,auth,IAM_Role,web_app,us-west-2,1140,237.6607846658159,0.1874401066686303,116.7915679353379,0.9503100156647422,67,0
Stripe,embeddings,IAM_Role,backend_service,ap-south-1,1174,223.89801027834937,0.0240291847269883,44.755280741187505,0.9249663019144223,64,1
AWS,auth,JWT,data_pipeline,eu-central-1,1165,270.2406896059544,0.27638345688998683,10.692790051088538,0.9500901144446956,55,2
OpenAI,storage,API_Key,backend_service,eu-central-1,1145,283.3786052426537,0.06678085896399588,20.041356438322588,0.9351010946933974,100,1
OpenAI,auth,IAM_Role,mobile_app,eu-central-1,1201,109.19284469822534,0.12461835251103151,85.90294962509788,0.973515903155842,83,3
AWS,payments,API_Key,mobile_app,us-east-1,1236,262.92672172596906,0.05727492721338441,20.490699521652218,0.9287685719229992,78,5
Stripe,payments,OAuth,backend_service,ap-south-1,1186,209.76124294830964,0.13741118936925442,40.80164612274356,0.9591810092021091,69,3
AWS,compute,JWT,backend_service,us-west-2,1252,237.95635017353354,0.04723269807322768,69.55852821447985,0.9824128277802712,69,0
Stripe,auth,OAuth,web_app,us-east-1,1200,346.09610782764196,0.11925666338973724,24.305816783174656,0.9201782193385948,86,0
AWS,chat_completion,IAM_Role,mobile_app,us-east-1,1150,151.32770333505152,0.004801738998681685,25.286643082517916,0.9950312888731593,88,2
OpenAI,embeddings,JWT,web_app,us-east-1,1250,264.5414264508826,0.17469855231688067,16.599866426312218,0.9887191063379169,82,1
OpenAI,storage,OAuth,web_app,ap-south-1,1225,332.60898082781387,0.11835856901201382,14.9242499776127,0.9420257905461698,94,1
OpenAI,storage,JWT,backend_service,us-west-2,1255,339.7652244934548,0.1302027882032303,19.24266277671367,0.966425039161749,81,3
AWS,auth,API_Key,data_pipeline,us-west-2,1201,247.12081368932033,0.07472758496636094,56.86409701164865,0.946899898353345,83,1
OpenAI,embeddings,IAM_Role,backend_service,us-east-1,1191,172.00634596749896,0.06759302052442842,35.50028231444928,0.9449903714229821,94,3
OpenAI,compute,IAM_Role,backend_service,ap-south-1,1142,318.14414117098835,0.12304277814705118,6.812289453558549,0.9850595470456138,87,1
Stripe,storage,API_Key,mobile_app,us-west-2,1234,295.5034314293095,0.05987504745291014,161.85850341150086,0.9600931088222571,88,3
AWS,payments,OAuth,web_app,ap-south-1,1206,225.59993242250192,0.0570400292498004,72.0919300119753,0.9794757628964832,75,1
Stripe,chat_completion,OAuth,data_pipeline,us-east-1,1179,269.7577101294153,0.06579180939510952,79.62888080552952,0.9878086890906413,98,6
OpenAI,storage,IAM_Role,data_pipeline,us-east-1,1196,339.8637475124969,0.11318268671438814,25.021009077456103,0.9756816376442474,72,1
Stripe,auth,IAM_Role,backend_service,ap-south-1,1207,208.8024002436961,0.05891765968975128,9.254686716777131,0.951228916183864,82,1
OpenAI,embeddings,OAuth,web_app,us-west-2,1258,344.90788056062854,0.07748194017213715,54.823007338921734,0.9391322303006854,77,1
OpenAI,auth,JWT,backend_service,eu-central-1,1170,161.10219665932925,0.05260641103615755,15.978833327620588,0.9857957389065042,76,3
Stripe,storage,JWT,backend_service,us-west-2,1222,261.23384555410195,0.03272480712460681,16.04653840817314,0.9987766023772148,80,3
OpenAI,embeddings,OAuth,data_pipeline,us-west-2,1179,172.7897136610983,0.06235000578762327,39.625186546920105,0.9617953186186582,69,2
OpenAI,compute,API_Key,web_app,eu-central-1,1229,266.700282934479,0.09410252951414692,24.164315624679006,0.9773128179445384,68,2
OpenAI,auth,OAuth,mobile_app,eu-central-1,1200,224.28821524498716,0.11420087048792382,82.10260568357643,0.9948288648161449,86,3
AWS,chat_completion,IAM_Role,data_pipeline,us-west-2,1282,222.24333095765832,0.14699782411018616,67.58198407761732,0.9662176011179975,75,0
OpenAI,auth,IAM_Role,data_pipeline,us-east-1,1180,300.4779505044843,0.11437569816166532,14.354826859175496,0.9985887164896999,86,0
Stripe,payments,API_Key,web_app,eu-central-1,1204,319.35679448367887,0.1476515984800259,60.53392997065161,0.954884445037696,85,3
Stripe,embeddings,OAuth,data_pipeline,us-east-1,1180,291.08410220438793,0.008860749874747649,57.467807989181054,0.9808492301397815,78,1
AWS,payments,JWT,data_pipeline,us-east-1,1152,193.16598169697795,0.019408644311120896,58.21252178451928,0.9727772943377361,103,2
OpenAI,auth,API_Key,web_app,ap-south-1,1192,275.91012473152955,0.09719685382008819,13.554908573279496,0.9546465885096475,83,2
Stripe,payments,API_Key,web_app,us-west-2,1217,135.93888686595767,0.11127274600063543,16.44129958454345,0.9791600134595169,88,4
Stripe,storage,JWT,backend_service,ap-south-1,1224,193.7397271582061,0.02838776319687708,65.49873554999256,0.9512311369563143,78,0
OpenAI,compute,IAM_Role,mobile_app,us-east-1,1188,316.259369746874,0.12233089927741977,19.042079696942572,0.9848075482527413,93,1
AWS,chat_completion,IAM_Role,mobile_app,eu-central-1,1108,167.7360406632465,0.10190064937196114,10.782033082730717,0.9517320279965336,69,3
OpenAI,payments,IAM_Role,mobile_app,us-east-1,1213,280.31885057342544,0.05033977998875432,1.0738403683952995,0.9377934880359825,84,2
OpenAI,payments,JWT,data_pipeline,us-east-1,1215,91.80805893864877,0.015105078775714674,10.59056463070397,0.9939235425396701,88,2
Stripe,auth,API_Key,mobile_app,us-west-2,1198,289.1114538307062,0.08291191213559275,57.99922393629106,0.9638172431957485,75,3
OpenAI,compute,API_Key,backend_service,us-west-2,1138,224.86676449459668,0.011188821519088902,28.23487750327707,0.9484306875030856,76,4
Stripe,embeddings,API_Key,data_pipeline,us-west-2,1133,231.44671475347056,0.1043909776760401,65.46224828546046,0.9817483650658843,71,4
OpenAI,storage,JWT,data_pipeline,us-east-1,1246,318.9047307736356,0.11972578672346879,84.67692387640992,0.9979309455483192,90,2
Stripe,payments,IAM_Role,mobile_app,eu-central-1,1256,144.61905629555952,0.1807064238292989,77.63956199079357,0.9342321605764182,83,1
OpenAI,compute,IAM_Role,web_app,us-west-2,1130,272.6159574374787,0.10669723632957691,52.540410887960704,0.9824534835532317,71,2
OpenAI,chat_completion,IAM_Role,web_app,ap-south-1,1181,304.6808236327783,0.06379404838776111,37.662588396314604,0.9416534449620501,81,1
OpenAI,payments,API_Key,mobile_app,us-east-1,1194,116.6173285588321,0.06625917403200578,81.77948138150876,0.9516615691781075,87,2
OpenAI,payments,JWT,web_app,us-east-1,1195,374.3489509141913,0.11368318054028258,29.666449305053852,0.9940830503786812,77,3
Stripe,storage,IAM_Role,backend_service,us-east-1,1194,190.37359057109137,0.06476572925417393,23.976902495647927,0.9753447251177015,84,1
AWS,chat_completion,API_Key,backend_service,ap-south-1,1196,254.99608842249998,0.20903841169560858,39.1624673889116,0.9441225167087566,94,2
OpenAI,embeddings,IAM_Role,data_pipeline,us-west-2,1226,154.19854544157357,0.14891512284435346,49.064186795996704,0.9861155216918651,71,4
Stripe,chat_completion,IAM_Role,web_app,us-west-2,1175,293.38040651118644,0.08967210315030756,7.0118464462926315,0.9821745024471669,77,0
Stripe,payments,IAM_Role,backend_service,ap-south-1,1230,275.2907989711327,0.06610670216399768,18.387220446906557,0.9711403734977552,93,1
AWS,embeddings,JWT,backend_service,us-west-2,1257,213.63786352724958,0.15941684170151688,18.625229660344257,0.9286209162079866,67,5
OpenAI,compute,API_Key,backend_service,us-west-2,1214,276.6638025752556,0.06411329840029562,23.401931524706477,0.9275084352585028,91,3
Stripe,embeddings,IAM_Role,data_pipeline,eu-central-1,1244,340.24656185357117,0.10859434839690661,31.21783334510755,0.948280996664447,65,3
AWS,chat_completion,API_Key,web_app,ap-south-1,1146,295.86958310516775,0.023852438495814258,18.656349003700377,0.9310173199571379,79,2
AWS,embeddings,API_Key,mobile_app,ap-south-1,1212,128.44097448746857,0.17533492697622677,33.656687753672415,0.9871191645517706,85,6
AWS,embeddings,OAuth,backend_service,us-east-1,1165,198.01284267680913,0.14601056953498498,6.318343505376678,0.9499738274897283,92,1
Stripe,compute,API_Key,data_pipeline,eu-central-1,1253,302.66748788844177,0.1352527415165193,18.206803201474308,0.9603096760023132,87,2
OpenAI,storage,IAM_Role,data_pipeline,eu-central-1,1211,331.4619311694225,0.13048634371477233,34.6251003680986,0.9604382711746733,81,1
OpenAI,compute,JWT,web_app,eu-central-1,1229,192.21798657455162,0.13537234293315337,28.6397219473264,0.9402515253734817,85,1
