job_category,job_title,company_name,location,experience,experience_level,salary,salary_category,skills,skill_count,posted_time,job_description,job_link,source
AI Engineer,ai content writer,porlob technologies,"thane, mumbai, navi mumbai",1,Fresher, 200000 - 250000,Low,content writingsearch engine optimization (seo)generative ai toolscontent editing,9,2 days ago,"key responsibilities: 

1. use ai writing tools (chatgpt, claude, jasper, or similar) to draft, expand, and refine long-form seo content. craft well-structured prompts that consistently yield high-quality, on-brand output
2. critically evaluate ai-generated drafts for accuracy, readability, brand alignment, and e-e-a-t compliance. edit and elevate until every piece meets publishing standards — ai is the starting point, not the finish line
3. conduct thorough research to ensure content is genuinely informative, accurate, and positions the brand as a credible authority
4. collaborate with seo specialists to create and refresh content that captures serp real estate, with keywords aligned to nlp best practices
5. identify content gaps, suggest topics based on search trends and competitive analysis, and contribute to a content calendar that drives long-term organic growth
6. stay current on ai tools, prompt engineering, google algorithm updates, and evolving seo best practices            ",/job/detail/ai-content-writer-job-in-multiple-locations-at-porlob-technologies1775132585,internshala
AI Engineer,ai image generation executive,scribble solutions,jaipur,0,Not Disclosed, 240000 - 450000,Low,image editingvisual storytelling,4,2 days ago,"key responsibilities:

1. generate ai product images using tools like midjourney, flux, and other image generation platforms for fashion, jewellery, and lifestyle brands.
2. write and refine detailed prompts, describing lighting, backgrounds, model poses, textures, and styling — to produce campaign-ready and e-commerce-ready visuals.
3. compare every generated image against the original product photo. flag accuracy issues — wrong colour, altered pattern, missing details — and re-generate until the output matches the real product.
4. organise and manage image assets — maintain folders for reference images, generated outputs, approved finals, and rejected outputs for each client and product.
5. assist in building reusable prompt templates and style references for repeat clients, so we maintain visual consistency across collections and campaigns.
6. stay updated on new ai image generation tools, models, and techniques. test new tools proactively and share findings with the team.

note:

what you'll learn:

1. how ai image generation is used commercially by real brands to replace traditional photoshoots
2. prompt engineering for product-accurate image generation (not generic ai art)
3. quality control and creative evaluation workflows for ai-generated visuals
4. working directly with d2c brand founders on visual direction            ",/job/detail/fresher-ai-image-generation-executive-job-in-jaipur-at-scribble-solutions1775132517,internshala
Data Analyst,junior financial analyst,applied data finance private limited,chennai                                                        (hybrid),1,Fresher, 300000 - 500000,Low,financesqlfinancial modelingfinancial analysisfinancial reporting,5,2 days ago,"key responsibilities:

1. handle the monthly loan portfolio and payment reconciliation process.
2. perform month-end close of p&l and balance sheet substantiation, and provide commentary on material p&l movements.
3. prepare regular and ad hoc financial dashboards and investor/client reports.
4. perform day-to-day cash management.
5. document, optimize, and automate monthly reconciliation processes and reports.
6. collaborate with cross-functional teams to discuss product roadmap and process enhancements.
7. partner with cross-functional teams to analyze portfolio performance, identify trends, and support data-driven decision-making.            ",/job/detail/junior-financial-analyst-job-in-chennai-at-applied-data-finance-private-limited1775131931,internshala
Other,performance marketer,traffury,"delhi, dwarka",1,Fresher, 400000 - 800000,Medium,google analyticslead generationmarketing campaigns effective communicationdata analysisperformance marketinggoogle tag manager+2 more,12,3 days ago,"key responsibilities: 

1. plan, execute, and optimize paid media campaigns across google ads and meta ads manager.
2. manage campaign budgets.
3. set up and manage tracking via google analytics and google tag manager.            ",/job/detail/performance-marketer-job-in-multiple-locations-at-traffury1775036937,internshala
AI Engineer,stem trainer,robocodeveda,"anand, vadodara",0,Not Disclosed, 201000,Low,pythonroboticsmachine learningteachingarduino,3,3 days ago,"1. conduct fun and interactive stem sessions for school students and teach the basics of electronics, robotics, and coding
2. teach students using stem kits (arduino, sensors, circuits)
3. conduct hands-on projects and activities
4. manage the classroom and engage students
5. support students in learning and projects            ",/job/detail/fresher-part-time-stem-trainer-job-in-multiple-locations-at-robocode-veda1775040884,internshala
AI Engineer,robotics and ai trainer,robo labs,kolkata,0,Not Disclosed, 216000 - 240000,Low,javapythonroboticsteachingarduino3d printingc++ programming+2 more,5,3 days ago,"we are seeking a passionate 'robotics and ai trainer' to join our team at robo labs. if you are an expert in java, python, and c++ programming, with a deep understanding of robotics, arduino, esp32, 3d printing, internet of things (iot), and a passion for teaching, this role is perfect for you!

key responsibilities:

1. develop and deliver engaging training programs on robotics and ai concepts using java, python, and c++.
2. create hands-on projects utilizing arduino, esp32, and 3d printing to enhance learning experiences.
3. teach students how to integrate iot technologies into robotics projects for real-world applications.
4. collaborate with the curriculum development team to design cutting-edge training materials.
5. provide mentorship and support to students as they work on their robotics projects.
6. stay updated on the latest developments in robotics and ai technologies to incorporate into training programs.
7. maintain a positive and inclusive learning environment for all students to thrive and succeed in their robotics journey.

if you are a dynamic and innovative 'robotics and ai trainer' with a knack for inspiring others, we want to hear from you. join us at robo labs and make a difference in the exciting world of robotics!            ",/job/detail/fresher-robotics-and-ai-trainer-job-in-kolkata-at-robo-labs1775026346,internshala
Other,performance marketing executive,ichelon consulting services pvt. ltd.,gurgaon,1,Fresher, 300000 - 360000,Low,social media marketinggoogle analyticssearch engine marketing (sem)data analyticsgoogle adwordsfacebook marketingms-excel+2 more,12,3 days ago,"job role: performance marketing executive 
location: on-site (gurugram) 
company: ichelon consulting group 
role type: full-time 
required experience- 1-2 years 
 
ichelon consulting group is looking for a strategic and performance-driven performance marketing  executive to lead and manage paid advertising efforts across google ads, meta  (facebook/instagram), linkedin, and other social platforms. the ideal candidate will have a solid grasp of digital marketing strategies, conversion tracking, campaign analytics, and client communication. 
 
key responsibilities: 

a. campaign planning & management: 
1. create, manage, and optimize campaigns across google ads (search, display, youtube,  performance max) and social platforms (meta ads, linkedin ads, snapchat ads) 
2. conduct keyword research, audience targeting, ad copywriting, and competitor benchmarking to  ensure campaign effectiveness 

b. conversion tracking & optimization: 
1. set up event-based tracking using tools like google tag manager for actions such as form  submissions, calls, whatsapp interactions, etc. 
2. continuously optimize campaigns for cost per lead (cpl), return on ad spend (roas), click through rate (ctr), and quality score 
3. coordinate with landing page and design teams to align creatives with campaign goals and  conversion flows 

c. reporting & analytics: 
1. monitor campaign performance on a daily, weekly, and monthly basis 
2. develop comprehensive performance reports using platforms like google analytics, meta  business manager, looker studio/data studio, and excel 
3. provide data-backed insights and strategic recommendations for scaling campaigns and  improving roi

d. client communication & coordination: 
1. act as the main point of contact for assigned clients, providing regular updates, performance  summaries, and strategic input 
2. understand client goals, manage expectations, and proactively address concerns or changes in  requirements 
3. collaborate closely with internal teams to ensure deliverables meet client objectives and  timelines 

e. platform & industry awareness: 
1. stay up to date with advertising platform updates, privacy policies (hipaa awareness for healthcare is a plus), and emerging digital trends            ",/job/detail/performance-marketing-executive-job-in-gurgaon-at-ichelon-consulting-services-pvt-ltd1775018926,internshala
AI Engineer,video editor & cinematographer with expertise using ai,vave entertainment (loudsound studios llp),mumbai,1,Fresher, 200000 - 250000,Low,adobe photoshopadobe illustratorvideo editingadobe premiere profinal cut provideo makingartificial intelligence+4 more,12,4 days ago,"we are looking for a creative and tech-savvy content creation & ai video specialist to assist with producing content for social media (instagram, youtube) and handling video editing for music projects. the ideal candidate will have experience in video production, a passion for music, and expertise in integrating advanced ai tools to elevate visual content and music videos. this role requires someone who can manage multiple video editing projects while meeting deadlines and delivering high-quality work.

key responsibilities:

a. content creation & editing:
1. produce high-quality video and photo content for instagram, youtube, and other social media platforms.
2. edit and optimize videos for posts, stories, reels, and youtube.
3. collaborate with the artist to create compelling, on-brand content that connects with the audience.

b. music video production:
1. assist with all stages of music video production, from concept to filming and editing.
2. use ai tools to enhance music videos with innovative visual effects, animation, and dynamic transitions.
3. integrate ai-driven design elements to elevate the quality and creativity of the final product.

c. ai integration:
1. use ai tools like runwayml, midjourney, artbreeder, deepdream, blender and adobe sensei to create unique, high-end visual effects and enhance video content.
2. apply ai technologies to add generative art, dynamic effects, and other creative elements to videos and social media content.
3. stay up-to-date with the latest ai advancements to ensure cutting-edge, professional results.

d. video editing projects:
1. manage multiple video editing projects, ensuring timely delivery and adherence to deadlines.
2. handle all stages of editing from rough cuts to final delivery, ensuring a smooth workflow and high-quality output.

e. social media & strategy:
1. develop and manage a content calendar to maintain consistent, engaging posts across all platforms.
2. analyze performance data to refine and improve content strategy over time.            ",/job/detail/video-editor-cinematographer-with-expertise-using-ai-job-in-mumbai-at-vave-entertainment-loudsound-studios-llp1774891567,internshala
Data Scientist,pharmaceutical formulation & drug delivery scientist,aodh lifesciences private limited,hyderabad,1,Fresher, 200000 - 400000,Low,ms-officescientific writingmicrobiological techniquesresearch and analytics,6,1 week ago,"key responsibilities: 

1. lead formulation strategy for nasal and inhalation drug delivery systems.
2. design and optimize formulations (solution/suspension, excipients, ph, viscosity, stability).
3. collaborate on device selection (pump systems, container-closure).
4. develop qtpp, cqa, and risk assessment frameworks.
5. plan and evaluate prototype batches, compatibility, and performance studies.
6. prepare regulatory-style documentation and development reports.
7. work cross-functionally with analytical, regulatory, quality, and clinical teams.
8. apply qbd and doe approaches for formulation optimization.            ",/job/detail/part-time-pharmaceutical-formulation-drug-delivery-scientist-job-in-hyderabad-at-aodh-lifesciences-private-limited1774525195,internshala
AI Engineer,junior robotics trainee,vigyan pathshala private limited,"gorakhpur, sultanpur, allahabad",0,Not Disclosed, 200000 - 240000,Low,pythonroboticsarduinointernet of things (iot),5,1 week ago,"vigyan pathshala private limited is looking for a passionate and motivated robotics & ai trainee who is eager to build a career in teaching and technology. the candidate will gain hands-on experience in arduino, robotics, iot, and basic ai concepts, while also delivering engaging sessions to school students.

key responsibilities:

1. teach robotics, arduino, and basic ai concepts to school students
2. conduct practical sessions and help students build small projects
3. assist in designing and developing robotics systems using arduino and iot technologies
4. support development of basic python applications for controlling and monitoring devices
5. participate in testing and debugging of robotics projects
6. maintain discipline and engagement during classroom sessions (yes, this is a real skill)
7. contribute creative ideas to improve learning experience and project outcomes
8.stay updated with latest trends in robotics and ai

salary and benefits: 

1. probation period (3 months):  around ₹10,000 per month
2. post probation: ₹20000 per month
3. hands-on training and practical exposure in robotics & ai
4. opportunity to work on real-world projects and teaching experience            ",/job/detail/fresher-junior-robotics-trainee-job-in-multiple-locations-at-vigyan-pathshala-private-limited1774474006,internshala
Other,infrastructure executive,kins technology,kolkata                                                        (hybrid),0,Not Disclosed, 320000 - 400000,Low,linuxmachine learningcomputer visiondeep learning,5,2 weeks ago,"key responsibilities: 

1. computer assembly and hardware installation
2. desktop/laptop repairing and maintenance
3. basic networking setup and troubleshooting            ",/job/detail/fresher-infrastructure-executive-job-in-kolkata-at-kins-technology1773831695,internshala
AI Engineer,paid media executive,1702 digital,mumbai,1,Fresher, 300000 - 450000,Low,english proficiency (written)performance marketing,5,2 weeks ago,"1702 digital is one of the fastest-growing digital marketing companies in india. it was founded by a team of investment bankers and capital market lawyers. 1702 hand-picked the best marketing brains in the industry, got them under one roof and built a team that passionately innovates and punches above its weight every day. we are looking for a senior media executive to plan, optimize, and manage digital campaigns across google, meta, linkedin, and other ad platforms. the role involves campaign execution, analytics, reporting, and client servicing.

key responsibilities:

1. run and optimize campaigns on google ads, facebook/instagram, linkedin & twitter.
2. track performance using google analytics and other tools.
3. prepare reports, analyze roas/roi, and suggest optimizations.
4. work closely with creative teams for ad assets and audience alignment.
5. manage client communication and recommend new media opportunities.
6. stay updated on trends, platforms, and industry changes.            ",/job/detail/paid-media-executive-job-in-mumbai-at-1702-digital1773745180,internshala
Other,operations executive,saferspace insurance broking private limited,ahmedabad,1,Fresher, 200000 - 300000,Low,ms-officems-wordms-powerpointms-exceldata entrymisdata analysis,4,2 weeks ago,"key responsibilities:

1. prepare daily, weekly, and monthly mis reports for management.
2. maintain and update sales, client, and operational data.
3. manage excel sheets, dashboards, and data tracking systems.
4. coordinate with the sales team for data collection and reporting.
5. ensure accuracy and consistency of company data
6. generate reports related to leads, conversions, revenue, and performance
7. assist management with data analysis and decision-making reports.
8. maintain proper documentation and records.

note:

1. salary as per experience and skills

             ",/job/detail/operations-executive-job-in-ahmedabad-at-saferspace-insurance-broking-private-limited1773745844,internshala
Data Analyst,data analyst (telugu speaker),"peroptyx (castlebar, ireland)",work from home,0,Not Disclosed, 360000 - 700000,Medium,english proficiency (written)telugu proficiency (written)research and analyticsmap study,9,1 day ago,"key responsibilities:

1. provide ground truth for mapping data specific to your town, city, or country
2. review digital mapping application data to ensure accuracy
3. validate navigation routes to confirm they are accurate and safe
4. verify the correctness of business names and opening hours
5. check distance accuracy from starting points to end destinations
6. enhance user experience through precise and reliable map data
7. plan work around a flexible schedule, including weekends or late evenings
8. perform research to validate and improve mapping data

additional information:

1. work up to 20 hours per week
2. earn a competitive rate of pay
3. develop and refine research skills
4. avoid long commutes
5. work from the comfort of your home office
6. enjoy flexible working hours based on your schedule            ",/job/detail/fresher-remote-part-time-data-analyst-telugu-speaker-job-at-peroptyx1775223776,internshala
Data Analyst,data analyst (tamil speaker),"peroptyx (castlebar, ireland)",work from home,0,Not Disclosed, 360000 - 700000,Medium,english proficiency (written)research and analyticsmap studydata analysis,8,1 day ago,"key responsibilities: 

1. provide ground truth for mapping data specific to your town, city, or country
2. review digital mapping application data to ensure accuracy
3. validate navigation routes to confirm they are accurate and safe
4. verify the correctness of business names and opening hours
5. check distance accuracy from starting points to end destinations
6. enhance user experience through precise and reliable map data
7. plan work around a flexible schedule, including weekends or late evenings
8. perform research to validate and improve mapping data

additional information:

1. work up to 20 hours per week
2. earn a competitive rate of pay
3. develop and refine research skills
4. avoid long commutes
5. work from the comfort of your home office
6. enjoy flexible working hours based on your schedule            ",/job/detail/fresher-remote-part-time-data-analyst-tamil-speaker-job-at-peroptyx1775223686,internshala
Data Analyst,data analyst (english speaker),"peroptyx (castlebar, ireland)",work from home,0,Not Disclosed, 360000 - 700000,Medium,english proficiency (written)research and analyticsmap studydata analysis,8,1 day ago,"key responsibilities: 

1. provide ground truth for mapping data specific to your town, city, or country
2. review digital mapping application data to ensure accuracy
3. validate navigation routes to confirm they are accurate and safe
4. verify the correctness of business names and opening hours
5. check distance accuracy from starting points to end destinations
6. enhance user experience through precise and reliable map data
7. plan work around a flexible schedule, including weekends or late evenings
8. perform research to validate and improve mapping data

additional information:

1. work up to 20 hours per week
2. earn a competitive rate of pay
3. develop and refine research skills
4. avoid long commutes
5. work from the comfort of your home office
6. enjoy flexible working hours based on your schedule            ",/job/detail/fresher-remote-part-time-data-analyst-english-speaker-job-at-peroptyx1775223562,internshala
AI Engineer,"technical recruiter (full stack, data & ai hiring)",the skillians,gurgaon                                                        (hybrid),1,Fresher, 800000 - 1000000,Medium,recruitmenteffective communicationats,3,1 day ago,"key responsibilities:

1. manage end-to-end recruitment for roles across full stack, data, and ai domains.
2. partner with hiring managers to understand technical requirements and role expectations.
3. source and engage candidates through linkedin, naukri, github, and other relevant channels.
4. screen candidates for technical fit (mern, python, sql, ai/ml, etc.) as well as cultural alignment.
5. coordinate interviews and ensure a seamless and positive candidate experience.
6. build and maintain strong talent pipelines for roles including:
   a. full stack developers (frontend and backend)
   b. mern stack developers (mongodb, express, react, node.js)
   c. data analysts and data engineers (sql, python, power bi, tableau)
   d. ai/ml engineers (machine learning, deep learning, nlp)
7. manage offer negotiations, closures, and onboarding coordination.
8. track and report hiring metrics, pipeline health, and closure timelines.            ",/job/detail/technical-recruiter-full-stack-data-ai-hiring-job-in-gurgaon-at-the-skillians1775206744,internshala
Data Analyst,data & analytics engineer,nvelop technologies,work from home,1,Fresher, 400000 - 700000,Medium,pythonsqldata analyticsms-exceldata visualizationetl processes,5,1 day ago,"nvelop is building an ai-driven procurement intelligence platform that helps organizations run smarter sourcing events, evaluate suppliers faster, improve compliance, and continuously optimize supplier performance.

we are looking for a junior analytics engineer to support the development of nvelop's procurement intelligence platform. you will work alongside senior engineers to build data pipelines, analytics dashboards, and reporting tools that procurement teams use daily. this is an excellent opportunity for an early-career data professional to gain hands-on experience across data engineering, analytics, and product development.

key responsibilities:

1. data & analytics support (50%)
write and optimize sql queries to extract, transform, and load procurement data
assist in building and maintaining data pipelines for procurement transactions and reporting
support the development of analytics-ready data models
perform data quality checks and help monitor data pipelines
build and maintain dashboards and reports using tools like python, recharts, or similar

2. reporting & visualization (30%)
help develop interactive dashboards for procurement kpis (pos, invoices, supplier performance)
create clear visualizations for procurement and finance teams
support the maintenance of existing analytics tools and dashboards
assist in building self-service reports for internal stakeholders

3. collaboration & documentation (20%)
partner with senior engineers and product teams to understand requirements
document data models, business logic, and metric definitions
support user onboarding and training on analytics tools
participate in code reviews and follow engineering best practices

what you will learn?

1. building production-grade analytics pipelines and dashboards
2. working with procurement data and domain-specific analytics
3. modern data stack and analytics engineering best practices
4. cross-functional collaboration with product, finance, and procurement teams            ",/job/detail/remote-data-analytics-engineer-job-at-nvelop-technologies1775200319,internshala
Data Engineer,senior big data specialist,swifty solutions,work from home,0,Not Disclosed, 400000 - 700000,Medium,ms-office,2,1 day ago,"are you a senior big data specialist looking for a new and exciting opportunity? join swifty solutions, a leading tech company, as we continue to innovate and push the boundaries of data analysis. we are seeking a skilled professional who is proficient in ms-office and has a passion for working with big data.

key responsibilities:
1. lead and manage big data projects, including data collection, processing, and analysis.
2. develop and implement data models and algorithms to extract valuable insights from large datasets.
3. collaborate with cross-functional teams to optimize data pipelines and improve data quality.
4. design and implement data visualization techniques to communicate findings to stakeholders.
5. stay up-to-date with the latest trends and technologies in big data and analytics.
6. provide technical guidance and mentorship to junior team members.
7. contribute to the overall success of the company by driving data-driven decision-making processes.

if you are a proactive problem-solver with a strong analytical mindset and a desire to make a real impact, we want to hear from you. join swifty solutions and be part of a dynamic team that is shaping the future of data analytics. apply now and take your career to the next level!            ",/job/detail/fresher-remote-part-time-senior-big-data-specialist-job-at-swifty-solutions1775199375,internshala
