date,day,month,day_of_week,weekend,time,hour,time_period,rush_hour,booking_status,vehicle_type,pickup_location,drop_location,booking_value,booking_val_per_km,ride_distance,High_value_booking,long_ride,payment_method
2024-03-04,4,3,0,0,1900-01-01 17:46:46,17,,1,Cancelled_By_Driver,Go_Sedan,Ardee_City,Basai_Dhankot,,,,0,0,No_Payment
2024-11-10,10,11,6,1,1900-01-01 05:13:57,5,,0,Completed,Go_Mini,Punjabi_Bagh,Madipur,647.0,25.952667468912956,24.93,1,0,Uber_Wallet
2024-09-11,11,9,2,0,1900-01-01 10:36:44,10,,0,Cancelled_By_Driver,Auto,Meerut,Badarpur,,,,0,0,No_Payment
2024-04-11,11,4,3,0,1900-01-01 15:43:34,15,,1,No_Driver_Found,Uber_Xl,Anand_Vihar_Isbt,Dwarka_Sector_21,,,,0,0,No_Payment
2024-06-01,1,6,5,1,1900-01-01 10:03:27,10,,0,Completed,Premier_Sedan,Mayur_Vihar,Palam_Vihar,125.0,4.968203497615263,25.16,0,0,Credit_Card
2024-05-09,9,5,3,0,1900-01-01 10:44:30,10,,0,Cancelled_By_Driver,Premier_Sedan,Lajpat_Nagar,Ramesh_Nagar,,,,0,0,No_Payment
2024-07-30,30,7,1,0,1900-01-01 12:02:26,12,,0,Completed,Premier_Sedan,Tughlakabad,Akshardham,375.0,7.676560900716479,48.85,0,1,Cash
2024-02-25,25,2,6,1,1900-01-01 16:23:19,16,,1,Completed,Auto,Cyber_Hub,Yamuna_Bank,310.0,12.699713232281852,24.41,0,0,Debit_Card
2024-02-09,9,2,4,0,1900-01-01 11:15:59,11,,0,Cancelled_By_Customer,Auto,Karkarduma,Igi_Airport,,,,0,0,No_Payment
2024-03-02,2,3,5,1,1900-01-01 04:59:03,4,,0,Cancelled_By_Driver,Go_Sedan,Shastri_Nagar,New_Colony,,,,0,0,No_Payment
2024-08-27,27,8,1,0,1900-01-01 18:22:02,18,,1,Incomplete,Auto,Aya_Nagar,Green_Park,370.0,26.71480144404332,13.85,1,0,Cash
2024-03-08,8,3,4,0,1900-01-01 09:28:38,9,,0,Cancelled_By_Driver,Premier_Sedan,Dwarka_Mor,Ito,,,,0,0,No_Payment
2024-03-20,20,3,2,0,1900-01-01 09:59:11,9,,0,Cancelled_By_Driver,Premier_Sedan,Adarsh_Nagar,Noida_Extension,,,,0,0,No_Payment
2024-01-25,25,1,3,0,1900-01-01 12:39:21,12,,0,Completed,Ebike,Vidhan_Sabha,Mehrauli,291.0,78.4366576819407,3.71,1,0,Upi
2024-04-11,11,4,3,0,1900-01-01 11:14:35,11,,0,Completed,Auto,Anand_Vihar,Saket,114.0,3.4566403881140086,32.98,0,0,Uber_Wallet
2024-06-17,17,6,0,0,1900-01-01 20:25:47,20,,1,Completed,Go_Mini,Uttam_Nagar,New_Delhi_Railway_Station,464.0,41.42857142857143,11.2,1,0,Cash
2024-07-29,29,7,0,0,1900-01-01 19:52:48,19,,1,Completed,Go_Sedan,Model_Town,Mundka,160.0,3.524229074889868,45.4,0,1,Cash
2024-12-22,22,12,6,1,1900-01-01 10:53:20,10,,0,Cancelled_By_Driver,Auto,Mandi_House,India_Gate,,,,0,0,No_Payment
2024-12-21,21,12,5,1,1900-01-01 21:40:00,21,,0,Completed,Ebike,Ghitorni,Pitampura,206.0,7.157748436414177,28.78,0,0,Cash
2024-02-23,23,2,4,0,1900-01-01 11:38:09,11,,0,Incomplete,Go_Mini,Ghitorni_Village,Palam_Vihar,217.0,77.22419928825623,2.81,1,0,Credit_Card
2024-05-05,5,5,6,1,1900-01-01 21:22:39,21,,0,Completed,Bike,Okhla,Netaji_Subhash_Place,633.0,36.50519031141869,17.34,1,0,Credit_Card
2024-11-08,8,11,4,0,1900-01-01 17:01:10,17,,1,Completed,Auto,Dlf_City_Court,Udyog_Vihar_Phase_4,717.0,76.43923240938166,9.38,1,0,Upi
2024-12-26,26,12,3,0,1900-01-01 21:21:55,21,,0,Completed,Go_Sedan,Rajiv_Nagar,Ramesh_Nagar,151.0,12.6890756302521,11.9,0,0,Upi
2024-09-05,5,9,3,0,1900-01-01 07:44:18,7,,0,Completed,Premier_Sedan,Sohna_Road,New_Delhi_Railway_Station,512.0,14.357823892316322,35.66,0,0,Upi
2024-11-25,25,11,0,0,1900-01-01 08:29:14,8,,0,Cancelled_By_Customer,Go_Sedan,Sadar_Bazar_Gurgaon,Indraprastha,,,,0,0,No_Payment
2024-08-15,15,8,3,0,1900-01-01 18:40:03,18,,1,Cancelled_By_Driver,Premier_Sedan,Anand_Vihar_Isbt,Rohini,,,,0,0,No_Payment
2024-02-10,10,2,5,1,1900-01-01 09:17:39,9,,0,Completed,Premier_Sedan,Lajpat_Nagar,Chirag_Delhi,1390.0,63.790729692519506,21.79,1,0,Upi
2024-09-26,26,9,3,0,1900-01-01 11:33:51,11,,0,Cancelled_By_Driver,Premier_Sedan,Bahadurgarh,Pataudi_Chowk,,,,0,0,No_Payment
2024-07-01,1,7,0,0,1900-01-01 17:39:56,17,,1,Completed,Bike,Moolchand,Karol_Bagh,224.0,28.498727735368956,7.86,1,0,Cash
2024-10-19,19,10,5,1,1900-01-01 16:24:50,16,,1,Completed,Auto,Uttam_Nagar,Vaishali,708.0,39.246119733924616,18.04,1,0,Upi
2024-02-09,9,2,4,0,1900-01-01 10:51:01,10,,0,Completed,Auto,Ina_Market,Iffco_Chowk,153.0,10.079051383399209,15.18,0,0,Uber_Wallet
2024-03-31,31,3,6,1,1900-01-01 12:37:12,12,,0,Cancelled_By_Driver,Bike,Sushant_Lok,Noida_Sector_62,,,,0,0,No_Payment
2024-12-11,11,12,2,0,1900-01-01 17:05:36,17,,1,Completed,Bike,Iit_Delhi,Mansarovar_Park,72.0,5.381165919282511,13.38,0,0,Cash
2024-06-19,19,6,2,0,1900-01-01 16:19:41,16,,1,Incomplete,Go_Sedan,Satguru_Ram_Singh_Marg,Punjabi_Bagh,282.0,23.878069432684164,11.81,0,0,Upi
2024-06-20,20,6,3,0,1900-01-01 18:58:36,18,,1,No_Driver_Found,Go_Mini,Adarsh_Nagar,Gwal_Pahari,,,,0,0,No_Payment
2024-07-10,10,7,2,0,1900-01-01 02:23:12,2,,0,Completed,Premier_Sedan,Munirka,Saidulajab,696.0,22.524271844660195,30.9,0,0,Upi
2024-02-06,6,2,1,0,1900-01-01 21:27:00,21,,0,Incomplete,Ebike,New_Colony,Jasola,936.0,62.776659959758554,14.91,1,0,Uber_Wallet
2024-09-30,30,9,0,0,1900-01-01 12:34:51,12,,0,Completed,Auto,Ignou_Road,Tis_Hazari,2169.0,49.016949152542374,44.25,1,1,Uber_Wallet
2024-09-20,20,9,4,0,1900-01-01 13:09:16,13,,0,Completed,Ebike,Meerut,Udyog_Bhawan,136.0,2.9916410030796303,45.46,0,1,Uber_Wallet
2024-04-30,30,4,1,0,1900-01-01 20:25:28,20,,1,Completed,Go_Mini,Punjabi_Bagh,Saket_A_Block,214.0,73.53951890034364,2.91,1,0,Upi
2024-06-04,4,6,1,0,1900-01-01 20:38:07,20,,1,Completed,Go_Mini,Akshardham,Mayur_Vihar,835.0,22.22517966462603,37.57,0,0,Upi
2024-10-30,30,10,2,0,1900-01-01 16:29:36,16,,1,Cancelled_By_Driver,Ebike,Chhatarpur,Gurgaon_Sector_29,,,,0,0,No_Payment
2024-08-11,11,8,6,1,1900-01-01 18:21:32,18,,1,Completed,Go_Sedan,Imt_Manesar,Ashram,705.0,17.54604280736685,40.18,0,1,Upi
2024-05-21,21,5,1,0,1900-01-01 17:39:58,17,,1,No_Driver_Found,Uber_Xl,Madipur,Dlf_City_Court,,,,0,0,No_Payment
2024-10-08,8,10,1,0,1900-01-01 08:52:57,8,,0,Completed,Go_Sedan,Azadpur,Khan_Market,480.0,23.738872403560833,20.22,0,0,Debit_Card
2024-03-26,26,3,1,0,1900-01-01 18:59:52,18,,1,Cancelled_By_Customer,Premier_Sedan,Chhatarpur,Badshahpur,,,,0,0,No_Payment
2024-06-24,24,6,0,0,1900-01-01 18:04:39,18,,1,Completed,Go_Mini,Cyber_Hub,Old_Gurgaon,707.0,15.795352993744416,44.76,0,1,Upi
2024-03-28,28,3,3,0,1900-01-01 19:20:01,19,,1,Cancelled_By_Driver,Bike,Jhilmil,Dlf_Phase_3,,,,0,0,No_Payment
2024-09-27,27,9,4,0,1900-01-01 20:16:53,20,,1,Completed,Ebike,Sikanderpur,Greater_Noida,865.0,19.958467928011075,43.34,0,1,Cash
2024-04-26,26,4,4,0,1900-01-01 15:45:51,15,,1,Completed,Bike,Mayur_Vihar,Ignou_Road,768.0,128.64321608040203,5.97,1,0,Cash
2024-05-19,19,5,6,1,1900-01-01 18:47:16,18,,1,Completed,Bike,Rohini_West,Yamuna_Bank,626.0,22.38912732474964,27.96,0,0,Uber_Wallet
2024-06-05,5,6,2,0,1900-01-01 11:16:12,11,,0,Completed,Go_Mini,Mandi_House,Bahadurgarh,443.0,20.906087777253422,21.19,0,0,Upi
2024-01-07,7,1,6,1,1900-01-01 16:21:31,16,,1,Cancelled_By_Customer,Auto,Azadpur,Hauz_Rani,,,,0,0,No_Payment
2024-04-19,19,4,4,0,1900-01-01 14:14:27,14,,1,Completed,Go_Sedan,Aya_Nagar,Chandni_Chowk,226.0,4.7449086710056685,47.63,0,1,Upi
2024-03-31,31,3,6,1,1900-01-01 16:34:57,16,,1,Completed,Auto,Shastri_Nagar,Saket_A_Block,449.0,18.401639344262296,24.4,0,0,Upi
2024-03-26,26,3,1,0,1900-01-01 19:13:05,19,,1,Completed,Go_Mini,Vinobapuri,Shastri_Park,778.0,103.87182910547396,7.49,1,0,Upi
2024-06-10,10,6,0,0,1900-01-01 15:24:51,15,,1,Completed,Bike,Rohini_West,Yamuna_Bank,361.0,14.770867430441898,24.44,0,0,Upi
2024-08-16,16,8,4,0,1900-01-01 17:05:19,17,,1,Completed,Auto,Kashmere_Gate_Isbt,New_Colony,235.0,25.543478260869566,9.2,1,0,Upi
2024-02-04,4,2,6,1,1900-01-01 15:32:16,15,,1,Completed,Go_Sedan,Rohini,Botanical_Garden,186.0,6.621573513705945,28.09,0,0,Cash
2024-06-24,24,6,0,0,1900-01-01 18:46:34,18,,1,Incomplete,Uber_Xl,Kherki_Daula_Toll,Nawada,544.0,161.42433234421364,3.37,1,0,Cash
2024-03-23,23,3,5,1,1900-01-01 11:31:18,11,,0,No_Driver_Found,Bike,Iffco_Chowk,Dilshad_Garden,,,,0,0,No_Payment
2024-07-21,21,7,6,1,1900-01-01 10:45:00,10,,0,Cancelled_By_Customer,Go_Mini,Hauz_Rani,Kaushambi,,,,0,0,No_Payment
2024-09-22,22,9,6,1,1900-01-01 06:39:39,6,,0,Cancelled_By_Customer,Auto,Dilshad_Garden,Qutub_Minar,,,,0,0,No_Payment
2024-05-26,26,5,6,1,1900-01-01 22:36:05,22,,0,Completed,Bike,Faridabad_Sector_15,Vinobapuri,86.0,2.144638403990025,40.1,0,1,Cash
2024-03-30,30,3,5,1,1900-01-01 13:55:19,13,,0,Cancelled_By_Driver,Auto,Sarai_Kale_Khan,Central_Secretariat,,,,0,0,No_Payment
2024-09-19,19,9,3,0,1900-01-01 08:47:23,8,,0,No_Driver_Found,Go_Mini,Vishwavidyalaya,Mg_Road,,,,0,0,No_Payment
2024-12-26,26,12,3,0,1900-01-01 16:16:56,16,,1,Completed,Premier_Sedan,Malviya_Nagar,Chanakyapuri,234.0,5.5058823529411764,42.5,0,1,Cash
2024-06-28,28,6,4,0,1900-01-01 10:22:29,10,,0,Cancelled_By_Driver,Ebike,Mayur_Vihar,Vidhan_Sabha,,,,0,0,No_Payment
2024-11-30,30,11,5,1,1900-01-01 18:36:50,18,,1,Completed,Go_Sedan,Vaishali,Tilak_Nagar,758.0,18.300338000965716,41.42,0,1,Cash
2024-11-04,4,11,0,0,1900-01-01 13:46:26,13,,0,Incomplete,Auto,Kashmere_Gate_Isbt,Laxmi_Nagar,629.0,35.901826484018265,17.52,1,0,Upi
2024-04-16,16,4,1,0,1900-01-01 19:41:40,19,,1,Completed,Auto,Maidan_Garhi,Panchsheel_Park,273.0,8.61470495424424,31.69,0,0,Upi
2024-09-12,12,9,3,0,1900-01-01 05:52:14,5,,0,Completed,Auto,Yamuna_Bank,Nirman_Vihar,117.0,3.467694131594546,33.74,0,0,Debit_Card
2024-06-07,7,6,4,0,1900-01-01 18:08:10,18,,1,Completed,Go_Sedan,Khan_Market,Central_Secretariat,955.0,25.936990765888105,36.82,1,0,Upi
2024-06-01,1,6,5,1,1900-01-01 15:55:36,15,,1,Completed,Go_Sedan,Pragati_Maidan,Jama_Masjid,139.0,3.587096774193548,38.75,0,0,Upi
2024-05-05,5,5,6,1,1900-01-01 14:17:24,14,,1,Completed,Go_Mini,Mansarovar_Park,Rohini,255.0,14.938488576449911,17.07,0,0,Cash
2024-01-15,15,1,0,0,1900-01-01 17:05:26,17,,1,Completed,Auto,Rithala,Aya_Nagar,1212.0,63.190823774765384,19.18,1,0,Upi
2024-07-08,8,7,0,0,1900-01-01 17:50:10,17,,1,Completed,Go_Sedan,Shastri_Park,Indraprastha,81.0,3.384872544922691,23.93,0,0,Debit_Card
2024-08-14,14,8,2,0,1900-01-01 17:41:00,17,,1,Completed,Auto,Cyber_Hub,Udyog_Bhawan,940.0,32.31350979718116,29.09,1,0,Upi
2024-07-31,31,7,2,0,1900-01-01 17:07:36,17,,1,Cancelled_By_Driver,Auto,Jhilmil,Vidhan_Sabha,,,,0,0,No_Payment
2024-05-08,8,5,2,0,1900-01-01 16:37:21,16,,1,Completed,Ebike,Saidulajab,Hauz_Khas,98.0,3.557168784029038,27.55,0,0,Cash
2024-07-29,29,7,0,0,1900-01-01 12:28:32,12,,0,Completed,Premier_Sedan,Tughlakabad,Meerut,724.0,51.714285714285715,14.0,1,0,Cash
2024-08-09,9,8,4,0,1900-01-01 16:41:35,16,,1,Completed,Ebike,Kashmere_Gate,Karkarduma,749.0,15.83509513742072,47.3,0,1,Upi
2024-08-15,15,8,3,0,1900-01-01 22:15:54,22,,0,No_Driver_Found,Ebike,Madipur,Saket,,,,0,0,No_Payment
2024-10-02,2,10,2,0,1900-01-01 09:10:13,9,,0,Completed,Auto,Shastri_Park,Barakhamba_Road,244.0,16.72378341329678,14.59,0,0,Upi
2024-05-12,12,5,6,1,1900-01-01 01:09:07,1,,0,No_Driver_Found,Auto,Nawada,Jahangirpuri,,,,0,0,No_Payment
2024-02-20,20,2,1,0,1900-01-01 18:51:34,18,,1,Incomplete,Auto,Shahdara,Bhiwadi,351.0,40.43778801843318,8.68,1,0,Upi
2024-05-26,26,5,6,1,1900-01-01 20:45:58,20,,1,Completed,Auto,Tilak_Nagar,Azadpur,585.0,17.135325131810195,34.14,0,0,Debit_Card
2024-12-24,24,12,1,0,1900-01-01 10:30:20,10,,0,Completed,Auto,Dlf_Phase_3,Udyog_Vihar_Phase_4,554.0,17.4268637936458,31.79,0,0,Cash
2024-06-07,7,6,4,0,1900-01-01 17:11:59,17,,1,Completed,Bike,Laxmi_Nagar,Sohna_Road,803.0,32.10715713714514,25.01,1,0,Credit_Card
2024-04-28,28,4,6,1,1900-01-01 19:59:01,19,,1,Completed,Go_Mini,Huda_City_Centre,Akshardham,388.0,22.095671981776768,17.56,0,0,Upi
2024-01-26,26,1,4,0,1900-01-01 18:13:59,18,,1,Cancelled_By_Customer,Bike,Shastri_Nagar,Shivaji_Park,,,,0,0,No_Payment
2024-01-18,18,1,3,0,1900-01-01 23:04:30,23,,0,Completed,Go_Mini,Uttam_Nagar,Greater_Kailash,192.0,3.9215686274509802,48.96,0,1,Upi
2024-04-15,15,4,0,0,1900-01-01 19:03:28,19,,1,Completed,Go_Mini,Mehrauli,Nawada,79.0,2.4004861744150716,32.91,0,0,Uber_Wallet
2024-12-19,19,12,3,0,1900-01-01 20:42:59,20,,1,No_Driver_Found,Go_Mini,Mansarovar_Park,Manesar,,,,0,0,No_Payment
2024-01-22,22,1,0,0,1900-01-01 18:23:40,18,,1,Completed,Bike,Lajpat_Nagar,Okhla,242.0,5.295404814004376,45.7,0,1,Upi
2024-08-08,8,8,3,0,1900-01-01 21:13:51,21,,0,Cancelled_By_Customer,Go_Sedan,Patel_Chowk,Nirman_Vihar,,,,0,0,No_Payment
2024-05-21,21,5,1,0,1900-01-01 20:31:57,20,,1,Completed,Go_Mini,Botanical_Garden,Azadpur,323.0,8.42901878914405,38.32,0,0,Uber_Wallet
2024-08-17,17,8,5,1,1900-01-01 12:35:03,12,,0,Cancelled_By_Driver,Auto,Bahadurgarh,Pragati_Maidan,,,,0,0,No_Payment
2024-06-02,2,6,6,1,1900-01-01 21:27:23,21,,0,Completed,Auto,Karol_Bagh,Palam_Vihar,799.0,87.80219780219781,9.1,1,0,Upi
2024-03-11,11,3,0,0,1900-01-01 22:20:11,22,,0,Cancelled_By_Customer,Ebike,Azadpur,Raj_Nagar_Extension,,,,0,0,No_Payment
2024-11-20,20,11,2,0,1900-01-01 16:42:58,16,,1,Completed,Premier_Sedan,Ramesh_Nagar,Greater_Kailash,134.0,2.720259845716606,49.26,0,1,Upi
2024-10-23,23,10,2,0,1900-01-01 10:50:53,10,,0,Cancelled_By_Driver,Go_Mini,Malviya_Nagar,Lajpat_Nagar,,,,0,0,No_Payment
2024-08-10,10,8,5,1,1900-01-01 18:36:43,18,,1,Cancelled_By_Customer,Bike,Dwarka_Sector_21,Malviya_Nagar,,,,0,0,No_Payment
2024-05-06,6,5,0,0,1900-01-01 19:24:18,19,,1,Cancelled_By_Customer,Bike,Noida_Film_City,Keshav_Puram,,,,0,0,No_Payment
2024-11-13,13,11,2,0,1900-01-01 06:51:43,6,,0,Completed,Go_Sedan,Nirman_Vihar,Satguru_Ram_Singh_Marg,113.0,13.763702801461632,8.21,0,0,Upi
2024-09-16,16,9,0,0,1900-01-01 16:07:51,16,,1,Incomplete,Go_Mini,Pragati_Maidan,Faridabad_Sector_15,84.0,5.220633934120571,16.09,0,0,Uber_Wallet
2024-05-16,16,5,3,0,1900-01-01 12:35:33,12,,0,Completed,Auto,Tughlakabad,Ramesh_Nagar,81.0,6.78391959798995,11.94,0,0,Upi
2024-02-15,15,2,3,0,1900-01-01 19:11:02,19,,1,Completed,Go_Sedan,India_Gate,Kashmere_Gate,992.0,120.53462940461725,8.23,1,0,Upi
