user_id,user_type,country,request_type,model_used,device_type,prompt_length,requests_per_min,toxic_score,jailbreak_score,anomaly_score,failed_requests,session_duration_sec,api_cost_usd,misuse_label
user_73409,free,Australia,text_generation,gpt_like,mobile,3786,4.22,0.337,0.787,0.783,12,6724,1.901,1
user_72211,bot,USA,text_generation,gpt_like,mobile,4087,120.82,0.444,0.919,0.359,6,3965,2.602,1
user_66697,premium,USA,text_generation,code_llm,web,2674,46.14,0.417,0.802,0.415,3,3984,3.054,1
user_38065,premium,Australia,text_generation,code_llm,web,4031,86.27,0.952,0.327,0.496,14,1571,0.765,1
user_33606,free,Germany,text_generation,vision_model,api,4188,97.21,0.322,0.491,0.395,7,1676,5.318,1
user_12534,free,Singapore,text_generation,code_llm,web,719,19.19,0.501,0.077,0.593,20,6108,4.589,0
user_41397,bot,Germany,code_generation,code_llm,api,1946,97.45,0.58,0.919,0.898,29,3405,4.481,1
user_2016,free,Australia,code_generation,gpt_like,web,1494,68.62,0.034,0.429,0.376,18,4223,6.909,0
user_56591,internal,Australia,text_generation,code_llm,api,1826,89.06,0.381,0.735,0.516,22,8768,4.269,1
user_24247,free,Canada,code_generation,gpt_like,web,395,114.4,0.901,0.481,0.821,2,3918,4.997,1
user_25300,bot,India,image_generation,gpt_like,mobile,2243,42.0,0.913,0.847,0.292,2,1943,1.323,1
user_75065,free,USA,text_generation,code_llm,api,2608,44.03,0.034,0.235,0.895,12,7687,3.604,1
user_10268,free,UK,code_generation,vision_model,mobile,4273,16.97,0.627,0.535,0.007,8,4769,5.623,0
user_13185,premium,USA,code_generation,vision_model,mobile,2179,30.44,0.612,0.271,0.363,19,6398,2.992,0
user_64704,bot,Canada,code_generation,code_llm,api,845,48.89,0.552,0.727,0.889,4,6798,6.188,1
user_40099,free,UK,code_generation,gpt_like,mobile,707,27.27,0.764,0.705,0.242,17,8726,6.162,1
user_9571,premium,USA,image_generation,vision_model,mobile,2386,13.66,0.904,0.004,0.672,5,1261,3.978,1
user_39044,premium,USA,image_generation,vision_model,mobile,4210,44.17,0.052,0.215,0.011,25,4890,0.636,0
user_52214,free,UK,code_generation,gpt_like,mobile,4099,136.89,0.287,0.433,0.179,16,2664,0.869,1
user_62228,bot,Australia,code_generation,gpt_like,mobile,4232,9.35,0.952,0.965,0.32,6,6611,6.922,1
user_49984,bot,UK,image_generation,gpt_like,web,603,49.95,0.815,0.903,0.542,16,3449,4.907,1
user_41774,free,Australia,code_generation,code_llm,web,306,59.36,0.773,0.202,0.782,25,2429,4.738,1
user_3568,free,India,code_generation,vision_model,api,2225,129.83,0.136,0.485,0.375,14,3003,3.358,1
user_63592,free,Canada,text_generation,vision_model,web,3756,92.16,0.735,0.295,0.887,29,8356,1.955,1
user_68563,free,Canada,text_generation,vision_model,api,3816,14.65,0.968,0.059,0.471,19,5048,4.013,1
user_3695,internal,UK,text_generation,vision_model,api,3103,104.94,0.668,0.768,0.783,25,5893,6.216,1
user_49190,bot,Canada,image_generation,gpt_like,mobile,4078,26.93,0.757,0.624,0.558,5,1214,0.747,1
user_6258,premium,Canada,image_generation,gpt_like,mobile,62,96.75,0.835,0.701,0.658,18,2109,1.155,1
user_40504,bot,UK,text_generation,code_llm,web,3159,63.44,0.41,0.979,0.225,18,4443,2.659,1
user_34159,free,Germany,code_generation,vision_model,mobile,1361,100.02,0.453,0.459,0.043,10,4173,2.487,1
user_14986,free,UK,text_generation,vision_model,mobile,2076,130.2,0.997,0.052,0.06,6,1393,0.117,1
user_62858,premium,Australia,text_generation,vision_model,mobile,3884,105.78,0.174,0.563,0.805,2,6230,2.256,1
user_13666,premium,Germany,code_generation,code_llm,mobile,3391,44.3,0.089,0.18,0.49,26,2682,1.015,0
user_39660,free,Germany,image_generation,code_llm,api,4413,1.95,0.173,0.601,0.837,5,5743,0.72,1
user_4561,internal,Germany,code_generation,gpt_like,web,1091,69.81,0.113,0.834,0.575,23,2586,6.043,1
user_27854,free,Australia,code_generation,code_llm,mobile,345,82.69,0.918,0.159,0.798,20,1879,0.722,1
user_65505,free,Canada,code_generation,vision_model,api,2836,62.0,0.932,0.87,0.337,25,6027,2.853,1
user_53251,free,Canada,image_generation,gpt_like,mobile,1669,83.46,0.902,0.996,0.142,7,849,1.065,1
user_23662,free,USA,image_generation,code_llm,mobile,2781,120.79,0.79,0.903,0.823,16,7013,1.123,1
user_9392,premium,Germany,code_generation,vision_model,web,1188,123.01,0.86,0.993,0.919,28,8714,0.193,1
user_31535,free,Singapore,text_generation,vision_model,api,153,95.11,0.719,0.422,0.315,3,4492,3.759,1
user_79603,free,Germany,text_generation,gpt_like,mobile,1842,83.83,0.87,0.797,0.216,16,3657,0.008,1
user_53256,free,UK,text_generation,vision_model,api,1066,48.48,0.036,0.598,0.294,15,1421,2.331,0
user_36222,bot,India,text_generation,code_llm,mobile,4319,18.67,0.042,0.104,0.325,21,4650,1.897,0
user_78373,bot,Canada,code_generation,vision_model,mobile,875,115.5,0.813,0.55,0.484,17,7716,2.589,1
user_64335,free,Germany,code_generation,code_llm,api,3537,85.23,0.785,0.879,0.056,13,273,0.061,1
user_11965,bot,Canada,text_generation,vision_model,mobile,3104,94.18,0.571,0.238,0.137,12,6534,1.772,1
user_25538,premium,Singapore,image_generation,code_llm,api,2007,39.36,0.966,0.756,0.394,23,5916,4.312,1
user_71592,free,India,image_generation,vision_model,mobile,2216,84.77,0.57,0.523,0.217,3,3019,5.372,1
user_9110,free,Canada,image_generation,code_llm,api,3378,65.09,0.751,0.017,0.554,16,395,4.871,1
user_28266,free,Canada,code_generation,vision_model,api,996,49.96,0.442,0.157,0.681,16,7965,5.542,0
user_53992,premium,UK,code_generation,code_llm,api,2825,80.89,0.688,0.399,0.562,21,2953,6.547,1
user_7910,bot,Australia,text_generation,vision_model,api,195,63.12,0.408,0.298,0.315,0,4236,2.98,1
user_1206,free,UK,text_generation,vision_model,api,4286,14.86,0.089,0.359,0.993,23,8801,1.091,1
user_24419,free,Singapore,text_generation,gpt_like,mobile,1790,91.01,0.551,0.006,0.888,3,874,1.398,1
user_51636,premium,USA,text_generation,gpt_like,mobile,4451,58.21,0.508,0.079,0.553,2,7597,4.22,0
user_51015,premium,UK,text_generation,gpt_like,mobile,3746,47.14,0.08,0.47,0.68,27,5568,0.389,0
user_55268,free,USA,text_generation,vision_model,mobile,2229,10.75,0.078,0.121,0.782,25,5152,1.857,1
user_19141,premium,UK,image_generation,vision_model,web,1066,85.22,0.654,0.167,0.094,14,8329,0.575,1
user_72910,bot,Australia,code_generation,gpt_like,mobile,4058,108.62,0.141,0.501,0.653,15,5501,4.199,1
user_57044,free,Germany,image_generation,vision_model,api,1364,60.24,0.863,0.602,0.333,1,6904,5.911,1
user_68214,free,USA,image_generation,gpt_like,mobile,99,24.58,0.222,0.391,0.95,18,2125,0.863,1
user_34827,bot,Australia,image_generation,code_llm,mobile,2312,118.05,0.673,0.468,0.588,1,8374,2.158,1
user_56820,free,Canada,image_generation,vision_model,web,3457,71.64,0.361,0.028,0.658,15,540,1.321,1
user_63623,free,USA,code_generation,code_llm,web,695,60.29,0.559,0.733,0.863,4,721,3.833,1
user_76450,premium,Canada,image_generation,code_llm,api,4223,67.37,0.483,0.315,0.496,12,2725,4.646,0
user_23299,internal,Singapore,text_generation,code_llm,web,82,129.16,0.779,0.914,0.481,26,8049,2.26,1
user_44585,premium,Germany,text_generation,vision_model,mobile,2386,13.63,0.225,0.221,0.88,11,8031,4.15,1
user_65044,free,Germany,code_generation,gpt_like,api,2929,7.59,0.71,0.258,0.177,22,1343,6.759,0
user_43557,free,Singapore,image_generation,gpt_like,mobile,2813,49.23,0.116,0.978,0.573,11,7934,4.838,1
user_50080,premium,Canada,text_generation,gpt_like,mobile,1358,75.89,0.217,0.476,0.235,27,3423,6.692,1
user_3693,free,Australia,code_generation,vision_model,mobile,3297,7.69,0.795,0.742,0.007,29,2863,5.116,1
user_70163,free,Singapore,code_generation,code_llm,mobile,2137,39.56,0.911,0.958,0.244,22,3391,4.751,1
user_26939,free,Canada,image_generation,vision_model,mobile,1110,135.99,0.566,0.571,0.656,23,6335,2.564,1
user_49925,premium,India,image_generation,code_llm,web,4154,15.36,0.268,0.641,0.561,28,2967,2.375,0
user_43941,free,Singapore,text_generation,gpt_like,api,4327,33.97,0.85,0.018,0.298,21,5014,5.819,1
user_22834,free,Singapore,text_generation,vision_model,web,833,76.41,0.13,0.869,0.318,26,7451,5.802,1
user_19047,premium,India,text_generation,gpt_like,web,4189,130.0,0.087,0.559,0.644,20,8025,5.516,1
user_27105,free,Singapore,image_generation,gpt_like,api,2756,49.92,0.315,0.259,0.815,19,4311,3.176,1
user_76766,free,UK,code_generation,code_llm,mobile,1233,90.53,0.531,0.969,0.886,10,7309,1.805,1
user_16707,internal,UK,text_generation,gpt_like,api,210,114.61,0.105,0.744,0.389,11,5022,5.948,1
user_22976,free,India,code_generation,gpt_like,api,2788,111.43,0.024,0.047,0.801,27,6740,5.555,1
user_45262,premium,UK,image_generation,code_llm,mobile,3623,88.12,0.976,0.05,0.312,10,5017,3.879,1
user_24776,bot,Australia,code_generation,vision_model,api,1715,10.28,0.128,0.502,0.313,28,6987,3.861,0
user_31080,free,Australia,image_generation,gpt_like,api,156,0.38,0.84,0.866,0.121,6,8966,6.92,1
user_67842,premium,Canada,text_generation,gpt_like,mobile,520,28.09,0.076,0.336,0.393,4,4888,0.896,0
user_62373,free,UK,text_generation,code_llm,web,1660,79.73,0.844,0.3,0.779,5,8852,5.341,1
user_7776,free,Canada,image_generation,code_llm,mobile,1480,19.17,0.778,0.328,0.256,1,2126,0.264,1
user_56016,free,Singapore,image_generation,gpt_like,api,1749,19.59,0.714,0.621,0.621,10,6144,4.531,0
user_10474,premium,Canada,image_generation,vision_model,web,2238,85.13,0.845,0.031,0.22,13,3070,4.575,1
user_59053,premium,Germany,text_generation,code_llm,api,1530,35.7,0.803,0.78,0.326,17,6186,0.457,1
user_22959,bot,India,text_generation,gpt_like,mobile,3343,66.3,0.124,0.722,0.708,11,1359,4.96,1
user_6530,free,Australia,image_generation,vision_model,mobile,3122,32.8,0.875,0.499,0.71,7,1919,1.027,1
user_4748,bot,UK,image_generation,gpt_like,web,4472,134.87,0.071,0.934,0.256,5,8203,2.233,1
user_14545,bot,USA,code_generation,code_llm,web,3065,120.2,0.957,0.067,0.387,3,2298,1.654,1
user_67199,free,Australia,image_generation,vision_model,mobile,1317,54.29,0.104,0.907,0.393,24,8713,5.664,1
user_35766,bot,USA,image_generation,vision_model,web,2519,24.57,0.624,0.565,0.901,15,2022,0.286,1
user_74530,bot,Germany,code_generation,gpt_like,api,2377,36.11,0.695,0.787,0.726,21,3262,5.985,1
user_62087,free,Australia,text_generation,vision_model,api,4310,67.32,0.363,0.398,0.195,23,5145,1.08,0
user_69840,premium,Canada,image_generation,gpt_like,web,404,21.38,0.542,0.055,0.813,23,6648,2.887,1
user_55384,bot,UK,text_generation,gpt_like,api,3411,30.3,0.215,0.674,0.427,7,7771,0.796,1
user_52005,free,USA,image_generation,code_llm,web,603,56.54,0.114,0.264,0.913,16,6039,0.915,1
user_47576,free,India,image_generation,gpt_like,api,1708,121.77,0.738,0.103,0.553,29,4025,5.696,1
user_40353,bot,Germany,code_generation,gpt_like,mobile,3476,39.85,0.027,0.953,0.659,25,8628,1.383,1
user_63003,free,Canada,image_generation,gpt_like,api,453,18.84,0.805,0.907,0.495,3,5326,3.193,1
user_53733,premium,USA,image_generation,gpt_like,mobile,4350,25.02,0.687,0.682,0.321,14,1471,6.322,1
user_66318,free,Australia,text_generation,code_llm,web,52,93.62,0.3,0.458,0.553,27,4344,5.12,1
user_24664,free,Singapore,image_generation,vision_model,mobile,4035,71.48,0.373,0.749,0.645,25,7398,5.807,1
user_68172,bot,UK,code_generation,vision_model,mobile,2784,88.53,0.417,0.289,0.18,4,2895,6.148,1
user_27736,free,Canada,code_generation,code_llm,web,2918,5.07,0.098,0.029,0.13,11,3132,0.612,0
user_1854,free,Canada,image_generation,code_llm,api,4096,18.85,0.883,0.899,0.742,23,1205,1.689,1
user_39623,internal,UK,code_generation,gpt_like,mobile,3271,50.03,0.208,0.212,0.882,19,5499,4.738,1
user_8392,free,Singapore,code_generation,gpt_like,mobile,564,135.06,0.834,0.165,0.396,1,326,2.173,1
user_56680,free,India,image_generation,gpt_like,web,270,91.29,0.339,0.26,0.328,25,118,6.686,1
user_47717,bot,Germany,text_generation,gpt_like,mobile,1387,112.94,0.716,0.955,0.483,23,5830,4.821,1
user_51859,bot,Australia,code_generation,code_llm,web,3620,43.26,0.486,0.357,0.972,19,1229,3.744,1
user_27309,premium,India,image_generation,gpt_like,web,1174,67.55,0.337,0.183,0.721,13,835,3.928,0
user_64734,free,UK,code_generation,vision_model,mobile,784,118.03,0.715,0.184,0.132,16,6498,4.012,1
user_71467,premium,USA,text_generation,code_llm,api,1978,17.96,0.498,0.254,0.056,6,817,3.688,0
user_53662,free,UK,code_generation,code_llm,api,3532,103.13,0.892,0.393,0.52,21,8935,1.208,1
user_13688,free,Australia,image_generation,vision_model,mobile,2913,80.4,0.717,0.945,0.485,5,662,2.738,1
user_26342,free,UK,image_generation,vision_model,api,710,112.8,0.12,0.343,0.34,4,399,4.284,1
user_38157,premium,Australia,code_generation,gpt_like,api,2684,107.48,0.032,0.093,0.292,3,3719,1.854,1
user_68863,free,USA,code_generation,code_llm,web,1320,7.43,0.462,0.933,0.446,28,6398,6.776,1
user_53083,premium,Singapore,image_generation,code_llm,api,3410,118.13,0.581,0.057,0.976,16,692,4.634,1
user_66733,bot,USA,image_generation,code_llm,web,929,59.15,0.387,0.684,0.471,8,2365,0.114,1
user_35698,premium,India,image_generation,code_llm,web,2370,98.39,0.332,0.06,0.694,1,2747,6.33,1
user_23671,free,Germany,text_generation,code_llm,api,4170,108.1,0.593,0.955,0.328,3,7775,1.423,1
user_26184,free,Singapore,text_generation,vision_model,mobile,4213,8.02,0.929,0.264,0.61,8,8717,1.0,1
user_43107,free,Australia,image_generation,gpt_like,api,697,118.06,0.927,0.159,0.919,17,4334,2.891,1
user_52663,premium,Australia,text_generation,gpt_like,web,2670,81.36,0.378,0.336,0.105,19,1799,0.453,1
user_16708,free,Australia,text_generation,code_llm,web,2581,103.33,0.038,0.68,0.958,11,3031,1.817,1
user_50811,free,Singapore,text_generation,code_llm,api,1052,108.82,0.523,0.814,0.865,12,5052,6.681,1
user_3811,free,Germany,text_generation,vision_model,web,4264,113.05,0.316,0.068,0.366,24,802,2.758,1
user_57250,free,UK,image_generation,vision_model,api,3584,24.65,0.181,0.238,0.695,1,5957,6.99,0
user_73082,premium,Germany,image_generation,code_llm,web,3720,137.03,0.106,0.287,0.953,19,7212,4.138,1
user_35754,premium,UK,code_generation,vision_model,web,1758,37.18,0.043,0.062,0.463,3,8478,5.575,0
user_12411,bot,India,text_generation,vision_model,api,2012,105.86,0.314,0.203,0.873,26,7714,4.309,1
user_3911,internal,USA,code_generation,code_llm,web,2200,67.19,0.109,0.016,0.795,7,441,6.964,1
user_68270,bot,Singapore,image_generation,code_llm,api,1474,116.79,0.719,0.2,0.966,11,7427,3.302,1
user_9680,premium,Singapore,text_generation,vision_model,mobile,4026,119.63,0.204,0.777,0.728,14,4760,3.947,1
user_72295,free,Singapore,text_generation,gpt_like,api,4346,118.37,0.342,0.926,0.535,22,1046,1.821,1
user_12111,bot,Germany,text_generation,vision_model,web,3264,119.7,0.348,0.483,0.249,14,3349,0.007,1
user_38504,free,Canada,image_generation,gpt_like,web,2507,66.75,0.828,0.395,0.232,10,8914,5.163,1
user_2802,free,Canada,code_generation,gpt_like,mobile,4039,119.46,0.475,0.655,0.955,15,4166,6.561,1
user_9155,free,India,text_generation,gpt_like,api,493,78.77,0.569,0.24,0.271,22,3546,4.418,1
user_74656,free,Canada,image_generation,vision_model,mobile,2229,8.15,0.493,0.186,0.955,4,4129,5.799,1
user_40384,free,Canada,code_generation,vision_model,api,1222,26.68,0.281,0.191,0.601,11,3574,1.109,0
user_48254,premium,Germany,image_generation,code_llm,mobile,2229,133.11,0.835,0.274,0.042,19,7185,6.365,1
user_22918,bot,Canada,image_generation,code_llm,mobile,786,95.21,0.039,0.478,0.147,18,1106,5.799,1
user_61713,free,Singapore,text_generation,gpt_like,mobile,68,130.62,0.722,0.864,0.092,8,1745,2.575,1
user_31306,bot,Canada,code_generation,gpt_like,web,4442,70.81,0.738,0.058,0.978,15,5036,0.124,1
user_17646,internal,USA,text_generation,vision_model,api,4188,132.43,0.62,0.769,0.554,0,708,1.242,1
user_47843,free,Canada,image_generation,gpt_like,api,2749,83.46,0.316,0.817,0.181,2,8453,4.444,1
user_17371,free,Canada,image_generation,code_llm,web,940,61.71,0.972,0.973,0.171,24,5928,3.181,1
user_78371,premium,USA,code_generation,gpt_like,api,691,135.0,0.348,0.642,0.178,23,6072,5.748,1
user_3049,free,USA,code_generation,vision_model,web,162,91.86,0.495,0.413,0.29,24,6641,2.785,1
user_32616,free,Australia,image_generation,gpt_like,api,2287,33.34,0.621,0.703,0.557,8,802,5.899,1
user_21932,free,Singapore,code_generation,code_llm,api,4212,137.84,0.268,0.651,0.199,16,6507,0.779,1
user_30855,premium,Singapore,image_generation,vision_model,web,2446,11.91,0.277,0.171,0.929,24,8363,6.881,1
user_62434,free,Germany,image_generation,vision_model,mobile,4439,139.5,0.17,0.603,0.019,16,4096,2.764,1
user_73694,premium,Singapore,image_generation,vision_model,web,2576,57.62,0.711,0.758,0.477,1,4397,2.323,1
user_44016,bot,India,code_generation,code_llm,web,265,21.18,0.089,0.194,0.267,3,1738,2.165,0
user_8400,internal,India,code_generation,gpt_like,mobile,741,33.51,0.905,0.484,0.251,7,1506,3.661,1
user_43642,free,Canada,code_generation,code_llm,web,1083,91.05,0.727,0.817,0.188,2,2892,2.574,1
user_16151,premium,Germany,text_generation,code_llm,api,4246,66.9,0.006,0.695,0.572,8,2660,2.794,1
user_52407,free,Singapore,image_generation,vision_model,api,4059,130.26,0.891,0.01,0.433,9,538,3.652,1
user_67690,free,Singapore,text_generation,vision_model,api,3089,125.48,0.786,0.955,0.541,21,6662,1.071,1
user_5499,premium,Singapore,image_generation,gpt_like,web,3181,52.85,0.756,0.391,0.101,15,5653,6.382,1
user_7295,bot,Germany,image_generation,vision_model,mobile,847,10.25,0.276,0.913,0.244,3,4456,1.28,1
user_60040,free,India,text_generation,gpt_like,mobile,787,32.61,0.62,0.339,0.599,6,8219,6.764,0
user_13183,free,India,code_generation,code_llm,api,3421,102.75,0.058,0.037,0.792,8,3879,0.463,1
user_30299,bot,UK,text_generation,code_llm,web,3508,103.0,0.861,0.18,0.475,11,8592,3.054,1
user_13874,premium,Canada,image_generation,code_llm,mobile,3388,76.06,0.816,0.23,0.384,18,7015,3.279,1
user_33711,free,USA,code_generation,code_llm,web,2167,69.45,0.063,0.689,0.012,27,2842,3.008,1
user_6539,free,USA,code_generation,code_llm,mobile,4217,42.81,0.842,0.823,0.811,12,2657,6.419,1
user_54351,free,USA,image_generation,gpt_like,api,3499,58.09,0.876,0.726,0.05,10,7570,0.823,1
user_62267,premium,Canada,text_generation,vision_model,mobile,2004,133.91,0.877,0.508,0.933,8,7459,3.302,1
user_49354,free,India,image_generation,code_llm,mobile,2949,41.14,0.76,0.493,0.068,9,562,2.813,1
user_3557,free,USA,image_generation,vision_model,api,819,112.01,0.19,0.006,0.423,6,3372,4.865,1
user_39360,bot,USA,code_generation,code_llm,api,2626,7.5,0.204,0.154,0.327,15,1791,0.005,0
user_3200,free,Australia,image_generation,gpt_like,api,2919,23.49,0.424,0.793,0.339,12,3996,5.493,1
user_69497,free,USA,image_generation,vision_model,mobile,2600,107.37,0.69,0.269,0.454,25,741,4.56,1
user_47975,premium,India,text_generation,code_llm,mobile,456,50.61,0.536,0.218,0.04,6,4899,2.111,0
user_22357,free,Singapore,image_generation,gpt_like,mobile,368,30.55,0.623,0.397,0.61,1,2842,3.443,0
user_78505,free,UK,code_generation,code_llm,web,1118,114.36,0.248,0.244,0.405,12,4815,1.691,1
user_3869,free,USA,text_generation,gpt_like,mobile,521,124.18,0.473,0.262,0.987,23,284,4.599,1
user_62135,premium,India,text_generation,gpt_like,mobile,3711,60.76,0.175,0.227,0.143,24,4935,0.498,0
user_51108,bot,USA,text_generation,vision_model,api,3268,35.93,0.45,0.49,0.137,5,5302,0.143,1
user_39467,premium,Singapore,text_generation,vision_model,api,3259,30.07,0.904,0.337,0.645,23,1025,2.323,1
user_24328,free,USA,code_generation,code_llm,api,3935,16.04,0.249,0.822,0.672,24,4937,1.672,1
user_4987,free,Germany,code_generation,vision_model,mobile,3811,116.97,0.77,0.531,0.688,28,2605,4.434,1
user_59871,free,India,image_generation,gpt_like,web,2884,59.28,0.177,0.304,0.416,9,2764,3.226,0
user_23399,free,Germany,image_generation,gpt_like,api,69,6.18,0.064,0.656,0.81,9,5471,6.779,1
user_47214,free,India,text_generation,code_llm,mobile,3667,134.35,0.732,0.073,0.889,10,6370,1.814,1
user_71271,premium,Germany,code_generation,gpt_like,mobile,4088,83.61,0.875,0.499,0.171,27,4220,6.636,1
user_45064,free,India,image_generation,vision_model,web,2004,76.68,0.49,0.288,0.55,2,2891,5.516,1
user_71091,premium,Australia,image_generation,vision_model,web,1310,126.78,0.13,0.039,0.863,3,408,6.284,1
user_41818,free,Singapore,image_generation,code_llm,web,4468,95.32,0.119,0.277,0.785,18,6199,4.839,1
user_46525,free,Germany,code_generation,gpt_like,web,1848,127.19,0.394,0.039,0.982,22,7244,6.641,1
user_20830,premium,Australia,text_generation,vision_model,api,233,16.47,0.269,0.103,0.284,23,6972,0.129,0
